Species,Infraorder,Family,Single,Duplicated,Total
Argiope_bruennichi,Araneomorphae,Araneidae,2354,374,2728
Argiope_aetheroides,Araneomorphae,Araneidae,2344,375,2719
Caerostris_darwini,Araneomorphae,Araneidae,2337,358,2695
Argiope_keyserlingi,Araneomorphae,Araneidae,2324,394,2718
Eriophora_pustulosa,Araneomorphae,Araneidae,2321,421,2742
Caerostris_extrusa,Araneomorphae,Araneidae,2319,336,2655
Backobourkia_brouni,Araneomorphae,Araneidae,2313,342,2655
Acrosomoides_sp_IDV7426,Araneomorphae,Araneidae,2306,338,2644
Poecilopachys_australasia,Araneomorphae,Araneidae,2306,388,2694
Dolophones_sp_IDV6683,Araneomorphae,Araneidae,2304,440,2744
Phonognatha_graeffei,Araneomorphae,Araneidae,2301,359,2660
Lariniaria_argiopiformis,Araneomorphae,Araneidae,2296,372,2668
Hypsosinga_pygmaea,Araneomorphae,Araneidae,2283,443,2726
Acroaspis_sp_IDV6688,Araneomorphae,Araneidae,2280,429,2709
Neoscona_subpullata,Araneomorphae,Araneidae,2280,472,2752
Plebs_sachalinensis,Araneomorphae,Araneidae,2273,403,2676
Larinioides_cornutus,Araneomorphae,Araneidae,2271,393,2664
Metazygia_zilloides,Araneomorphae,Araneidae,2270,414,2684
Neoscona_theisi,Araneomorphae,Araneidae,2268,398,2666
Cyclosa_octotuberculata,Araneomorphae,Araneidae,2267,381,2648
Larinia_phthisica,Araneomorphae,Araneidae,2265,432,2697
Cyrtophora_cicatrosa,Araneomorphae,Araneidae,2262,402,2664
Araneus_inustus,Araneomorphae,Araneidae,2261,385,2646
Neoscona_scylla,Araneomorphae,Araneidae,2257,413,2670
Neoscona_adianta,Araneomorphae,Araneidae,2256,407,2663
Cyrtarachne_bufo,Araneomorphae,Araneidae,2254,440,2694
Neoscona_nautica,Araneomorphae,Araneidae,2254,520,2774
Nuctenea_umbratica,Araneomorphae,Araneidae,2248,442,2690
Ordgarius_hobsoni,Araneomorphae,Araneidae,2219,438,2657
Ordgarius_sexspinosus,Araneomorphae,Araneidae,2188,455,2643
Clubiona_robusta,Araneomorphae,Clubionidae,2248,417,2665
Phrurolithus_coreanus,Araneomorphae,Corinnidae,2116,683,2799
Deinopis_sp_IDV7365,Araneomorphae,Deinopidae,2209,395,2604
Deinopis_sp_IDV6783,Araneomorphae,Deinopidae,2203,433,2636
Desis_marina,Araneomorphae,Desidae,2063,624,2687
Paratheuma_awasensis,Araneomorphae,Dictynidae,2215,437,2652
Zelotes_iriomotensis,Araneomorphae,Gnaphosidae,2214,514,2728
Neoantistea_quelpartensis,Araneomorphae,Hahniidae,2299,393,2692
Masirana_silvicola,Araneomorphae,Leptonetidae,2371,399,2770
Falcileptoneta_japonica,Araneomorphae,Leptonetidae,2339,431,2770
Ryojius_japonicus,Araneomorphae,Linyphiidae,2368,433,2801
Syedra_oii,Araneomorphae,Linyphiidae,2355,405,2760
Arcuphantes_uenoi,Araneomorphae,Linyphiidae,2330,488,2818
Doenitzius_peniculus,Araneomorphae,Linyphiidae,2330,467,2797
Arcuphantes_tamaensis,Araneomorphae,Linyphiidae,2326,433,2759
Saaristoa_nipponica,Araneomorphae,Linyphiidae,2304,451,2755
Saitonia_ojiroensis,Araneomorphae,Linyphiidae,2289,466,2755
Doenitzius_pruvus,Araneomorphae,Linyphiidae,2285,551,2836
Neriene_oidedicata,Araneomorphae,Linyphiidae,2271,394,2665
Microbathyphantes_tateyamaensis,Araneomorphae,Linyphiidae,2253,542,2795
Floronia_bucculenta,Araneomorphae,Linyphiidae,2250,464,2714
Ainerigone_saitoi,Araneomorphae,Linyphiidae,2238,550,2788
