GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006370	7-methylguanosine mRNA capping	4	3	0.2	0.00051
2	GO:0006798	polyphosphate catabolic process	2	2	0.1	0.00260
3	GO:0090630	activation of GTPase activity	8	3	0.41	0.00607
4	GO:0043065	positive regulation of apoptotic process	4	2	0.2	0.01457
5	GO:0010992	ubiquitin recycling	4	2	0.2	0.01457
6	GO:0031398	positive regulation of protein ubiquitination	6	2	0.31	0.03403
7	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	63	8	3.22	0.04421
8	GO:0006020	inositol metabolic process	2	2	0.1	0.05082
9	GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	1	1	0.05	0.05115
10	GO:0042276	error-prone translesion synthesis	1	1	0.05	0.05115
11	GO:0006657	CDP-choline pathway	1	1	0.05	0.05115
12	GO:0006685	sphingomyelin catabolic process	1	1	0.05	0.05115
13	GO:1901098	positive regulation of autophagosome maturation	1	1	0.05	0.05115
14	GO:0008045	motor neuron axon guidance	1	1	0.05	0.05115
15	GO:0045717	negative regulation of fatty acid biosynthetic process	1	1	0.05	0.05115
16	GO:0072383	plus-end-directed vesicle transport along microtubule	1	1	0.05	0.05115
17	GO:0006833	water transport	1	1	0.05	0.05115
18	GO:0006021	inositol biosynthetic process	1	1	0.05	0.05115
19	GO:0015793	glycerol transmembrane transport	1	1	0.05	0.05115
20	GO:0097345	mitochondrial outer membrane permeabilization	1	1	0.05	0.05115
21	GO:0019878	L-lysine biosynthetic process via aminoadipic acid	1	1	0.05	0.05115
22	GO:0018343	protein farnesylation	1	1	0.05	0.05115
23	GO:0060623	regulation of chromosome condensation	1	1	0.05	0.05115
24	GO:0007507	heart development	1	1	0.05	0.05115
25	GO:0006231	dTMP biosynthetic process	1	1	0.05	0.05115
26	GO:0043252	sodium-independent organic anion transport	1	1	0.05	0.05115
27	GO:0000301	retrograde transport, vesicle recycling within Golgi	1	1	0.05	0.05115
28	GO:0010506	regulation of autophagy	14	3	0.72	0.05889
29	GO:0006470	protein dephosphorylation	32	4	1.64	0.07771
30	GO:0031124	mRNA 3'-end processing	10	2	0.51	0.08932
31	GO:0006606	protein import into nucleus	22	3	1.13	0.09917
32	GO:0008283	cell population proliferation	17	2	0.87	0.09955
33	GO:0046477	glycosylceramide catabolic process	2	1	0.1	0.09971
34	GO:0120009	intermembrane lipid transfer	2	1	0.1	0.09971
35	GO:0035627	ceramide transport	2	1	0.1	0.09971
36	GO:0030162	regulation of proteolysis	2	1	0.1	0.09971
37	GO:0005979	regulation of glycogen biosynthetic process	2	1	0.1	0.09971
38	GO:0030155	regulation of cell adhesion	2	1	0.1	0.09971
39	GO:0032924	activin receptor signaling pathway	2	1	0.1	0.09971
40	GO:0007340	acrosome reaction	2	1	0.1	0.09971
41	GO:0009253	peptidoglycan catabolic process	2	1	0.1	0.09971
42	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	2	1	0.1	0.09971
43	GO:0045943	positive regulation of transcription by RNA polymerase I	2	1	0.1	0.09971
44	GO:0006226	dUMP biosynthetic process	2	1	0.1	0.09971
45	GO:0030330	DNA damage response, signal transduction by p53 class mediator	2	1	0.1	0.09971
46	GO:0033209	tumor necrosis factor-mediated signaling pathway	2	1	0.1	0.09971
47	GO:1904263	positive regulation of TORC1 signaling	2	1	0.1	0.09971
48	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	2	1	0.1	0.09971
49	GO:1901610	positive regulation of vesicle transport along microtubule	2	1	0.1	0.09971
50	GO:0048870	cell motility	26	2	1.33	0.09986
51	GO:0000413	protein peptidyl-prolyl isomerization	11	2	0.56	0.10561
52	GO:0000266	mitochondrial fission	11	2	0.56	0.10561
53	GO:0006468	protein phosphorylation	114	8	5.83	0.12544
54	GO:0006511	ubiquitin-dependent protein catabolic process	104	12	5.32	0.13271
55	GO:0000209	protein polyubiquitination	26	3	1.33	0.14483
56	GO:0045494	photoreceptor cell maintenance	3	1	0.15	0.14580
57	GO:0008053	mitochondrial fusion	3	1	0.15	0.14580
58	GO:0008360	regulation of cell shape	3	1	0.15	0.14580
59	GO:0018095	protein polyglutamylation	3	1	0.15	0.14580
60	GO:0006084	acetyl-CoA metabolic process	3	1	0.15	0.14580
61	GO:0006384	transcription initiation at RNA polymerase III promoter	3	1	0.15	0.14580
62	GO:0000012	single strand break repair	3	1	0.15	0.14580
63	GO:1904294	positive regulation of ERAD pathway	3	1	0.15	0.14580
64	GO:0016139	glycoside catabolic process	3	1	0.15	0.14580
65	GO:0015936	coenzyme A metabolic process	3	1	0.15	0.14580
66	GO:0034198	cellular response to amino acid starvation	3	1	0.15	0.14580
67	GO:0007052	mitotic spindle organization	15	2	0.77	0.17692
68	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	15	2	0.77	0.17692
69	GO:0006397	mRNA processing	102	11	5.22	0.18586
70	GO:0043547	positive regulation of GTPase activity	12	4	0.61	0.18638
71	GO:0030111	regulation of Wnt signaling pathway	10	2	0.51	0.18870
72	GO:0006164	purine nucleotide biosynthetic process	18	2	0.92	0.18919
73	GO:0042593	glucose homeostasis	4	1	0.2	0.18954
74	GO:0030198	extracellular matrix organization	4	1	0.2	0.18954
75	GO:0043409	negative regulation of MAPK cascade	4	1	0.2	0.18954
76	GO:0006904	vesicle docking involved in exocytosis	4	1	0.2	0.18954
77	GO:0007254	JNK cascade	4	1	0.2	0.18954
78	GO:0030865	cortical cytoskeleton organization	4	1	0.2	0.18954
79	GO:0035023	regulation of Rho protein signal transduction	4	1	0.2	0.18954
80	GO:0006376	mRNA splice site recognition	4	1	0.2	0.18954
81	GO:0002098	tRNA wobble uridine modification	4	1	0.2	0.18954
82	GO:0018344	protein geranylgeranylation	4	1	0.2	0.18954
83	GO:0090090	negative regulation of canonical Wnt signaling pathway	4	1	0.2	0.18954
84	GO:0000338	protein deneddylation	4	1	0.2	0.18954
85	GO:0061709	reticulophagy	4	1	0.2	0.18954
86	GO:0007015	actin filament organization	31	3	1.59	0.20939
87	GO:0045087	innate immune response	17	2	0.87	0.21486
88	GO:0007099	centriole replication	5	1	0.26	0.23106
89	GO:0008284	positive regulation of cell population proliferation	5	1	0.26	0.23106
90	GO:0007020	microtubule nucleation	5	1	0.26	0.23106
91	GO:0008543	fibroblast growth factor receptor signaling pathway	5	1	0.26	0.23106
92	GO:0009311	oligosaccharide metabolic process	5	1	0.26	0.23106
93	GO:0030010	establishment of cell polarity	5	1	0.26	0.23106
94	GO:0016925	protein sumoylation	5	1	0.26	0.23106
95	GO:0006303	double-strand break repair via nonhomologous end joining	5	1	0.26	0.23106
