GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005764	lysosome	32	5	1.67	0.023
2	GO:0005635	nuclear envelope	30	4	1.56	0.035
3	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	6	2	0.31	0.035
4	GO:0005615	extracellular space	62	7	3.23	0.040
5	GO:0031510	SUMO activating enzyme complex	1	1	0.05	0.052
6	GO:0043614	multi-eIF complex	1	1	0.05	0.052
7	GO:0034455	t-UTP complex	1	1	0.05	0.052
8	GO:0030690	Noc1p-Noc2p complex	1	1	0.05	0.052
9	GO:0030691	Noc2p-Noc3p complex	1	1	0.05	0.052
10	GO:0034974	Swi5-Swi2 complex	1	1	0.05	0.052
11	GO:0005965	protein farnesyltransferase complex	1	1	0.05	0.052
12	GO:0033290	eukaryotic 48S preinitiation complex	1	1	0.05	0.052
13	GO:0071013	catalytic step 2 spliceosome	30	4	1.56	0.068
14	GO:0019005	SCF ubiquitin ligase complex	19	3	0.99	0.073
15	GO:0080008	Cul4-RING E3 ubiquitin ligase complex	9	2	0.47	0.076
16	GO:0005852	eukaryotic translation initiation factor 3 complex	9	2	0.47	0.076
17	GO:0005737	cytoplasm	1518	79	79.15	0.085
18	GO:0016323	basolateral plasma membrane	2	1	0.1	0.102
19	GO:0000923	equatorial microtubule organizing center	2	1	0.1	0.102
20	GO:0000164	protein phosphatase type 1 complex	2	1	0.1	0.102
21	GO:0015030	Cajal body	2	1	0.1	0.102
22	GO:0048179	activin receptor complex	2	1	0.1	0.102
23	GO:0055120	striated muscle dense body	2	1	0.1	0.102
24	GO:1990131	Gtr1-Gtr2 GTPase complex	2	1	0.1	0.102
25	GO:0005953	CAAX-protein geranylgeranyltransferase complex	2	1	0.1	0.102
26	GO:0031262	Ndc80 complex	2	1	0.1	0.102
27	GO:0002189	ribose phosphate diphosphokinase complex	2	1	0.1	0.102
28	GO:0032798	Swi5-Sfr1 complex	2	1	0.1	0.102
