GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043490	malate-aspartate shuttle	2	2	0.11	0.0028
2	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	2	0.16	0.0082
3	GO:1990180	mitochondrial tRNA 3'-end processing	3	2	0.16	0.0082
4	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	2	0.16	0.0082
5	GO:0051256	mitotic spindle midzone assembly	3	2	0.16	0.0082
6	GO:0015810	aspartate transmembrane transport	3	2	0.16	0.0082
7	GO:0008284	positive regulation of cell population proliferation	9	3	0.48	0.0099
8	GO:0032259	methylation	62	9	3.31	0.0249
9	GO:0090263	positive regulation of canonical Wnt signaling pathway	5	2	0.27	0.0255
10	GO:0048814	regulation of dendrite morphogenesis	5	2	0.27	0.0255
11	GO:0019509	L-methionine salvage from methylthioadenosine	5	2	0.27	0.0255
12	GO:0009435	NAD+ biosynthetic process	6	2	0.32	0.0369
13	GO:0015813	L-glutamate transmembrane transport	6	2	0.32	0.0369
14	GO:0000387	spliceosomal snRNP assembly	19	4	1.01	0.0422
15	GO:0035721	intraciliary retrograde transport	7	2	0.37	0.0499
16	GO:0043066	negative regulation of apoptotic process	26	4	1.39	0.0501
17	GO:0008219	cell death	85	7	4.54	0.0531
18	GO:0046040	IMP metabolic process	7	2	0.37	0.0532
19	GO:2000812	regulation of barbed-end actin filament capping	1	1	0.05	0.0534
20	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	1	1	0.05	0.0534
21	GO:0036085	GDP-fucose import into Golgi lumen	1	1	0.05	0.0534
22	GO:0034462	small-subunit processome assembly	1	1	0.05	0.0534
23	GO:0019878	L-lysine biosynthetic process via aminoadipic acid	1	1	0.05	0.0534
24	GO:0090160	Golgi to lysosome transport	1	1	0.05	0.0534
25	GO:0070836	caveola assembly	1	1	0.05	0.0534
26	GO:0036261	7-methylguanosine cap hypermethylation	1	1	0.05	0.0534
27	GO:0140206	dipeptide import across plasma membrane	1	1	0.05	0.0534
28	GO:2000042	negative regulation of double-strand break repair via homologous recombination	1	1	0.05	0.0534
29	GO:0019543	propionate catabolic process	1	1	0.05	0.0534
30	GO:0090222	centrosome-templated microtubule nucleation	1	1	0.05	0.0534
31	GO:0035965	cardiolipin acyl-chain remodeling	1	1	0.05	0.0534
32	GO:0010766	negative regulation of sodium ion transport	1	1	0.05	0.0534
33	GO:0006427	histidyl-tRNA aminoacylation	1	1	0.05	0.0534
34	GO:0010774	meiotic strand invasion involved in reciprocal meiotic recombination	1	1	0.05	0.0534
35	GO:2000632	negative regulation of pre-miRNA processing	1	1	0.05	0.0534
36	GO:0006538	L-glutamate catabolic process	1	1	0.05	0.0534
37	GO:0051793	medium-chain fatty acid catabolic process	1	1	0.05	0.0534
38	GO:0070183	mitochondrial tryptophanyl-tRNA aminoacylation	1	1	0.05	0.0534
39	GO:1903288	positive regulation of potassium ion import across plasma membrane	1	1	0.05	0.0534
40	GO:0071333	cellular response to glucose stimulus	1	1	0.05	0.0534
41	GO:0009436	glyoxylate catabolic process	1	1	0.05	0.0534
42	GO:0018364	peptidyl-glutamine methylation	1	1	0.05	0.0534
43	GO:0046327	glycerol biosynthetic process from pyruvate	1	1	0.05	0.0534
44	GO:0045666	positive regulation of neuron differentiation	1	1	0.05	0.0534
45	GO:0019254	carnitine metabolic process, CoA-linked	1	1	0.05	0.0534
46	GO:0043419	urea catabolic process	1	1	0.05	0.0534
47	GO:0048011	neurotrophin TRK receptor signaling pathway	1	1	0.05	0.0534
48	GO:0001654	eye development	1	1	0.05	0.0534
49	GO:0007596	blood coagulation	1	1	0.05	0.0534
50	GO:0001680	tRNA 3'-terminal CCA addition	1	1	0.05	0.0534
51	GO:1990845	adaptive thermogenesis	1	1	0.05	0.0534
52	GO:0000709	meiotic joint molecule formation	1	1	0.05	0.0534
53	GO:0071539	protein localization to centrosome	1	1	0.05	0.0534
54	GO:0046579	positive regulation of Ras protein signal transduction	1	1	0.05	0.0534
55	GO:0031954	positive regulation of protein autophosphorylation	1	1	0.05	0.0534
56	GO:0000301	retrograde transport, vesicle recycling within Golgi	1	1	0.05	0.0534
57	GO:0046168	glycerol-3-phosphate catabolic process	1	1	0.05	0.0534
58	GO:0050801	monoatomic ion homeostasis	76	5	4.06	0.0534
59	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	17	3	0.91	0.0587
60	GO:0006325	chromatin organization	86	5	4.59	0.0595
61	GO:0007266	Rho protein signal transduction	20	4	1.07	0.0637
62	GO:0006508	proteolysis	225	20	12.01	0.0642
63	GO:0006099	tricarboxylic acid cycle	18	3	0.96	0.0678
64	GO:0007218	neuropeptide signaling pathway	9	2	0.48	0.0797
65	GO:0006094	gluconeogenesis	10	2	0.53	0.0962
66	GO:0030705	cytoskeleton-dependent intracellular transport	42	5	2.24	0.1033
67	GO:0009452	7-methylguanosine RNA capping	6	2	0.32	0.1036
68	GO:0007178	cell surface receptor protein serine/threonine kinase signaling pathway	26	3	1.39	0.1037
69	GO:0042325	regulation of phosphorylation	73	5	3.9	0.1038
70	GO:0006391	transcription initiation at mitochondrial promoter	2	1	0.11	0.1039
71	GO:0006393	termination of mitochondrial transcription	2	1	0.11	0.1039
72	GO:0045739	positive regulation of DNA repair	2	1	0.11	0.1039
