GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0032797	SMN complex	6	3	0.33	0.0028
2	GO:0097038	perinuclear endoplasmic reticulum	2	2	0.11	0.0029
3	GO:0030136	clathrin-coated vesicle	24	5	1.3	0.0047
4	GO:0045252	oxoglutarate dehydrogenase complex	3	2	0.16	0.0085
5	GO:0005759	mitochondrial matrix	91	11	4.93	0.0149
6	GO:0005851	eukaryotic translation initiation factor 2B complex	4	2	0.22	0.0163
7	GO:0005737	cytoplasm	2999	184	162.58	0.0310
8	GO:0030991	intraciliary transport particle A	6	2	0.33	0.0380
9	GO:0001725	stress fiber	7	2	0.38	0.0513
10	GO:0099503	secretory vesicle	51	5	2.76	0.0540
11	GO:0030428	cell septum	1	1	0.05	0.0542
12	GO:1990923	PET complex	1	1	0.05	0.0542
13	GO:0005700	polytene chromosome	1	1	0.05	0.0542
14	GO:0097149	centralspindlin complex	1	1	0.05	0.0542
15	GO:1990023	mitotic spindle midzone	1	1	0.05	0.0542
16	GO:0016533	protein kinase 5 complex	1	1	0.05	0.0542
17	GO:0031213	RSF complex	1	1	0.05	0.0542
18	GO:0017146	NMDA selective glutamate receptor complex	1	1	0.05	0.0542
19	GO:0120231	DNA recombinase auxiliary factor complex	1	1	0.05	0.0542
20	GO:0035550	urease complex	1	1	0.05	0.0542
21	GO:0012506	vesicle membrane	103	2	5.58	0.0549
22	GO:0030018	Z disc	8	2	0.43	0.0660
23	GO:0005739	mitochondrion	530	42	28.73	0.0854
24	GO:0009925	basal plasma membrane	14	2	0.76	0.1054
25	GO:0071598	neuronal ribonucleoprotein granule	2	1	0.11	0.1055
26	GO:0005745	m-AAA complex	2	1	0.11	0.1055
27	GO:0008290	F-actin capping protein complex	2	1	0.11	0.1055
28	GO:0098894	extrinsic component of presynaptic endocytic zone membrane	2	1	0.11	0.1055
29	GO:1990423	RZZ complex	2	1	0.11	0.1055
30	GO:0009331	glycerol-3-phosphate dehydrogenase (FAD) complex	2	1	0.11	0.1055
31	GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	2	1	0.11	0.1055
32	GO:0005945	6-phosphofructokinase complex	2	1	0.11	0.1055
33	GO:0016035	zeta DNA polymerase complex	2	1	0.11	0.1055
