Description	Count	p	Ontology
positive regulation of cell population proliferation	3	0.0099	bp
methylation	9	0.0249	bp
positive regulation of canonical Wnt signaling pathway	2	0.0255	bp
regulation of dendrite morphogenesis	2	0.0255	bp
L-methionine salvage from methylthioadenosine	2	0.0255	bp
NAD+ biosynthetic process	2	0.0369	bp
L-glutamate transmembrane transport	2	0.0369	bp
spliceosomal snRNP assembly	4	0.0422	bp
intraciliary retrograde transport	2	0.0499	bp
SMN complex	3	0.0028	cc
clathrin-coated vesicle	5	0.0047	cc
mitochondrial matrix	11	0.0149	cc
cytoplasm	184	0.0310	cc
intraciliary transport particle A	2	0.0380	cc
manganese ion binding	4	0.0041	mf
translation initiation factor binding	3	0.0188	mf
metalloaminopeptidase activity	3	0.0368	mf
L-glutamate transmembrane transporter activity	2	0.0380	mf
