GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005902	microvillus	2	2	0.06	0.001
2	GO:1990316	Atg1/ULK1 kinase complex	3	2	0.1	0.003
3	GO:0019773	proteasome core complex, alpha-subunit complex	7	2	0.22	0.019
4	GO:0031982	vesicle	200	3	6.39	0.020
5	GO:0005615	extracellular space	138	9	4.41	0.031
6	GO:0010494	cytoplasmic stress granule	9	2	0.29	0.031
7	GO:0001726	ruffle	1	1	0.03	0.032
8	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.03	0.032
9	GO:0030425	dendrite	10	2	0.32	0.039
10	GO:0016324	apical plasma membrane	13	2	0.42	0.063
11	GO:0030864	cortical actin cytoskeleton	13	2	0.42	0.063
12	GO:0016459	myosin complex	13	2	0.42	0.063
13	GO:0031616	spindle pole centrosome	2	1	0.06	0.063
14	GO:0000938	GARP complex	2	1	0.06	0.063
15	GO:0001405	PAM complex, Tim23 associated import motor	2	1	0.06	0.063
16	GO:1990745	EARP complex	2	1	0.06	0.063
17	GO:0005886	plasma membrane	433	21	13.83	0.070
18	GO:0005739	mitochondrion	374	15	11.94	0.088
19	GO:0071007	U2-type catalytic step 2 spliceosome	3	1	0.1	0.093
20	GO:0071797	LUBAC complex	3	1	0.1	0.093
21	GO:0030496	midbody	3	1	0.1	0.093
22	GO:0005952	cAMP-dependent protein kinase complex	3	1	0.1	0.093
23	GO:0005777	peroxisome	38	3	1.21	0.100
24	GO:0031012	extracellular matrix	66	5	2.11	0.104
25	GO:0000407	phagophore assembly site	19	2	0.61	0.122
26	GO:0032133	chromosome passenger complex	4	1	0.13	0.122
27	GO:0000164	protein phosphatase type 1 complex	4	1	0.13	0.122
28	GO:0044545	NSL complex	4	1	0.13	0.122
29	GO:0140268	endoplasmic reticulum-plasma membrane contact site	4	1	0.13	0.122
30	GO:0031298	replication fork protection complex	4	1	0.13	0.122
31	GO:0030014	CCR4-NOT complex	12	2	0.38	0.149
32	GO:0005876	spindle microtubule	5	1	0.16	0.150
33	GO:0009897	external side of plasma membrane	5	1	0.16	0.150
34	GO:0051233	spindle midzone	5	1	0.16	0.150
35	GO:0034518	RNA cap binding complex	5	1	0.16	0.150
36	GO:0005758	mitochondrial intermembrane space	5	1	0.16	0.150
37	GO:0005839	proteasome core complex	13	3	0.42	0.175
38	GO:0019005	SCF ubiquitin ligase complex	24	2	0.77	0.178
39	GO:0005643	nuclear pore	25	2	0.8	0.189
40	GO:0072546	EMC complex	7	1	0.22	0.203
41	GO:0000794	condensed nuclear chromosome	7	1	0.22	0.203
42	GO:0005685	U1 snRNP	7	1	0.22	0.203
43	GO:0030015	CCR4-NOT core complex	7	1	0.22	0.203
44	GO:0043296	apical junction complex	8	1	0.26	0.229
45	GO:0035102	PRC1 complex	8	1	0.26	0.229
46	GO:0062129	chitin-based extracellular matrix	30	2	0.96	0.248
47	GO:0005773	vacuole	72	2	2.3	0.255
48	GO:0005852	eukaryotic translation initiation factor 3 complex	10	1	0.32	0.277
49	GO:0005921	gap junction	10	1	0.32	0.277
50	GO:0031519	PcG protein complex	19	2	0.61	0.299
51	GO:0005829	cytosol	333	12	10.63	0.343
52	GO:0046540	U4/U6 x U5 tri-snRNP complex	13	1	0.42	0.345
53	GO:0005811	lipid droplet	14	1	0.45	0.366
54	GO:0032045	guanyl-nucleotide exchange factor complex	14	1	0.45	0.366
55	GO:0005912	adherens junction	14	1	0.45	0.366
56	GO:0000118	histone deacetylase complex	15	1	0.48	0.386
57	GO:0019898	extrinsic component of membrane	42	2	1.34	0.390
58	GO:0005765	lysosomal membrane	18	1	0.57	0.443
59	GO:0009986	cell surface	24	2	0.77	0.459
60	GO:0005840	ribosome	107	3	3.42	0.480
61	GO:0045211	postsynaptic membrane	21	1	0.67	0.495
62	GO:0005778	peroxisomal membrane	21	1	0.67	0.495
63	GO:0000932	P-body	22	1	0.7	0.511
64	GO:0022625	cytosolic large ribosomal subunit	23	1	0.73	0.527
65	GO:0032040	small-subunit processome	27	1	0.86	0.585
66	GO:0015934	large ribosomal subunit	53	2	1.69	0.623
67	GO:0005694	chromosome	166	5	5.3	0.624
68	GO:0005743	mitochondrial inner membrane	49	2	1.56	0.657
69	GO:0005576	extracellular region	213	11	6.8	0.680
70	GO:0043235	receptor complex	36	1	1.15	0.691
71	GO:0005681	spliceosomal complex	84	2	2.68	0.711
72	GO:0005856	cytoskeleton	249	7	7.95	0.712
73	GO:0005634	nucleus	1401	38	44.74	0.714
74	GO:0005783	endoplasmic reticulum	278	7	8.88	0.749
75	GO:0005813	centrosome	45	2	1.44	0.752
76	GO:0045202	synapse	85	2	2.71	0.823
77	GO:0005789	endoplasmic reticulum membrane	149	4	4.76	0.836
78	GO:0000785	chromatin	83	2	2.65	0.844
79	GO:0012505	endomembrane system	600	11	19.16	0.846
80	GO:0005929	cilium	71	1	2.27	0.902
81	GO:0005654	nucleoplasm	155	3	4.95	0.942
82	GO:0005667	transcription regulator complex	91	1	2.91	0.949
83	GO:0016020	membrane	1336	38	42.66	0.978
84	GO:0005737	cytoplasm	2189	61	69.9	0.983
85	GO:0005794	Golgi apparatus	180	2	5.75	0.997
86	GO:0045177	apical part of cell	15	2	0.48	1.000
87	GO:0030532	small nuclear ribonucleoprotein complex	31	2	0.99	1.000
88	GO:0099512	supramolecular fiber	75	1	2.4	1.000
89	GO:0099513	polymeric cytoskeletal fiber	61	1	1.95	1.000
90	GO:0031461	cullin-RING ubiquitin ligase complex	49	2	1.56	1.000
91	GO:0055037	recycling endosome	19	1	0.61	1.000
92	GO:0043226	organelle	2807	80	89.64	1.000
93	GO:0099023	vesicle tethering complex	26	1	0.83	1.000
94	GO:0043227	membrane-bounded organelle	2498	67	79.77	1.000
95	GO:0031981	nuclear lumen	306	6	9.77	1.000
96	GO:0043228	membraneless organelle	707	20	22.58	1.000
97	GO:0043229	intracellular organelle	2772	79	88.52	1.000
98	GO:0031984	organelle subcompartment	198	4	6.32	1.000
99	GO:0005740	mitochondrial envelope	87	3	2.78	1.000
100	GO:0000922	spindle pole	13	1	0.42	1.000
