GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0032133	chromosome passenger complex	4	4	0.62	0.00058
2	GO:0051233	spindle midzone	5	4	0.78	0.00254
3	GO:0072669	tRNA-splicing ligase complex	4	3	0.62	0.01325
4	GO:0005912	adherens junction	7	4	1.09	0.01370
5	GO:0045177	apical part of cell	9	4	1.4	0.02408
6	GO:0005664	nuclear origin of replication recognition complex	2	2	0.31	0.02417
7	GO:0030692	Noc4p-Nop14p complex	2	2	0.31	0.02417
8	GO:0042470	melanosome	2	2	0.31	0.02417
9	GO:0031616	spindle pole centrosome	2	2	0.31	0.02417
10	GO:0030175	filopodium	2	2	0.31	0.02417
11	GO:0005721	pericentric heterochromatin	2	2	0.31	0.02417
12	GO:0000407	phagophore assembly site	17	6	2.65	0.02740
13	GO:0005813	centrosome	27	10	4.2	0.02991
14	GO:0062129	chitin-based extracellular matrix	9	4	1.4	0.03810
15	GO:0000922	spindle pole	8	5	1.24	0.05145
16	GO:0030015	CCR4-NOT core complex	6	3	0.93	0.05195
17	GO:1990072	TRAPPIII protein complex	3	2	0.47	0.06503
18	GO:0005581	collagen trimer	3	2	0.47	0.06503
19	GO:0035102	PRC1 complex	3	2	0.47	0.06503
20	GO:0070449	elongin complex	3	2	0.47	0.06503
21	GO:0005856	cytoskeleton	137	27	21.32	0.07553
22	GO:0072686	mitotic spindle	7	3	1.09	0.08063
23	GO:0022627	cytosolic small ribosomal subunit	7	3	1.09	0.08063
24	GO:0036064	ciliary basal body	14	5	2.18	0.10187
25	GO:0005769	early endosome	12	4	1.87	0.10233
26	GO:0030688	preribosome, small subunit precursor	10	5	1.56	0.11357
27	GO:0005814	centriole	8	3	1.24	0.11457
28	GO:0000775	chromosome, centromeric region	17	6	2.65	0.11590
29	GO:0070652	HAUS complex	4	2	0.62	0.11680
30	GO:0005604	basement membrane	4	2	0.62	0.11680
31	GO:0005876	spindle microtubule	4	2	0.62	0.11680
32	GO:0044545	NSL complex	4	2	0.62	0.11680
33	GO:0000932	P-body	18	5	2.8	0.13513
34	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	6	2	0.93	0.15555
35	GO:0034456	UTP-C complex	1	1	0.16	0.15562
36	GO:0031251	PAN complex	1	1	0.16	0.15562
37	GO:0070187	shelterin complex	1	1	0.16	0.15562
38	GO:0097541	axonemal basal plate	1	1	0.16	0.15562
39	GO:0071203	WASH complex	1	1	0.16	0.15562
40	GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	1	1	0.16	0.15562
41	GO:0016605	PML body	1	1	0.16	0.15562
42	GO:0031594	neuromuscular junction	1	1	0.16	0.15562
43	GO:0000444	MIS12/MIND type complex	1	1	0.16	0.15562
44	GO:0034751	aryl hydrocarbon receptor complex	1	1	0.16	0.15562
45	GO:0030678	mitochondrial ribonuclease P complex	1	1	0.16	0.15562
46	GO:0032593	insulin-responsive compartment	1	1	0.16	0.15562
47	GO:0008275	gamma-tubulin small complex	1	1	0.16	0.15562
48	GO:0070421	DNA ligase III-XRCC1 complex	1	1	0.16	0.15562
49	GO:0071818	BAT3 complex	1	1	0.16	0.15562
50	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	1	1	0.16	0.15562
51	GO:0033596	TSC1-TSC2 complex	1	1	0.16	0.15562
52	GO:0017109	glutamate-cysteine ligase complex	1	1	0.16	0.15562
53	GO:0030121	AP-1 adaptor complex	1	1	0.16	0.15562
54	GO:0008232	activator ecdysone receptor complex	1	1	0.16	0.15562
55	GO:0005846	nuclear cap binding complex	1	1	0.16	0.15562
56	GO:0061177	type Is terminal bouton	1	1	0.16	0.15562
57	GO:0070776	MOZ/MORF histone acetyltransferase complex	1	1	0.16	0.15562
58	GO:0005697	telomerase holoenzyme complex	1	1	0.16	0.15562
59	GO:0033181	plasma membrane proton-transporting V-type ATPase complex	1	1	0.16	0.15562
60	GO:0000243	commitment complex	1	1	0.16	0.15562
61	GO:0032541	cortical endoplasmic reticulum	1	1	0.16	0.15562
62	GO:1990246	uniplex complex	1	1	0.16	0.15562
63	GO:0032545	CURI complex	1	1	0.16	0.15562
64	GO:0030014	CCR4-NOT complex	11	5	1.71	0.17380
65	GO:0030141	secretory granule	6	3	0.93	0.17458
66	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	5	2	0.78	0.17512
67	GO:0080008	Cul4-RING E3 ubiquitin ligase complex	10	3	1.56	0.19434
68	GO:0032040	small-subunit processome	26	6	4.05	0.20764
69	GO:0071011	precatalytic spliceosome	21	5	3.27	0.21883
70	GO:0030008	TRAPP complex	9	4	1.4	0.23547
71	GO:0005685	U1 snRNP	6	2	0.93	0.23671
72	GO:0071014	post-mRNA release spliceosomal complex	6	2	0.93	0.23671
73	GO:0005832	chaperonin-containing T-complex	6	2	0.93	0.23671
74	GO:0005834	heterotrimeric G-protein complex	6	2	0.93	0.23671
75	GO:0016020	membrane	783	114	121.85	0.28293
76	GO:0055037	recycling endosome	12	3	1.87	0.28349
77	GO:0005765	lysosomal membrane	12	3	1.87	0.28349
78	GO:0015935	small ribosomal subunit	23	5	3.58	0.28665
79	GO:0097730	non-motile cilium	4	2	0.62	0.28668
80	GO:0030018	Z disc	2	1	0.31	0.28707
81	GO:0000923	equatorial microtubule organizing center	2	1	0.31	0.28707
82	GO:0048476	Holliday junction resolvase complex	2	1	0.31	0.28707
83	GO:0016589	NURF complex	2	1	0.31	0.28707
84	GO:0032783	super elongation complex	2	1	0.31	0.28707
85	GO:0016514	SWI/SNF complex	2	1	0.31	0.28707
86	GO:0070985	transcription factor TFIIK complex	2	1	0.31	0.28707
87	GO:0070062	extracellular exosome	2	1	0.31	0.28707
88	GO:0032807	DNA ligase IV complex	2	1	0.31	0.28707
89	GO:0017059	serine palmitoyltransferase complex	2	1	0.31	0.28707
90	GO:0044233	mitochondria-associated endoplasmic reticulum membrane contact site	2	1	0.31	0.28707
91	GO:0042765	GPI-anchor transamidase complex	2	1	0.31	0.28707
92	GO:1902636	kinociliary basal body	2	1	0.31	0.28707
93	GO:0030496	midbody	2	1	0.31	0.28707
94	GO:0034715	pICln-Sm protein complex	2	1	0.31	0.28707
95	GO:0031466	Cul5-RING ubiquitin ligase complex	2	1	0.31	0.28707
96	GO:0016323	basolateral plasma membrane	2	1	0.31	0.28707
97	GO:0031515	tRNA (m1A) methyltransferase complex	2	1	0.31	0.28707
98	GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	2	1	0.31	0.28707
99	GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	2	1	0.31	0.28707
100	GO:0033186	CAF-1 complex	2	1	0.31	0.28707
101	GO:0048179	activin receptor complex	2	1	0.31	0.28707
102	GO:0000176	nuclear exosome (RNase complex)	7	2	1.09	0.29913
103	GO:0000177	cytoplasmic exosome (RNase complex)	7	2	1.09	0.29913
104	GO:0010494	cytoplasmic stress granule	7	2	1.09	0.29913
105	GO:0016324	apical plasma membrane	7	2	1.09	0.29913
106	GO:0031410	cytoplasmic vesicle	135	13	21.01	0.30804
107	GO:0019005	SCF ubiquitin ligase complex	19	4	2.96	0.34155
108	GO:0005776	autophagosome	12	3	1.87	0.36025
109	GO:0009898	cytoplasmic side of plasma membrane	11	3	1.71	0.39755
110	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	9	2	1.4	0.39805
111	GO:0005663	DNA replication factor C complex	3	1	0.47	0.39810
112	GO:0005687	U4 snRNP	3	1	0.47	0.39810
113	GO:0097546	ciliary base	3	1	0.47	0.39810
114	GO:1990429	peroxisomal importomer complex	3	1	0.47	0.39810
115	GO:0071144	heteromeric SMAD protein complex	3	1	0.47	0.39810
116	GO:0000811	GINS complex	3	1	0.47	0.39810
117	GO:0000814	ESCRT II complex	3	1	0.47	0.39810
118	GO:0005921	gap junction	3	1	0.47	0.39810
119	GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	3	1	0.47	0.39810
120	GO:0036038	MKS complex	3	1	0.47	0.39810
121	GO:0016342	catenin complex	3	1	0.47	0.39810
122	GO:0030915	Smc5-Smc6 complex	3	1	0.47	0.39810
123	GO:0071339	MLL1 complex	3	1	0.47	0.39810
124	GO:0030136	clathrin-coated vesicle	12	2	1.87	0.39839
125	GO:0005743	mitochondrial inner membrane	43	6	6.69	0.41652
126	GO:0005686	U2 snRNP	9	2	1.4	0.42004
127	GO:0005737	cytoplasm	1544	231	240.28	0.44273
128	GO:0005615	extracellular space	62	11	9.65	0.45879
129	GO:0005852	eukaryotic translation initiation factor 3 complex	10	2	1.56	0.47647
130	GO:0036464	cytoplasmic ribonucleoprotein granule	33	9	5.14	0.48898
131	GO:0034457	Mpp10 complex	4	1	0.62	0.49186
132	GO:0043240	Fanconi anaemia nuclear complex	4	1	0.62	0.49186
133	GO:0000421	autophagosome membrane	4	1	0.62	0.49186
134	GO:0030672	synaptic vesicle membrane	4	1	0.62	0.49186
135	GO:0009897	external side of plasma membrane	4	1	0.62	0.49186
136	GO:0032588	trans-Golgi network membrane	4	1	0.62	0.49186
137	GO:0071004	U2-type prespliceosome	4	1	0.62	0.49186
138	GO:0034657	GID complex	4	1	0.62	0.49186
139	GO:0005778	peroxisomal membrane	17	3	2.65	0.50691
140	GO:0016592	mediator complex	17	3	2.65	0.50691
141	GO:0071013	catalytic step 2 spliceosome	30	5	4.67	0.51064
142	GO:0030686	90S preribosome	21	7	3.27	0.52502
143	GO:0016604	nuclear body	12	3	1.87	0.52834
144	GO:0005794	Golgi apparatus	123	17	19.14	0.55526
145	GO:0005739	mitochondrion	322	45	50.11	0.55720
146	GO:0005819	spindle	22	10	3.42	0.56550
147	GO:0015630	microtubule cytoskeleton	94	21	14.63	0.57030
148	GO:0035869	ciliary transition zone	8	2	1.24	0.57059
149	GO:0032039	integrator complex	5	1	0.78	0.57105
150	GO:0043186	P granule	5	1	0.78	0.57105
151	GO:0034045	phagophore assembly site membrane	5	1	0.78	0.57105
152	GO:0008250	oligosaccharyltransferase complex	5	1	0.78	0.57105
153	GO:0035371	microtubule plus-end	5	1	0.78	0.57105
154	GO:0005940	septin ring	5	1	0.78	0.57105
155	GO:0034719	SMN-Sm protein complex	5	1	0.78	0.57105
156	GO:0033180	proton-transporting V-type ATPase, V1 domain	5	1	0.78	0.57105
157	GO:0033179	proton-transporting V-type ATPase, V0 domain	5	1	0.78	0.57105
158	GO:0031105	septin complex	5	1	0.78	0.57105
159	GO:0019773	proteasome core complex, alpha-subunit complex	5	1	0.78	0.57105
160	GO:0005681	spliceosomal complex	69	14	10.74	0.57449
161	GO:0031012	extracellular matrix	26	8	4.05	0.61876
162	GO:0005669	transcription factor TFIID complex	6	1	0.93	0.63792
163	GO:0005682	U5 snRNP	6	1	0.93	0.63792
164	GO:0072546	EMC complex	6	1	0.93	0.63792
165	GO:0043025	neuronal cell body	6	1	0.93	0.63792
166	GO:0005759	mitochondrial matrix	64	7	9.96	0.66113
167	GO:0030131	clathrin adaptor complex	8	2	1.24	0.69365
168	GO:0005942	phosphatidylinositol 3-kinase complex	10	2	1.56	0.69392
169	GO:0000776	kinetochore	10	2	1.56	0.69392
170	GO:0031902	late endosome membrane	7	1	1.09	0.69438
171	GO:0005680	anaphase-promoting complex	7	1	1.09	0.69438
172	GO:0016471	vacuolar proton-transporting V-type ATPase complex	7	1	1.09	0.69438
173	GO:0070847	core mediator complex	7	1	1.09	0.69438
174	GO:0005684	U2-type spliceosomal complex	13	3	2.02	0.74104
175	GO:0032153	cell division site	10	2	1.56	0.74148
176	GO:0005689	U12-type spliceosomal complex	8	1	1.24	0.74206
177	GO:0031966	mitochondrial membrane	68	8	10.58	0.74404
178	GO:0005802	trans-Golgi network	28	4	4.36	0.74527
179	GO:0043005	neuron projection	33	5	5.14	0.76725
180	GO:0005667	transcription regulator complex	67	10	10.43	0.77769
181	GO:0005774	vacuolar membrane	30	5	4.67	0.78173
182	GO:0005666	RNA polymerase III complex	9	1	1.4	0.78231
183	GO:0008180	COP9 signalosome	9	1	1.4	0.78231
184	GO:0005789	endoplasmic reticulum membrane	112	16	17.43	0.78840
185	GO:0005634	nucleus	973	144	151.42	0.79855
186	GO:0005694	chromosome	114	20	17.74	0.81414
187	GO:0005762	mitochondrial large ribosomal subunit	27	3	4.2	0.81537
188	GO:0005886	plasma membrane	213	31	33.15	0.83301
189	GO:0019898	extrinsic component of membrane	33	6	5.14	0.84388
190	GO:1990234	transferase complex	209	29	32.53	0.84440
191	GO:0005730	nucleolus	103	16	16.03	0.85354
192	GO:0045202	synapse	37	4	5.76	0.86181
193	GO:0090575	RNA polymerase II transcription regulator complex	34	6	5.29	0.86819
194	GO:0030424	axon	14	2	2.18	0.86876
195	GO:0097526	spliceosomal tri-snRNP complex	12	1	1.87	0.86919
196	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	12	1	1.87	0.86919
197	GO:0005829	cytosol	205	30	31.9	0.87890
198	GO:0030687	preribosome, large subunit precursor	13	1	2.02	0.88963
199	GO:0012505	endomembrane system	430	49	66.92	0.89373
200	GO:0005576	extracellular region	103	15	16.03	0.89994
201	GO:0005654	nucleoplasm	112	14	17.43	0.90237
202	GO:0005763	mitochondrial small ribosomal subunit	14	1	2.18	0.90688
203	GO:0005783	endoplasmic reticulum	210	27	32.68	0.92206
204	GO:0000139	Golgi membrane	27	2	4.2	0.93875
205	GO:0005874	microtubule	26	4	4.05	0.94348
206	GO:0005741	mitochondrial outer membrane	17	1	2.65	0.94410
207	GO:0005643	nuclear pore	17	1	2.65	0.94410
208	GO:1990904	ribonucleoprotein complex	210	37	32.68	0.95817
209	GO:0005764	lysosome	32	4	4.98	0.96615
210	GO:0000785	chromatin	62	8	9.65	0.96634
211	GO:0031201	SNARE complex	21	1	3.27	0.97172
212	GO:0000228	nuclear chromosome	31	4	4.82	0.98766
213	GO:0043231	intracellular membrane-bounded organelle	1763	246	274.36	0.99504
214	GO:0015629	actin cytoskeleton	34	1	5.29	0.99693
215	GO:0120025	plasma membrane bounded cell projection	75	14	11.67	1.00000
216	GO:0097708	intracellular vesicle	135	13	21.01	1.00000
217	GO:0005740	mitochondrial envelope	73	8	11.36	1.00000
218	GO:0030016	myofibril	6	1	0.93	1.00000
219	GO:0030017	sarcomere	4	1	0.62	1.00000
220	GO:0098590	plasma membrane region	19	3	2.96	1.00000
221	GO:0140047	specialized extracellular matrix	9	4	1.4	1.00000
222	GO:0031903	microbody membrane	17	3	2.65	1.00000
