GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0002189	ribose phosphate diphosphokinase complex	2	2	0.13	0.0043
2	GO:0062129	chitin-based extracellular matrix	27	5	1.78	0.0287
3	GO:0043231	intracellular membrane-bounded organelle	930	68	61.22	0.0322
4	GO:0005737	cytoplasm	896	74	58.98	0.0351
5	GO:0043296	apical junction complex	5	2	0.33	0.0377
6	GO:0005669	transcription factor TFIID complex	5	2	0.33	0.0377
7	GO:0031982	vesicle	83	8	5.46	0.0535
8	GO:0005770	late endosome	6	2	0.39	0.0542
9	GO:0005925	focal adhesion	6	2	0.39	0.0542
10	GO:0030906	retromer, cargo-selective complex	1	1	0.07	0.0658
11	GO:0097255	R2TP complex	1	1	0.07	0.0658
12	GO:0009897	external side of plasma membrane	1	1	0.07	0.0658
13	GO:0097541	axonemal basal plate	1	1	0.07	0.0658
14	GO:0097542	ciliary tip	1	1	0.07	0.0658
15	GO:0005663	DNA replication factor C complex	1	1	0.07	0.0658
16	GO:0005668	RNA polymerase transcription factor SL1 complex	1	1	0.07	0.0658
17	GO:0070860	RNA polymerase I core factor complex	1	1	0.07	0.0658
18	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.07	0.0658
19	GO:0005643	nuclear pore	9	2	0.59	0.1143
20	GO:0030117	membrane coat	11	2	0.72	0.1270
21	GO:0035145	exon-exon junction complex	2	1	0.13	0.1274
22	GO:0071782	endoplasmic reticulum tubular network	2	1	0.13	0.1274
23	GO:1990316	Atg1/ULK1 kinase complex	2	1	0.13	0.1274
24	GO:0034515	proteasome storage granule	2	1	0.13	0.1274
25	GO:0005901	caveola	2	1	0.13	0.1274
26	GO:0005902	microvillus	2	1	0.13	0.1274
27	GO:0070776	MOZ/MORF histone acetyltransferase complex	2	1	0.13	0.1274
28	GO:0005869	dynactin complex	2	1	0.13	0.1274
29	GO:0046695	SLIK (SAGA-like) complex	2	1	0.13	0.1274
30	GO:0005658	alpha DNA polymerase:primase complex	2	1	0.13	0.1274
31	GO:0008540	proteasome regulatory particle, base subcomplex	2	1	0.13	0.1274
32	GO:0016324	apical plasma membrane	10	2	0.66	0.1369
33	GO:0005783	endoplasmic reticulum	99	11	6.52	0.1416
34	GO:0005886	plasma membrane	285	23	18.76	0.1558
35	GO:0005912	adherens junction	11	2	0.72	0.1604
36	GO:0005838	proteasome regulatory particle	5	2	0.33	0.1838
37	GO:0000124	SAGA complex	3	1	0.2	0.1849
38	GO:0030131	clathrin adaptor complex	3	1	0.2	0.1849
39	GO:0005622	intracellular anatomical structure	1448	106	95.32	0.1969
40	GO:0005802	trans-Golgi network	13	2	0.86	0.2092
41	GO:0032045	guanyl-nucleotide exchange factor complex	4	1	0.26	0.2386
42	GO:0005736	RNA polymerase I complex	4	1	0.26	0.2386
43	GO:0031901	early endosome membrane	4	1	0.26	0.2386
44	GO:0005811	lipid droplet	4	1	0.26	0.2386
45	GO:0022625	cytosolic large ribosomal subunit	15	2	0.99	0.2592
46	GO:0005814	centriole	5	1	0.33	0.2888
47	GO:0000407	phagophore assembly site	5	1	0.33	0.2888
48	GO:0005921	gap junction	5	1	0.33	0.2888
49	GO:0000786	nucleosome	5	1	0.33	0.2888
50	GO:0005789	endoplasmic reticulum membrane	55	5	3.62	0.2938
51	GO:0005681	spliceosomal complex	18	2	1.18	0.3343
52	GO:0005576	extracellular region	162	10	10.66	0.3439
53	GO:0030864	cortical actin cytoskeleton	7	1	0.46	0.3796
54	GO:0005891	voltage-gated calcium channel complex	7	1	0.46	0.3796
55	GO:0048786	presynaptic active zone	7	1	0.46	0.3796
56	GO:0030136	clathrin-coated vesicle	8	1	0.53	0.4205
57	GO:0005768	endosome	42	5	2.76	0.4472
58	GO:0016459	myosin complex	9	1	0.59	0.4588
59	GO:0031012	extracellular matrix	52	7	3.42	0.4856
60	GO:0034703	cation channel complex	17	2	1.12	0.4933
61	GO:0005743	mitochondrial inner membrane	10	1	0.66	0.4946
62	GO:0005829	cytosol	157	11	10.34	0.5234
63	GO:0005739	mitochondrion	77	6	5.07	0.5338
64	GO:0005856	cytoskeleton	152	7	10.01	0.5526
65	GO:0098802	plasma membrane signaling receptor complex	13	1	0.86	0.5884
66	GO:0005634	nucleus	593	38	39.04	0.6062
67	GO:0036064	ciliary basal body	14	1	0.92	0.6157
68	GO:0005938	cell cortex	25	2	1.65	0.6402
69	GO:0019898	extrinsic component of membrane	16	1	1.05	0.6649
70	GO:0005764	lysosome	18	1	1.18	0.7079
71	GO:0000139	Golgi membrane	20	1	1.32	0.7454
72	GO:0005794	Golgi apparatus	77	4	5.07	0.7772
73	GO:0005615	extracellular space	104	5	6.85	0.8283
74	GO:0005654	nucleoplasm	66	5	4.34	0.8694
75	GO:0000151	ubiquitin ligase complex	33	1	2.17	0.8961
76	GO:1990904	ribonucleoprotein complex	78	5	5.13	0.9012
