GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	4	4	0.12	8.8e-07
2	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	2	0.06	0.00096
3	GO:0004749	ribose phosphate diphosphokinase activity	2	2	0.06	0.00096
4	GO:0004307	ethanolaminephosphotransferase activity	2	2	0.06	0.00096
5	GO:0005506	iron ion binding	40	5	1.24	0.00724
6	GO:0020037	heme binding	44	5	1.37	0.01084
7	GO:0046872	metal ion binding	305	14	9.49	0.02238
8	GO:0008768	UDP-sugar diphosphatase activity	1	1	0.03	0.03111
9	GO:0019870	potassium channel inhibitor activity	1	1	0.03	0.03111
10	GO:0004814	arginine-tRNA ligase activity	1	1	0.03	0.03111
11	GO:0002953	5'-deoxynucleotidase activity	1	1	0.03	0.03111
12	GO:0008720	D-lactate dehydrogenase (NAD+) activity	1	1	0.03	0.03111
13	GO:0015616	DNA translocase activity	1	1	0.03	0.03111
14	GO:0070840	dynein complex binding	1	1	0.03	0.03111
15	GO:0070403	NAD+ binding	1	1	0.03	0.03111
16	GO:0070573	metallodipeptidase activity	1	1	0.03	0.03111
17	GO:0003689	DNA clamp loader activity	1	1	0.03	0.03111
18	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	1	1	0.03	0.03111
19	GO:0004807	triose-phosphate isomerase activity	1	1	0.03	0.03111
20	GO:0008253	5'-nucleotidase activity	1	1	0.03	0.03111
21	GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	1	1	0.03	0.03111
22	GO:0019869	chloride channel inhibitor activity	1	1	0.03	0.03111
23	GO:0008073	ornithine decarboxylase inhibitor activity	1	1	0.03	0.03111
24	GO:0004197	cysteine-type endopeptidase activity	10	2	0.31	0.03661
25	GO:0000287	magnesium ion binding	13	2	0.4	0.05976
26	GO:0017025	TBP-class protein binding	2	1	0.06	0.06127
27	GO:0097602	cullin family protein binding	2	1	0.06	0.06127
28	GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	2	1	0.06	0.06127
29	GO:0004032	aldose reductase (NADPH) activity	2	1	0.06	0.06127
30	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	2	1	0.06	0.06127
31	GO:0015232	heme transmembrane transporter activity	3	1	0.09	0.09050
32	GO:0001671	ATPase activator activity	3	1	0.09	0.09050
33	GO:0031624	ubiquitin conjugating enzyme binding	3	1	0.09	0.09050
34	GO:0004768	stearoyl-CoA 9-desaturase activity	3	1	0.09	0.09050
35	GO:0000146	microfilament motor activity	3	1	0.09	0.09050
36	GO:0008139	nuclear localization sequence binding	3	1	0.09	0.09050
37	GO:0003676	nucleic acid binding	501	13	15.59	0.10744
38	GO:0004000	adenosine deaminase activity	4	1	0.12	0.11883
39	GO:0004402	histone acetyltransferase activity	4	1	0.12	0.11883
40	GO:0005246	calcium channel regulator activity	4	1	0.12	0.11883
41	GO:0035615	clathrin-cargo adaptor activity	4	1	0.12	0.11883
42	GO:0050321	tau-protein kinase activity	4	1	0.12	0.11883
43	GO:0016791	phosphatase activity	59	5	1.84	0.13258
44	GO:0017056	structural constituent of nuclear pore	5	1	0.16	0.14629
45	GO:0005201	extracellular matrix structural constituent	5	1	0.16	0.14629
46	GO:0071949	FAD binding	5	1	0.16	0.14629
47	GO:0032451	demethylase activity	5	1	0.16	0.14629
48	GO:0004674	protein serine/threonine kinase activity	74	5	2.3	0.16723
49	GO:0015179	L-amino acid transmembrane transporter activity	6	1	0.19	0.17290
50	GO:0061630	ubiquitin protein ligase activity	26	2	0.81	0.19292
51	GO:0140658	ATP-dependent chromatin remodeler activity	7	1	0.22	0.19869
52	GO:0005524	ATP binding	238	10	7.41	0.20151
53	GO:0003729	mRNA binding	51	3	1.59	0.21043
54	GO:0043169	cation binding	313	15	9.74	0.21186
55	GO:0051087	protein-folding chaperone binding	8	1	0.25	0.22368
56	GO:0046982	protein heterodimerization activity	8	1	0.25	0.22368
57	GO:0004722	protein serine/threonine phosphatase activity	8	1	0.25	0.22368
58	GO:0060090	molecular adaptor activity	67	2	2.08	0.22567
59	GO:0051015	actin filament binding	29	2	0.9	0.22751
60	GO:0016491	oxidoreductase activity	139	11	4.32	0.27555
61	GO:0016787	hydrolase activity	408	19	12.69	0.27859
62	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	11	1	0.34	0.29414
63	GO:0032182	ubiquitin-like protein binding	12	1	0.37	0.31619
64	GO:0008408	3'-5' exonuclease activity	12	1	0.37	0.31619
65	GO:0051082	unfolded protein binding	13	1	0.4	0.33756
66	GO:0004252	serine-type endopeptidase activity	40	2	1.24	0.35536
67	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	19	3	0.59	0.37175
