GO.ID	Description	p.Val
GO:0030431	sleep	0.00021
GO:1903818	positive regulation of voltage-gated potassium channel activity	0.00021
GO:0032222	regulation of synaptic transmission, cholinergic	0.00035
GO:0001708	cell fate specification	0.00135
GO:0032543	mitochondrial translation	0.00632
GO:0032259	methylation	0.01373
GO:0008543	fibroblast growth factor receptor signaling pathway	0.01387
GO:0032958	inositol phosphate biosynthetic process	0.01390
GO:0042325	regulation of phosphorylation	0.01393
GO:0006302	double-strand break repair	0.01807
GO:0072659	protein localization to plasma membrane	0.01902
GO:0030150	protein import into mitochondrial matrix	0.02308
GO:0036297	interstrand cross-link repair	0.04486
GO:0015031	protein transport	0.04726
