Description	Count	p	Ontology
sleep	8	0.00021	bp
positive regulation of voltage-gated potassium channel activity	8	0.00021	bp
regulation of synaptic transmission, cholinergic	8	0.00035	bp
cell fate specification	6	0.00135	bp
mitochondrial translation	11	0.00632	bp
methylation	13	0.01373	bp
fibroblast growth factor receptor signaling pathway	4	0.01387	bp
inositol phosphate biosynthetic process	3	0.01390	bp
regulation of phosphorylation	15	0.01393	bp
double-strand break repair	19	0.01807	bp
protein localization to plasma membrane	9	0.01902	bp
protein import into mitochondrial matrix	4	0.02308	bp
interstrand cross-link repair	4	0.04486	bp
protein transport	33	0.04726	bp
mitochondrial large ribosomal subunit	11	0.00078	cc
Smc5-Smc6 complex	3	0.01405	cc
Golgi stack	5	0.02560	cc
mitochondrion	84	0.03267	cc
RNA polymerase III complex	5	0.04343	cc
structural constituent of ribosome	22	0.012	mf
fibroblast growth factor receptor binding	3	0.021	mf
nucleosome binding	5	0.026	mf
protein-disulfide reductase activity	5	0.034	mf
AMP binding	3	0.034	mf
growth factor activity	7	0.036	mf
structural constituent of cytoskeleton	4	0.047	mf
