GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030154	cell differentiation	95	17	8.34	0.00033
2	GO:0032502	developmental process	164	31	14.4	0.00491
3	GO:0045087	innate immune response	17	6	1.49	0.00504
4	GO:2000767	positive regulation of cytoplasmic translation	2	2	0.18	0.00768
5	GO:0010468	regulation of gene expression	409	53	35.92	0.00919
6	GO:0042981	regulation of apoptotic process	22	5	1.93	0.01167
7	GO:0045944	positive regulation of transcription by RNA polymerase II	39	8	3.43	0.01764
8	GO:0007018	microtubule-based movement	29	6	2.55	0.01773
9	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	4	3	0.35	0.02156
10	GO:0030497	fatty acid elongation	10	3	0.88	0.02165
11	GO:0009755	hormone-mediated signaling pathway	3	2	0.26	0.02171
12	GO:0018107	peptidyl-threonine phosphorylation	3	2	0.26	0.02171
13	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	3	2	0.26	0.02171
14	GO:0007179	transforming growth factor beta receptor signaling pathway	3	2	0.26	0.02171
15	GO:0007417	central nervous system development	7	3	0.61	0.04070
16	GO:0018344	protein geranylgeranylation	4	2	0.35	0.04092
17	GO:0034244	negative regulation of transcription elongation by RNA polymerase II	4	2	0.35	0.04092
18	GO:0007165	signal transduction	334	50	29.33	0.04890
19	GO:0006814	sodium ion transport	10	3	0.88	0.05050
20	GO:0002224	toll-like receptor signaling pathway	5	2	0.44	0.06430
21	GO:0090090	negative regulation of canonical Wnt signaling pathway	5	2	0.44	0.06430
22	GO:1902476	chloride transmembrane transport	5	2	0.44	0.06430
23	GO:0060395	SMAD protein signal transduction	5	2	0.44	0.06430
24	GO:0018105	peptidyl-serine phosphorylation	11	3	0.97	0.06506
25	GO:0042761	very long-chain fatty acid biosynthetic process	11	3	0.97	0.06506
26	GO:0007268	chemical synaptic transmission	28	4	2.46	0.06538
27	GO:0016055	Wnt signaling pathway	17	5	1.49	0.08691
28	GO:0006449	regulation of translational termination	2	2	0.18	0.08750
29	GO:0035020	regulation of Rac protein signal transduction	1	1	0.09	0.08782
30	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	1	1	0.09	0.08782
