GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0045202	synapse	37	8	3.33	0.0057
2	GO:0030424	axon	14	5	1.26	0.0058
3	GO:0071144	heteromeric SMAD protein complex	3	2	0.27	0.0228
4	GO:0001725	stress fiber	3	2	0.27	0.0228
5	GO:0009897	external side of plasma membrane	4	2	0.36	0.0429
6	GO:0032021	NELF complex	4	2	0.36	0.0429
7	GO:0031105	septin complex	5	2	0.45	0.0673
8	GO:0005925	focal adhesion	5	2	0.45	0.0673
9	GO:0005940	septin ring	5	2	0.45	0.0673
10	GO:0005886	plasma membrane	213	28	19.18	0.0707
11	GO:0005765	lysosomal membrane	12	3	1.08	0.0863
12	GO:0072380	TRC complex	1	1	0.09	0.0900
13	GO:0032777	piccolo histone acetyltransferase complex	1	1	0.09	0.0900
14	GO:0032281	AMPA glutamate receptor complex	1	1	0.09	0.0900
15	GO:0032154	cleavage furrow	1	1	0.09	0.0900
16	GO:0005879	axonemal microtubule	1	1	0.09	0.0900
17	GO:0030690	Noc1p-Noc2p complex	1	1	0.09	0.0900
18	GO:0030691	Noc2p-Noc3p complex	1	1	0.09	0.0900
19	GO:0005848	mRNA cleavage stimulating factor complex	1	1	0.09	0.0900
20	GO:0097196	Shu complex	1	1	0.09	0.0900
21	GO:0031463	Cul3-RING ubiquitin ligase complex	1	1	0.09	0.0900
22	GO:0043197	dendritic spine	1	1	0.09	0.0900
23	GO:0097539	ciliary transition fiber	1	1	0.09	0.0900
24	GO:0071598	neuronal ribonucleoprotein granule	1	1	0.09	0.0900
25	GO:0005923	bicellular tight junction	1	1	0.09	0.0900
26	GO:0008290	F-actin capping protein complex	1	1	0.09	0.0900
27	GO:0008305	integrin complex	1	1	0.09	0.0900
28	GO:0043025	neuronal cell body	6	2	0.54	0.0951
29	GO:0016020	membrane	783	80	70.5	0.1003
30	GO:0005615	extracellular space	62	9	5.58	0.1004
31	GO:0005622	intracellular anatomical structure	2402	199	216.29	0.1192
32	GO:0009986	cell surface	11	4	0.99	0.1241
33	GO:0005794	Golgi apparatus	123	14	11.08	0.1259
34	GO:0031519	PcG protein complex	11	3	0.99	0.1569
35	GO:0005814	centriole	8	2	0.72	0.1576
36	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	8	2	0.72	0.1576
37	GO:0005672	transcription factor TFIIA complex	2	1	0.18	0.1720
38	GO:0072487	MSL complex	2	1	0.18	0.1720
39	GO:0048179	activin receptor complex	2	1	0.18	0.1720
40	GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	2	1	0.18	0.1720
41	GO:1902636	kinociliary basal body	2	1	0.18	0.1720
42	GO:0031588	nucleotide-activated protein kinase complex	2	1	0.18	0.1720
43	GO:0090537	CERF complex	2	1	0.18	0.1720
44	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	2	1	0.18	0.1720
45	GO:0055038	recycling endosome membrane	2	1	0.18	0.1720
46	GO:0031510	SUMO activating enzyme complex	2	1	0.18	0.1720
47	GO:0031499	TRAMP complex	2	1	0.18	0.1720
48	GO:0031390	Ctf18 RFC-like complex	2	1	0.18	0.1720
49	GO:1990131	Gtr1-Gtr2 GTPase complex	2	1	0.18	0.1720
50	GO:0005968	Rab-protein geranylgeranyltransferase complex	2	1	0.18	0.1720
51	GO:0000445	THO complex part of transcription export complex	2	1	0.18	0.1720
52	GO:0005953	CAAX-protein geranylgeranyltransferase complex	2	1	0.18	0.1720
53	GO:0034709	methylosome	2	1	0.18	0.1720
54	GO:0030496	midbody	2	1	0.18	0.1720
55	GO:0032153	cell division site	10	3	0.9	0.1901
56	GO:0008180	COP9 signalosome	9	2	0.81	0.1912
57	GO:0031012	extracellular matrix	26	4	2.34	0.1922
58	GO:0005741	mitochondrial outer membrane	17	3	1.53	0.1925
59	GO:0016592	mediator complex	17	3	1.53	0.1925
60	GO:0055037	recycling endosome	12	3	1.08	0.2244
61	GO:0030688	preribosome, small subunit precursor	10	2	0.9	0.2255
62	GO:0030140	trans-Golgi network transport vesicle	3	1	0.27	0.2466
63	GO:0035098	ESC/E(Z) complex	3	1	0.27	0.2466
64	GO:0070552	BRISC complex	3	1	0.27	0.2466
65	GO:0017119	Golgi transport complex	3	1	0.27	0.2466
66	GO:0036038	MKS complex	3	1	0.27	0.2466
67	GO:0016460	myosin II complex	3	1	0.27	0.2466
68	GO:0042709	succinate-CoA ligase complex	3	1	0.27	0.2466
69	GO:0070531	BRCA1-A complex	3	1	0.27	0.2466
70	GO:0016607	nuclear speck	3	1	0.27	0.2466
71	GO:0060170	ciliary membrane	3	1	0.27	0.2466
72	GO:0014069	postsynaptic density	3	1	0.27	0.2466
73	GO:0005921	gap junction	3	1	0.27	0.2466
74	GO:0031982	vesicle	138	12	12.43	0.2476
75	GO:0043231	intracellular membrane-bounded organelle	1763	154	158.75	0.2517
76	GO:0005777	peroxisome	28	4	2.52	0.2595
77	GO:0005839	proteasome core complex	11	2	0.99	0.2602
78	GO:0005764	lysosome	32	6	2.88	0.2629
79	GO:0031201	SNARE complex	21	3	1.89	0.2920
80	GO:0030687	preribosome, large subunit precursor	13	3	1.17	0.2936
81	GO:0005769	early endosome	12	2	1.08	0.2950
82	GO:0005576	extracellular region	103	14	9.27	0.2978
83	GO:0031080	nuclear pore outer ring	4	1	0.36	0.3145
84	GO:0005851	eukaryotic translation initiation factor 2B complex	4	1	0.36	0.3145
85	GO:0071782	endoplasmic reticulum tubular network	4	1	0.36	0.3145
86	GO:0005758	mitochondrial intermembrane space	4	1	0.36	0.3145
87	GO:0071004	U2-type prespliceosome	4	1	0.36	0.3145
88	GO:0016581	NuRD complex	4	1	0.36	0.3145
89	GO:0000794	condensed nuclear chromosome	4	1	0.36	0.3145
90	GO:0008021	synaptic vesicle	13	2	1.17	0.3295
91	GO:0005654	nucleoplasm	112	13	10.08	0.3406
92	GO:0043005	neuron projection	33	8	2.97	0.3558
93	GO:0005840	ribosome	75	3	6.75	0.3718
94	GO:0005675	transcription factor TFIIH holo complex	5	1	0.45	0.3763
95	GO:0030992	intraciliary transport particle B	5	1	0.45	0.3763
96	GO:0008541	proteasome regulatory particle, lid subcomplex	5	1	0.45	0.3763
97	GO:0035371	microtubule plus-end	5	1	0.45	0.3763
98	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	5	1	0.45	0.3763
99	GO:0043186	P granule	5	1	0.45	0.3763
100	GO:0016593	Cdc73/Paf1 complex	5	1	0.45	0.3763
