GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0045182	translation regulator activity	9	4	0.82	0.0028
2	GO:0003777	microtubule motor activity	4	3	0.36	0.0028
3	GO:0140297	DNA-binding transcription factor binding	5	3	0.46	0.0065
4	GO:0003713	transcription coactivator activity	23	6	2.1	0.0145
5	GO:0060090	molecular adaptor activity	113	20	10.3	0.0170
6	GO:0004888	transmembrane signaling receptor activity	34	9	3.1	0.0179
7	GO:0008409	5'-3' exonuclease activity	3	2	0.27	0.0233
8	GO:0004298	threonine-type endopeptidase activity	3	2	0.27	0.0233
9	GO:0070411	I-SMAD binding	3	2	0.27	0.0233
10	GO:0018812	3-hydroxyacyl-CoA dehydratase activity	3	2	0.27	0.0233
11	GO:1990817	poly(A) RNA polymerase activity	9	3	0.82	0.0416
12	GO:0003730	mRNA 3'-UTR binding	9	3	0.82	0.0416
13	GO:0042803	protein homodimerization activity	9	3	0.82	0.0416
14	GO:0071949	FAD binding	10	3	0.91	0.0555
15	GO:0003729	mRNA binding	64	12	5.83	0.0556
16	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	118	16	10.76	0.0602
17	GO:0004402	histone acetyltransferase activity	5	2	0.46	0.0688
18	GO:0005254	chloride channel activity	11	3	1	0.0713
19	GO:0008017	microtubule binding	34	6	3.1	0.0832
20	GO:0035591	signaling adaptor activity	5	2	0.46	0.0909
21	GO:0004838	L-tyrosine-2-oxoglutarate transaminase activity	1	1	0.09	0.0911
22	GO:0004001	adenosine kinase activity	1	1	0.09	0.0911
23	GO:0051424	corticotropin-releasing hormone binding	1	1	0.09	0.0911
24	GO:0004139	deoxyribose-phosphate aldolase activity	1	1	0.09	0.0911
25	GO:0005178	integrin binding	1	1	0.09	0.0911
26	GO:0016402	pristanoyl-CoA oxidase activity	1	1	0.09	0.0911
27	GO:0070492	oligosaccharide binding	1	1	0.09	0.0911
28	GO:0072345	NAADP-sensitive calcium-release channel activity	1	1	0.09	0.0911
29	GO:0000150	DNA strand exchange activity	1	1	0.09	0.0911
30	GO:0008887	glycerate kinase activity	1	1	0.09	0.0911
31	GO:0000035	acyl binding	1	1	0.09	0.0911
32	GO:0000036	acyl carrier activity	1	1	0.09	0.0911
33	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.09	0.0911
34	GO:0044325	transmembrane transporter binding	1	1	0.09	0.0911
35	GO:0042834	peptidoglycan binding	1	1	0.09	0.0911
36	GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	1	1	0.09	0.0911
37	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.09	0.0911
38	GO:0004363	glutathione synthase activity	1	1	0.09	0.0911
39	GO:0043843	ADP-specific glucokinase activity	1	1	0.09	0.0911
40	GO:0016653	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	1	1	0.09	0.0911
41	GO:0004377	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity	1	1	0.09	0.0911
42	GO:0033819	lipoyl(octanoyl) transferase activity	1	1	0.09	0.0911
43	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	1	1	0.09	0.0911
44	GO:0047223	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity	1	1	0.09	0.0911
45	GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	1	1	0.09	0.0911
46	GO:0062101	peptidyl-aspartic acid 3-dioxygenase activity	1	1	0.09	0.0911
47	GO:0052925	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity	1	1	0.09	0.0911
48	GO:0042392	sphingosine-1-phosphate phosphatase activity	1	1	0.09	0.0911
49	GO:0043295	glutathione binding	1	1	0.09	0.0911
50	GO:0004663	Rab geranylgeranyltransferase activity	1	1	0.09	0.0911
51	GO:0030594	neurotransmitter receptor activity	6	2	0.55	0.0971
52	GO:0046983	protein dimerization activity	52	8	4.74	0.1042
53	GO:0004930	G protein-coupled receptor activity	13	3	1.18	0.1081
54	GO:0070006	metalloaminopeptidase activity	7	2	0.64	0.1280
55	GO:0097602	cullin family protein binding	7	2	0.64	0.1280
56	GO:0008270	zinc ion binding	133	16	12.12	0.1492
57	GO:0008237	metallopeptidase activity	34	6	3.1	0.1593
58	GO:0004879	nuclear receptor activity	8	2	0.73	0.1608
59	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	8	2	0.73	0.1608
60	GO:0005524	ATP binding	224	25	20.42	0.1619
61	GO:0004672	protein kinase activity	84	12	7.66	0.1698
62	GO:0008233	peptidase activity	91	14	8.29	0.1710
63	GO:0042277	peptide binding	15	3	1.37	0.1735
64	GO:0045499	chemorepellent activity	2	1	0.18	0.1740
65	GO:0030215	semaphorin receptor binding	2	1	0.18	0.1740
66	GO:0008093	cytoskeletal anchor activity	2	1	0.18	0.1740
67	GO:0008273	calcium, potassium:sodium antiporter activity	2	1	0.18	0.1740
68	GO:0015385	sodium:proton antiporter activity	2	1	0.18	0.1740
69	GO:0033749	histone H4R3 demethylase activity	2	1	0.18	0.1740
70	GO:0019948	SUMO activating enzyme activity	2	1	0.18	0.1740
71	GO:0048185	activin binding	2	1	0.18	0.1740
72	GO:0004776	succinate-CoA ligase (GDP-forming) activity	2	1	0.18	0.1740
73	GO:0015232	heme transmembrane transporter activity	2	1	0.18	0.1740
74	GO:0004715	non-membrane spanning protein tyrosine kinase activity	2	1	0.18	0.1740
75	GO:1990757	ubiquitin ligase activator activity	2	1	0.18	0.1740
76	GO:0008046	axon guidance receptor activity	2	1	0.18	0.1740
77	GO:0010997	anaphase-promoting complex binding	2	1	0.18	0.1740
78	GO:0004362	glutathione-disulfide reductase (NADPH) activity	2	1	0.18	0.1740
79	GO:0120170	intraciliary transport particle B binding	2	1	0.18	0.1740
80	GO:0032036	myosin heavy chain binding	2	1	0.18	0.1740
81	GO:0017002	activin receptor activity	2	1	0.18	0.1740
82	GO:0017147	Wnt-protein binding	2	1	0.18	0.1740
83	GO:0001786	phosphatidylserine binding	2	1	0.18	0.1740
84	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	2	1	0.18	0.1740
85	GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	2	1	0.18	0.1740
86	GO:1990050	phosphatidic acid transfer activity	2	1	0.18	0.1740
87	GO:0005242	inward rectifier potassium channel activity	2	1	0.18	0.1740
88	GO:0004662	CAAX-protein geranylgeranyltransferase activity	2	1	0.18	0.1740
89	GO:0016251	RNA polymerase II general transcription initiation factor activity	9	2	0.82	0.1949
90	GO:0004197	cysteine-type endopeptidase activity	9	2	0.82	0.1949
91	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	101	12	9.21	0.2052
92	GO:0005102	signaling receptor binding	43	9	3.92	0.2161
93	GO:0005385	zinc ion transmembrane transporter activity	10	2	0.91	0.2297
94	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	119	15	10.85	0.2482
95	GO:0030971	receptor tyrosine kinase binding	5	2	0.46	0.2487
96	GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	3	1	0.27	0.2493
97	GO:0045134	UDP phosphatase activity	3	1	0.27	0.2493
98	GO:0004000	adenosine deaminase activity	3	1	0.27	0.2493
99	GO:0031543	peptidyl-proline dioxygenase activity	3	1	0.27	0.2493
100	GO:0005121	Toll binding	3	1	0.27	0.2493
