GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0022627	cytosolic small ribosomal subunit	7	2	0.26	0.025
2	GO:0043197	dendritic spine	1	1	0.04	0.037
3	GO:0071598	neuronal ribonucleoprotein granule	1	1	0.04	0.037
4	GO:0031422	RecQ family helicase-topoisomerase III complex	1	1	0.04	0.037
5	GO:0034751	aryl hydrocarbon receptor complex	1	1	0.04	0.037
6	GO:0034455	t-UTP complex	1	1	0.04	0.037
7	GO:0030690	Noc1p-Noc2p complex	1	1	0.04	0.037
8	GO:0030691	Noc2p-Noc3p complex	1	1	0.04	0.037
9	GO:0071797	LUBAC complex	1	1	0.04	0.037
10	GO:0005965	protein farnesyltransferase complex	1	1	0.04	0.037
11	GO:0030891	VCB complex	1	1	0.04	0.037
12	GO:0005634	nucleus	946	43	35.19	0.062
13	GO:0072487	MSL complex	2	1	0.07	0.073
14	GO:0000923	equatorial microtubule organizing center	2	1	0.07	0.073
15	GO:0031314	extrinsic component of mitochondrial inner membrane	2	1	0.07	0.073
16	GO:0000164	protein phosphatase type 1 complex	2	1	0.07	0.073
17	GO:0048179	activin receptor complex	2	1	0.07	0.073
18	GO:0055120	striated muscle dense body	2	1	0.07	0.073
19	GO:1990131	Gtr1-Gtr2 GTPase complex	2	1	0.07	0.073
20	GO:0031390	Ctf18 RFC-like complex	2	1	0.07	0.073
21	GO:0005664	nuclear origin of replication recognition complex	2	1	0.07	0.073
22	GO:0005953	CAAX-protein geranylgeranyltransferase complex	2	1	0.07	0.073
23	GO:0002189	ribose phosphate diphosphokinase complex	2	1	0.07	0.073
24	GO:0031588	nucleotide-activated protein kinase complex	2	1	0.07	0.073
25	GO:0071020	post-spliceosomal complex	2	1	0.07	0.073
26	GO:0016281	eukaryotic translation initiation factor 4F complex	2	1	0.07	0.073
27	GO:0032798	Swi5-Sfr1 complex	2	1	0.07	0.073
28	GO:0090537	CERF complex	2	1	0.07	0.073
29	GO:0031012	extracellular matrix	30	3	1.12	0.098
30	GO:0005850	eukaryotic translation initiation factor 2 complex	3	1	0.11	0.108
31	GO:0005742	mitochondrial outer membrane translocase complex	3	1	0.11	0.108
32	GO:0070449	elongin complex	3	1	0.11	0.108
33	GO:0014069	postsynaptic density	3	1	0.11	0.108
34	GO:0043235	receptor complex	14	3	0.52	0.139
35	GO:0031985	Golgi cisterna	4	1	0.15	0.141
36	GO:0000930	gamma-tubulin complex	4	1	0.15	0.141
37	GO:0044613	nuclear pore central transport channel	4	1	0.15	0.141
38	GO:0072669	tRNA-splicing ligase complex	4	1	0.15	0.141
39	GO:0019005	SCF ubiquitin ligase complex	18	2	0.67	0.143
40	GO:0000974	Prp19 complex	5	1	0.19	0.173
41	GO:0043025	neuronal cell body	5	1	0.19	0.173
42	GO:0051233	spindle midzone	5	1	0.19	0.173
