GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030145	manganese ion binding	13	4	0.53	0.0015
2	GO:0005483	soluble NSF attachment protein activity	4	2	0.16	0.0095
3	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	131	12	5.37	0.0313
4	GO:0098632	cell-cell adhesion mediator activity	8	2	0.33	0.0398
5	GO:0071916	dipeptide transmembrane transporter activity	1	1	0.04	0.0410
6	GO:0004053	arginase activity	1	1	0.04	0.0410
7	GO:0004512	inositol-3-phosphate synthase activity	1	1	0.04	0.0410
8	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.04	0.0410
9	GO:0004757	sepiapterin reductase (NADP+) activity	1	1	0.04	0.0410
10	GO:0052906	tRNA (guanine(37)-N1)-methyltransferase activity	1	1	0.04	0.0410
11	GO:0031177	phosphopantetheine binding	1	1	0.04	0.0410
12	GO:0004019	adenylosuccinate synthase activity	1	1	0.04	0.0410
13	GO:0050577	GDP-L-fucose synthase activity	1	1	0.04	0.0410
14	GO:0009039	urease activity	1	1	0.04	0.0410
15	GO:0004155	6,7-dihydropteridine reductase activity	1	1	0.04	0.0410
16	GO:0070402	NADPH binding	1	1	0.04	0.0410
17	GO:0070404	NADH binding	1	1	0.04	0.0410
18	GO:0001734	mRNA m(6)A methyltransferase activity	1	1	0.04	0.0410
19	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	1	1	0.04	0.0410
20	GO:0004352	glutamate dehydrogenase (NAD+) activity	1	1	0.04	0.0410
21	GO:0015292	uniporter activity	1	1	0.04	0.0410
22	GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity	1	1	0.04	0.0410
23	GO:0019871	sodium channel inhibitor activity	1	1	0.04	0.0410
24	GO:0071164	RNA cap trimethylguanosine synthase activity	1	1	0.04	0.0410
25	GO:0008327	methyl-CpG binding	1	1	0.04	0.0410
26	GO:0004312	fatty acid synthase activity	1	1	0.04	0.0410
27	GO:0106050	tRNA 2'-O-methyltransferase activity	1	1	0.04	0.0410
28	GO:0004100	chitin synthase activity	1	1	0.04	0.0410
29	GO:0004105	choline-phosphate cytidylyltransferase activity	1	1	0.04	0.0410
30	GO:0004347	glucose-6-phosphate isomerase activity	1	1	0.04	0.0410
31	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	1	1	0.04	0.0410
32	GO:0004618	phosphoglycerate kinase activity	1	1	0.04	0.0410
33	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.04	0.0410
34	GO:0003842	L-glutamate gamma-semialdehyde dehydrogenase activity	1	1	0.04	0.0410
35	GO:0004496	mevalonate kinase activity	1	1	0.04	0.0410
36	GO:0005460	UDP-glucose transmembrane transporter activity	1	1	0.04	0.0410
37	GO:0008453	alanine-glyoxylate transaminase activity	1	1	0.04	0.0410
38	GO:0005457	GDP-fucose transmembrane transporter activity	1	1	0.04	0.0410
39	GO:0003923	GPI-anchor transamidase activity	1	1	0.04	0.0410
40	GO:0047444	N-acylneuraminate-9-phosphate synthase activity	1	1	0.04	0.0410
41	GO:0070991	medium-chain fatty acyl-CoA dehydrogenase activity	1	1	0.04	0.0410
42	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	1	1	0.04	0.0410
43	GO:0004423	iduronate-2-sulfatase activity	1	1	0.04	0.0410
44	GO:0017077	oxidative phosphorylation uncoupler activity	1	1	0.04	0.0410
