GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006805	xenobiotic metabolic process	4	4	0.38	7.7e-05
2	GO:0006082	organic acid metabolic process	58	9	5.47	7.7e-05
3	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	2	2	0.19	0.0088
4	GO:0006646	phosphatidylethanolamine biosynthetic process	2	2	0.19	0.0088
5	GO:0071786	endoplasmic reticulum tubular network organization	2	2	0.19	0.0088
6	GO:0032922	circadian regulation of gene expression	3	2	0.28	0.0249
7	GO:0043153	entrainment of circadian clock by photoperiod	3	2	0.28	0.0249
8	GO:0046777	protein autophosphorylation	4	2	0.38	0.0467
9	GO:0009653	anatomical structure morphogenesis	77	7	7.26	0.0712
10	GO:0006164	purine nucleotide biosynthetic process	16	4	1.51	0.0724
11	GO:0000077	DNA damage checkpoint signaling	6	3	0.57	0.0725
12	GO:0006032	chitin catabolic process	5	2	0.47	0.0730
13	GO:0007528	neuromuscular junction development	5	2	0.47	0.0730
14	GO:0019693	ribose phosphate metabolic process	23	6	2.17	0.0929
15	GO:0050801	monoatomic ion homeostasis	34	5	3.2	0.0938
16	GO:2000651	positive regulation of sodium ion transmembrane transporter activity	1	1	0.09	0.0942
17	GO:0045199	maintenance of epithelial cell apical/basal polarity	1	1	0.09	0.0942
18	GO:0016121	carotene catabolic process	1	1	0.09	0.0942
19	GO:0032218	riboflavin transport	1	1	0.09	0.0942
20	GO:0010766	negative regulation of sodium ion transport	1	1	0.09	0.0942
21	GO:0051443	positive regulation of ubiquitin-protein transferase activity	1	1	0.09	0.0942
22	GO:0015842	aminergic neurotransmitter loading into synaptic vesicle	1	1	0.09	0.0942
23	GO:0070936	protein K48-linked ubiquitination	1	1	0.09	0.0942
24	GO:0009880	embryonic pattern specification	1	1	0.09	0.0942
25	GO:1903457	lactate catabolic process	1	1	0.09	0.0942
26	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	1	1	0.09	0.0942
27	GO:0006420	arginyl-tRNA aminoacylation	1	1	0.09	0.0942
28	GO:0006419	alanyl-tRNA aminoacylation	1	1	0.09	0.0942
29	GO:0016539	intein-mediated protein splicing	1	1	0.09	0.0942
30	GO:0032781	positive regulation of ATP-dependent activity	1	1	0.09	0.0942
31	GO:0043103	hypoxanthine salvage	1	1	0.09	0.0942
32	GO:0061098	positive regulation of protein tyrosine kinase activity	1	1	0.09	0.0942
33	GO:0042574	retinal metabolic process	1	1	0.09	0.0942
34	GO:0001654	eye development	1	1	0.09	0.0942
