GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043565	sequence-specific DNA binding	312	7	2.63	0.00018
2	GO:0004096	catalase activity	4	2	0.03	0.00041
3	GO:0004867	serine-type endopeptidase inhibitor activity	14	2	0.12	0.00591
4	GO:0016787	hydrolase activity	768	13	6.47	0.00664
5	GO:0001018	mitochondrial promoter sequence-specific DNA binding	1	1	0.01	0.00842
6	GO:0004565	beta-galactosidase activity	1	1	0.01	0.00842
7	GO:0019869	chloride channel inhibitor activity	1	1	0.01	0.00842
8	GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	1	1	0.01	0.00842
9	GO:0019870	potassium channel inhibitor activity	1	1	0.01	0.00842
10	GO:0004252	serine-type endopeptidase activity	53	3	0.45	0.00973
11	GO:0003987	acetate-CoA ligase activity	2	1	0.02	0.01678
12	GO:0016208	AMP binding	2	1	0.02	0.01678
13	GO:0008190	eukaryotic initiation factor 4E binding	2	1	0.02	0.01678
14	GO:0005537	D-mannose binding	2	1	0.02	0.01678
15	GO:0008253	5'-nucleotidase activity	3	1	0.03	0.02506
16	GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	4	1	0.03	0.03328
17	GO:0004535	poly(A)-specific ribonuclease activity	4	1	0.03	0.03328
18	GO:0042043	neurexin family protein binding	5	1	0.04	0.04143
19	GO:0008139	nuclear localization sequence binding	6	1	0.05	0.04951
20	GO:0004000	adenosine deaminase activity	6	1	0.05	0.04951
21	GO:0004559	alpha-mannosidase activity	9	1	0.08	0.07336
22	GO:0005243	gap junction channel activity	10	1	0.08	0.08118
23	GO:0003899	DNA-directed RNA polymerase activity	11	1	0.09	0.08893
24	GO:0061630	ubiquitin protein ligase activity	63	2	0.53	0.09808
25	GO:0017056	structural constituent of nuclear pore	13	1	0.11	0.10425
26	GO:0020037	heme binding	67	2	0.56	0.10876
27	GO:0004197	cysteine-type endopeptidase activity	17	1	0.14	0.13413
28	GO:0005254	chloride channel activity	23	1	0.19	0.17714
29	GO:0030246	carbohydrate binding	37	2	0.31	0.18064
30	GO:0030594	neurotransmitter receptor activity	25	1	0.21	0.19101
31	GO:0008028	monocarboxylic acid transmembrane transporter activity	25	1	0.21	0.19101
32	GO:0003700	DNA-binding transcription factor activity	277	3	2.33	0.19155
33	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	26	1	0.22	0.19786
34	GO:0038023	signaling receptor activity	157	2	1.32	0.20508
35	GO:0030170	pyridoxal phosphate binding	28	1	0.24	0.21139
36	GO:0003743	translation initiation factor activity	30	1	0.25	0.22469
37	GO:0050839	cell adhesion molecule binding	31	1	0.26	0.23126
38	GO:0008061	chitin binding	34	1	0.29	0.25064
39	GO:0003924	GTPase activity	130	2	1.1	0.29968
40	GO:0005525	GTP binding	139	2	1.17	0.32786
41	GO:0051015	actin filament binding	50	1	0.42	0.34622
