GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	97	43	31.36	0.0080
2	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	113	51	36.53	0.0081
3	GO:0008270	zinc ion binding	130	54	42.03	0.0151
4	GO:0038023	signaling receptor activity	45	18	14.55	0.0154
5	GO:0004806	triacylglycerol lipase activity	6	5	1.94	0.0154
6	GO:0016791	phosphatase activity	63	29	20.37	0.0162
7	GO:0000049	tRNA binding	17	10	5.5	0.0216
8	GO:0048027	mRNA 5'-UTR binding	3	3	0.97	0.0337
9	GO:0004301	epoxide hydrolase activity	3	3	0.97	0.0337
10	GO:0000298	endopolyphosphatase activity	3	3	0.97	0.0337
11	GO:0003688	DNA replication origin binding	3	3	0.97	0.0337
12	GO:0003756	protein disulfide isomerase activity	3	3	0.97	0.0337
13	GO:0004828	serine-tRNA ligase activity	3	3	0.97	0.0337
14	GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity	3	3	0.97	0.0337
15	GO:0004867	serine-type endopeptidase inhibitor activity	9	6	2.91	0.0364
16	GO:0003735	structural constituent of ribosome	67	29	21.66	0.0376
17	GO:0001671	ATPase activator activity	5	4	1.62	0.0404
18	GO:0004842	ubiquitin-protein transferase activity	65	27	21.01	0.0474
19	GO:0005096	GTPase activator activity	22	11	7.11	0.0638
20	GO:0070628	proteasome binding	6	4	1.94	0.0903
21	GO:0043130	ubiquitin binding	26	12	8.41	0.0984
22	GO:0004521	RNA endonuclease activity	14	7	4.53	0.1020
23	GO:0016279	protein-lysine N-methyltransferase activity	5	4	1.62	0.1021
24	GO:0004382	GDP phosphatase activity	4	3	1.29	0.1023
25	GO:0045134	UDP phosphatase activity	4	3	1.29	0.1023
26	GO:0045296	cadherin binding	4	3	1.29	0.1023
27	GO:0030628	pre-mRNA 3'-splice site binding	4	3	1.29	0.1023
