GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0046294	formaldehyde catabolic process	4	4	0.87	0.0022
2	GO:0042795	snRNA transcription by RNA polymerase II	4	4	0.87	0.0022
3	GO:0032259	methylation	46	18	9.99	0.0099
4	GO:0034599	cellular response to oxidative stress	7	5	1.52	0.0101
5	GO:0042796	snRNA transcription by RNA polymerase III	3	3	0.65	0.0102
6	GO:0051289	protein homotetramerization	3	3	0.65	0.0102
7	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3	3	0.65	0.0102
8	GO:0009249	protein lipoylation	3	3	0.65	0.0102
9	GO:0006006	glucose metabolic process	8	4	1.74	0.0102
10	GO:0006364	rRNA processing	84	23	18.24	0.0103
11	GO:0016311	dephosphorylation	42	15	9.12	0.0336
12	GO:0034063	stress granule assembly	4	3	0.87	0.0342
13	GO:0090141	positive regulation of mitochondrial fission	4	3	0.87	0.0342
14	GO:0035999	tetrahydrofolate interconversion	4	3	0.87	0.0342
15	GO:0010992	ubiquitin recycling	4	3	0.87	0.0342
16	GO:0006352	DNA-templated transcription initiation	30	9	6.51	0.0469
17	GO:0034976	response to endoplasmic reticulum stress	20	6	4.34	0.0471
18	GO:0006798	polyphosphate catabolic process	2	2	0.43	0.0471
19	GO:0006747	FAD biosynthetic process	2	2	0.43	0.0471
20	GO:0019556	L-histidine catabolic process to glutamate and formamide	2	2	0.43	0.0471
21	GO:0006850	mitochondrial pyruvate transmembrane transport	2	2	0.43	0.0471
22	GO:0018023	peptidyl-lysine trimethylation	2	2	0.43	0.0471
23	GO:0006565	L-serine catabolic process	2	2	0.43	0.0471
24	GO:0036261	7-methylguanosine cap hypermethylation	2	2	0.43	0.0471
25	GO:0006513	protein monoubiquitination	2	2	0.43	0.0471
26	GO:0097222	mitochondrial mRNA polyadenylation	2	2	0.43	0.0471
27	GO:0019264	glycine biosynthetic process from serine	2	2	0.43	0.0471
28	GO:0006408	snRNA export from nucleus	2	2	0.43	0.0471
29	GO:0051092	positive regulation of NF-kappaB transcription factor activity	2	2	0.43	0.0471
30	GO:0009214	cyclic nucleotide catabolic process	2	2	0.43	0.0471
31	GO:0006226	dUMP biosynthetic process	2	2	0.43	0.0471
32	GO:0032979	protein insertion into mitochondrial inner membrane from matrix	2	2	0.43	0.0471
33	GO:0048013	ephrin receptor signaling pathway	2	2	0.43	0.0471
34	GO:0110032	positive regulation of G2/MI transition of meiotic cell cycle	2	2	0.43	0.0471
35	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	2	2	0.43	0.0471
36	GO:0070158	mitochondrial seryl-tRNA aminoacylation	2	2	0.43	0.0471
37	GO:0006302	double-strand break repair	40	16	8.69	0.0711
38	GO:0006334	nucleosome assembly	5	3	1.09	0.0717
39	GO:0009408	response to heat	5	3	1.09	0.0717
40	GO:0000398	mRNA splicing, via spliceosome	68	16	14.76	0.0739
41	GO:0006412	translation	138	35	29.96	0.0765
42	GO:0009058	biosynthetic process	1118	267	242.75	0.1033
43	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	9	4	1.95	0.1096
44	GO:0006469	negative regulation of protein kinase activity	10	6	2.17	0.1198
45	GO:0001510	RNA methylation	32	10	6.95	0.1202
46	GO:0009452	7-methylguanosine RNA capping	7	4	1.52	0.1204
47	GO:0034975	protein folding in endoplasmic reticulum	6	3	1.3	0.1208
48	GO:0046655	folic acid metabolic process	3	2	0.65	0.1209
49	GO:0006729	tetrahydrobiopterin biosynthetic process	3	2	0.65	0.1209
50	GO:0036065	fucosylation	3	2	0.65	0.1209
51	GO:0008053	mitochondrial fusion	3	2	0.65	0.1209
52	GO:0000492	box C/D snoRNP assembly	3	2	0.65	0.1209
53	GO:0045039	protein insertion into mitochondrial inner membrane	3	2	0.65	0.1209
54	GO:0009411	response to UV	3	2	0.65	0.1209
55	GO:0090110	COPII-coated vesicle cargo loading	3	2	0.65	0.1209
56	GO:0007283	spermatogenesis	3	2	0.65	0.1209
57	GO:0071786	endoplasmic reticulum tubular network organization	3	2	0.65	0.1209
58	GO:0009113	purine nucleobase biosynthetic process	3	2	0.65	0.1209
59	GO:0009051	pentose-phosphate shunt, oxidative branch	3	2	0.65	0.1209
60	GO:0032781	positive regulation of ATP-dependent activity	3	2	0.65	0.1209
61	GO:0000056	ribosomal small subunit export from nucleus	3	2	0.65	0.1209
62	GO:0000012	single strand break repair	3	2	0.65	0.1209
63	GO:0006473	protein acetylation	9	3	1.95	0.1210
64	GO:0042273	ribosomal large subunit biogenesis	26	8	5.65	0.1306
65	GO:0000122	negative regulation of transcription by RNA polymerase II	32	10	6.95	0.1366
66	GO:0000724	double-strand break repair via homologous recombination	22	8	4.78	0.1425
67	GO:0046513	ceramide biosynthetic process	10	4	2.17	0.1526
68	GO:0000226	microtubule cytoskeleton organization	57	18	12.38	0.1741
69	GO:0032981	mitochondrial respiratory chain complex I assembly	7	3	1.52	0.1785
70	GO:2000779	regulation of double-strand break repair	6	3	1.3	0.2072
71	GO:0045165	cell fate commitment	8	3	1.74	0.2075
72	GO:0006370	7-methylguanosine mRNA capping	4	2	0.87	0.2075
73	GO:0007021	tubulin complex assembly	4	2	0.87	0.2075
74	GO:0050684	regulation of mRNA processing	10	3	2.17	0.2077
75	GO:0031175	neuron projection development	22	5	4.78	0.2081
76	GO:0046907	intracellular transport	225	43	48.85	0.2119
77	GO:0000725	recombinational repair	23	9	4.99	0.2160
78	GO:0006730	one-carbon metabolic process	5	4	1.09	0.2164
79	GO:0030149	sphingolipid catabolic process	6	4	1.3	0.2164
80	GO:0006434	seryl-tRNA aminoacylation	3	3	0.65	0.2166
81	GO:0018022	peptidyl-lysine methylation	4	3	0.87	0.2166
82	GO:0042278	purine nucleoside metabolic process	6	3	1.3	0.2168
83	GO:0030330	DNA damage response, signal transduction by p53 class mediator	2	2	0.43	0.2169
84	GO:0035303	regulation of dephosphorylation	2	2	0.43	0.2169
85	GO:0006517	protein deglycosylation	2	2	0.43	0.2169
86	GO:0008203	cholesterol metabolic process	2	2	0.43	0.2169
87	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	2	2	0.43	0.2169
88	GO:0048193	Golgi vesicle transport	64	15	13.9	0.2170
89	GO:0002100	tRNA wobble adenosine to inosine editing	1	1	0.22	0.2171
90	GO:0019805	quinolinate biosynthetic process	1	1	0.22	0.2171
91	GO:0006956	complement activation	1	1	0.22	0.2171
