GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0008312	7S RNA binding	5	3	0.18	0.00047
2	GO:0016971	flavin-dependent sulfhydryl oxidase activity	2	2	0.07	0.00135
3	GO:0008613	diuretic hormone activity	2	2	0.07	0.00135
4	GO:0050262	ribosylnicotinamide kinase activity	3	2	0.11	0.00396
5	GO:0051287	NAD binding	30	5	1.11	0.00542
6	GO:0017070	U6 snRNA binding	4	2	0.15	0.00773
7	GO:0008327	methyl-CpG binding	1	1	0.04	0.03685
8	GO:0000403	Y-form DNA binding	1	1	0.04	0.03685
9	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	1	1	0.04	0.03685
10	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	1	1	0.04	0.03685
11	GO:0030621	U4 snRNA binding	1	1	0.04	0.03685
12	GO:0052906	tRNA (guanine(37)-N1)-methyltransferase activity	1	1	0.04	0.03685
13	GO:0032542	sulfiredoxin activity	1	1	0.04	0.03685
14	GO:0008307	structural constituent of muscle	1	1	0.04	0.03685
15	GO:0019778	Atg12 activating enzyme activity	1	1	0.04	0.03685
16	GO:0019779	Atg8 activating enzyme activity	1	1	0.04	0.03685
17	GO:0098621	O-phosphoseryl-tRNA(Sec) selenium transferase activity	1	1	0.04	0.03685
18	GO:0004449	isocitrate dehydrogenase (NAD+) activity	1	1	0.04	0.03685
19	GO:0051750	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity	1	1	0.04	0.03685
20	GO:0043295	glutathione binding	1	1	0.04	0.03685
21	GO:0000994	RNA polymerase III core binding	1	1	0.04	0.03685
22	GO:0000995	RNA polymerase III general transcription initiation factor activity	1	1	0.04	0.03685
23	GO:0050104	L-gulonate 3-dehydrogenase activity	1	1	0.04	0.03685
24	GO:0015218	pyrimidine nucleotide transmembrane transporter activity	1	1	0.04	0.03685
25	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.04	0.03685
26	GO:0004363	glutathione synthase activity	1	1	0.04	0.03685
27	GO:0004798	dTMP kinase activity	1	1	0.04	0.03685
28	GO:0001734	mRNA m(6)A methyltransferase activity	1	1	0.04	0.03685
29	GO:1990698	palmitoleoyltransferase activity	1	1	0.04	0.03685
30	GO:0004757	sepiapterin reductase (NADP+) activity	1	1	0.04	0.03685
31	GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.04	0.03685
32	GO:0071913	citrate secondary active transmembrane transporter activity	1	1	0.04	0.03685
33	GO:0061798	GTP 3',8'-cyclase activity	1	1	0.04	0.03685
34	GO:0061799	cyclic pyranopterin monophosphate synthase activity	1	1	0.04	0.03685
35	GO:0004333	fumarate hydratase activity	1	1	0.04	0.03685
36	GO:0004335	galactokinase activity	1	1	0.04	0.03685
37	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.04	0.03685
38	GO:0004092	carnitine O-acetyltransferase activity	1	1	0.04	0.03685
39	GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	1	1	0.04	0.03685
40	GO:0017061	S-methyl-5-thioadenosine phosphorylase activity	1	1	0.04	0.03685
41	GO:0004105	choline-phosphate cytidylyltransferase activity	1	1	0.04	0.03685
42	GO:0008160	protein tyrosine phosphatase activator activity	1	1	0.04	0.03685
43	GO:0004496	mevalonate kinase activity	1	1	0.04	0.03685
44	GO:0017171	serine hydrolase activity	84	4	3.1	0.03686
