GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0008270	zinc ion binding	130	42	27.56	0.0017
2	GO:0048027	mRNA 5'-UTR binding	3	3	0.64	0.0095
3	GO:0004828	serine-tRNA ligase activity	3	3	0.64	0.0095
4	GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity	3	3	0.64	0.0095
5	GO:0000049	tRNA binding	17	8	3.6	0.0153
6	GO:0003684	damaged DNA binding	11	6	2.33	0.0154
7	GO:0003735	structural constituent of ribosome	67	22	14.2	0.0169
8	GO:0016791	phosphatase activity	63	21	13.35	0.0245
9	GO:0016279	protein-lysine N-methyltransferase activity	5	4	1.06	0.0318
10	GO:0030628	pre-mRNA 3'-splice site binding	4	3	0.85	0.0319
11	GO:0003725	double-stranded RNA binding	10	5	2.12	0.0411
12	GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	2	2	0.42	0.0449
13	GO:0070905	serine binding	2	2	0.42	0.0449
14	GO:0003993	acid phosphatase activity	2	2	0.42	0.0449
15	GO:0071164	RNA cap trimethylguanosine synthase activity	2	2	0.42	0.0449
16	GO:0050480	imidazolonepropionase activity	2	2	0.42	0.0449
17	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	2	2	0.42	0.0449
18	GO:0004144	diacylglycerol O-acyltransferase activity	2	2	0.42	0.0449
19	GO:0000995	RNA polymerase III general transcription initiation factor activity	2	2	0.42	0.0449
20	GO:0003919	FMN adenylyltransferase activity	2	2	0.42	0.0449
21	GO:0004362	glutathione-disulfide reductase (NADPH) activity	2	2	0.42	0.0449
22	GO:0046875	ephrin receptor binding	2	2	0.42	0.0449
23	GO:0004372	glycine hydroxymethyltransferase activity	2	2	0.42	0.0449
24	GO:0004345	glucose-6-phosphate dehydrogenase activity	2	2	0.42	0.0449
25	GO:0017099	very-long-chain fatty acyl-CoA dehydrogenase activity	2	2	0.42	0.0449
26	GO:0050897	cobalt ion binding	2	2	0.42	0.0449
27	GO:0097322	7SK snRNA binding	2	2	0.42	0.0449
28	GO:0043014	alpha-tubulin binding	2	2	0.42	0.0449
29	GO:0004842	ubiquitin-protein transferase activity	65	19	13.78	0.0552
30	GO:0070181	small ribosomal subunit rRNA binding	5	3	1.06	0.0674
31	GO:0001671	ATPase activator activity	5	3	1.06	0.0674
32	GO:0004879	nuclear receptor activity	8	4	1.7	0.0677
33	GO:0003714	transcription corepressor activity	12	5	2.54	0.0891
34	GO:0050660	flavin adenine dinucleotide binding	26	9	5.51	0.1018
35	GO:1990817	poly(A) RNA polymerase activity	9	4	1.91	0.1020
36	GO:0004806	triacylglycerol lipase activity	6	3	1.27	0.1139
37	GO:0000062	fatty-acyl-CoA binding	6	3	1.27	0.1139
38	GO:0042802	identical protein binding	12	4	2.54	0.1156
39	GO:0120015	sterol transfer activity	3	2	0.64	0.1156
40	GO:0003756	protein disulfide isomerase activity	3	2	0.64	0.1156
41	GO:0003688	DNA replication origin binding	3	2	0.64	0.1156
42	GO:0046920	alpha-(1->3)-fucosyltransferase activity	3	2	0.64	0.1156
43	GO:0000400	four-way junction DNA binding	3	2	0.64	0.1156
44	GO:0000900	mRNA regulatory element binding translation repressor activity	3	2	0.64	0.1156
45	GO:0016151	nickel cation binding	3	2	0.64	0.1156
46	GO:0000298	endopolyphosphatase activity	3	2	0.64	0.1156
47	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	3	2	0.64	0.1156
48	GO:0043565	sequence-specific DNA binding	152	39	32.22	0.1276
49	GO:0043130	ubiquitin binding	26	8	5.51	0.1674
