GO.ID	Description	p.Val
GO:0046294	formaldehyde catabolic process	0.0022
GO:0042795	snRNA transcription by RNA polymerase II	0.0022
GO:0032259	methylation	0.0099
GO:0034599	cellular response to oxidative stress	0.0101
GO:0042796	snRNA transcription by RNA polymerase III	0.0102
GO:0051289	protein homotetramerization	0.0102
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	0.0102
GO:0009249	protein lipoylation	0.0102
GO:0006006	glucose metabolic process	0.0102
GO:0006364	rRNA processing	0.0103
GO:0016311	dephosphorylation	0.0336
GO:0034063	stress granule assembly	0.0342
GO:0090141	positive regulation of mitochondrial fission	0.0342
GO:0035999	tetrahydrofolate interconversion	0.0342
GO:0010992	ubiquitin recycling	0.0342
GO:0006352	DNA-templated transcription initiation	0.0469
GO:0034976	response to endoplasmic reticulum stress	0.0471
GO:0006798	polyphosphate catabolic process	0.0471
GO:0006747	FAD biosynthetic process	0.0471
GO:0019556	L-histidine catabolic process to glutamate and formamide	0.0471
GO:0006850	mitochondrial pyruvate transmembrane transport	0.0471
GO:0018023	peptidyl-lysine trimethylation	0.0471
GO:0006565	L-serine catabolic process	0.0471
GO:0036261	7-methylguanosine cap hypermethylation	0.0471
GO:0006513	protein monoubiquitination	0.0471
GO:0097222	mitochondrial mRNA polyadenylation	0.0471
GO:0019264	glycine biosynthetic process from serine	0.0471
GO:0006408	snRNA export from nucleus	0.0471
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.0471
GO:0009214	cyclic nucleotide catabolic process	0.0471
GO:0006226	dUMP biosynthetic process	0.0471
GO:0032979	protein insertion into mitochondrial inner membrane from matrix	0.0471
GO:0048013	ephrin receptor signaling pathway	0.0471
GO:0110032	positive regulation of G2/MI transition of meiotic cell cycle	0.0471
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.0471
GO:0070158	mitochondrial seryl-tRNA aminoacylation	0.0471
GO:0006302	double-strand break repair	0.0711
GO:0006334	nucleosome assembly	0.0717
GO:0009408	response to heat	0.0717
GO:0000398	mRNA splicing, via spliceosome	0.0739
GO:0006412	translation	0.0765
GO:0009058	biosynthetic process	0.1033
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.1096
GO:0006469	negative regulation of protein kinase activity	0.1198
GO:0001510	RNA methylation	0.1202
GO:0009452	7-methylguanosine RNA capping	0.1204
GO:0034975	protein folding in endoplasmic reticulum	0.1208
GO:0046655	folic acid metabolic process	0.1209
GO:0006729	tetrahydrobiopterin biosynthetic process	0.1209
GO:0036065	fucosylation	0.1209
GO:0008053	mitochondrial fusion	0.1209
