GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0004484	mRNA guanylyltransferase activity	2	2	0.12	0.0034
2	GO:0140818	mRNA 5'-triphosphate monophosphatase activity	2	2	0.12	0.0034
3	GO:0034450	ubiquitin-ubiquitin ligase activity	3	2	0.17	0.0097
4	GO:0000298	endopolyphosphatase activity	3	2	0.17	0.0097
5	GO:0004197	cysteine-type endopeptidase activity	9	3	0.52	0.0125
6	GO:0043130	ubiquitin binding	26	5	1.51	0.0151
7	GO:0031625	ubiquitin protein ligase binding	12	3	0.7	0.0287
8	GO:0005096	GTPase activator activity	23	4	1.34	0.0409
9	GO:0061750	acid sphingomyelin phosphodiesterase activity	1	1	0.06	0.0581
10	GO:0019948	SUMO activating enzyme activity	1	1	0.06	0.0581
11	GO:0004132	dCMP deaminase activity	1	1	0.06	0.0581
12	GO:0004660	protein farnesyltransferase activity	1	1	0.06	0.0581
13	GO:0004105	choline-phosphate cytidylyltransferase activity	1	1	0.06	0.0581
14	GO:0070300	phosphatidic acid binding	1	1	0.06	0.0581
15	GO:0042834	peptidoglycan binding	1	1	0.06	0.0581
16	GO:0032216	glucosaminyl-phosphatidylinositol O-acyltransferase activity	1	1	0.06	0.0581
17	GO:0044548	S100 protein binding	1	1	0.06	0.0581
18	GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	1	1	0.06	0.0581
19	GO:0005111	type 2 fibroblast growth factor receptor binding	1	1	0.06	0.0581
20	GO:0051059	NF-kappaB binding	1	1	0.06	0.0581
21	GO:0004512	inositol-3-phosphate synthase activity	1	1	0.06	0.0581
22	GO:0050178	phenylpyruvate tautomerase activity	1	1	0.06	0.0581
23	GO:0008330	protein tyrosine/threonine phosphatase activity	1	1	0.06	0.0581
24	GO:0008897	holo-[acyl-carrier-protein] synthase activity	1	1	0.06	0.0581
25	GO:0015254	glycerol channel activity	1	1	0.06	0.0581
26	GO:0005105	type 1 fibroblast growth factor receptor binding	1	1	0.06	0.0581
27	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	1	1	0.06	0.0581
28	GO:0004483	methyltransferase cap1 activity	1	1	0.06	0.0581
29	GO:0008934	inositol monophosphate 1-phosphatase activity	1	1	0.06	0.0581
30	GO:0003887	DNA-directed DNA polymerase activity	1	1	0.06	0.0581
31	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1	1	0.06	0.0581
32	GO:0016430	tRNA (adenine-N6)-methyltransferase activity	1	1	0.06	0.0581
33	GO:0004421	hydroxymethylglutaryl-CoA synthase activity	1	1	0.06	0.0581
34	GO:0051787	misfolded protein binding	8	2	0.46	0.0745
35	GO:0008017	microtubule binding	32	5	1.86	0.0746
36	GO:0030515	snoRNA binding	9	2	0.52	0.0922
37	GO:0050661	NADP binding	10	2	0.58	0.1110
38	GO:0004707	MAP kinase activity	4	2	0.23	0.1122
39	GO:0048185	activin binding	2	1	0.12	0.1128
40	GO:0004705	JUN kinase activity	2	1	0.12	0.1128
41	GO:0017002	activin receptor activity	2	1	0.12	0.1128
42	GO:0015385	sodium:proton antiporter activity	2	1	0.12	0.1128
43	GO:0004662	CAAX-protein geranylgeranyltransferase activity	2	1	0.12	0.1128
44	GO:0019786	protein-phosphatidylethanolamide deconjugating activity	2	1	0.12	0.1128
45	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	2	1	0.12	0.1128
46	GO:0004557	alpha-galactosidase activity	2	1	0.12	0.1128
47	GO:2001069	glycogen binding	2	1	0.12	0.1128
48	GO:1902387	ceramide 1-phosphate binding	2	1	0.12	0.1128
49	GO:1902388	ceramide 1-phosphate transfer activity	2	1	0.12	0.1128
50	GO:0031210	phosphatidylcholine binding	2	1	0.12	0.1128
51	GO:0004749	ribose phosphate diphosphokinase activity	2	1	0.12	0.1128
52	GO:0005215	transporter activity	184	6	10.68	0.1165
53	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	12	3	0.7	0.1295
54	GO:0003714	transcription corepressor activity	11	2	0.64	0.1307
55	GO:0003684	damaged DNA binding	11	2	0.64	0.1307
56	GO:0003743	translation initiation factor activity	24	3	1.39	0.1598
57	GO:0008157	protein phosphatase 1 binding	3	1	0.17	0.1643
