GO.ID	Description	p.Val
GO:0006370	7-methylguanosine mRNA capping	0.00051
GO:0006798	polyphosphate catabolic process	0.00260
GO:0090630	activation of GTPase activity	0.00607
GO:0043065	positive regulation of apoptotic process	0.01457
GO:0010992	ubiquitin recycling	0.01457
GO:0031398	positive regulation of protein ubiquitination	0.03403
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.04421
GO:0006020	inositol metabolic process	0.05082
GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	0.05115
GO:0042276	error-prone translesion synthesis	0.05115
GO:0006657	CDP-choline pathway	0.05115
GO:0006685	sphingomyelin catabolic process	0.05115
GO:1901098	positive regulation of autophagosome maturation	0.05115
GO:0008045	motor neuron axon guidance	0.05115
GO:0045717	negative regulation of fatty acid biosynthetic process	0.05115
GO:0072383	plus-end-directed vesicle transport along microtubule	0.05115
GO:0006833	water transport	0.05115
GO:0006021	inositol biosynthetic process	0.05115
GO:0015793	glycerol transmembrane transport	0.05115
GO:0097345	mitochondrial outer membrane permeabilization	0.05115
GO:0019878	L-lysine biosynthetic process via aminoadipic acid	0.05115
GO:0018343	protein farnesylation	0.05115
GO:0060623	regulation of chromosome condensation	0.05115
GO:0007507	heart development	0.05115
GO:0006231	dTMP biosynthetic process	0.05115
GO:0043252	sodium-independent organic anion transport	0.05115
GO:0000301	retrograde transport, vesicle recycling within Golgi	0.05115
GO:0010506	regulation of autophagy	0.05889
GO:0006470	protein dephosphorylation	0.07771
GO:0031124	mRNA 3'-end processing	0.08932
GO:0006606	protein import into nucleus	0.09917
GO:0008283	cell population proliferation	0.09955
GO:0046477	glycosylceramide catabolic process	0.09971
GO:0120009	intermembrane lipid transfer	0.09971
GO:0035627	ceramide transport	0.09971
GO:0030162	regulation of proteolysis	0.09971
GO:0005979	regulation of glycogen biosynthetic process	0.09971
GO:0030155	regulation of cell adhesion	0.09971
GO:0032924	activin receptor signaling pathway	0.09971
GO:0007340	acrosome reaction	0.09971
GO:0009253	peptidoglycan catabolic process	0.09971
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.09971
GO:0045943	positive regulation of transcription by RNA polymerase I	0.09971
GO:0006226	dUMP biosynthetic process	0.09971
GO:0030330	DNA damage response, signal transduction by p53 class mediator	0.09971
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.09971
GO:1904263	positive regulation of TORC1 signaling	0.09971
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.09971
GO:1901610	positive regulation of vesicle transport along microtubule	0.09971
GO:0048870	cell motility	0.09986
GO:0000413	protein peptidyl-prolyl isomerization	0.10561
GO:0000266	mitochondrial fission	0.10561
GO:0006468	protein phosphorylation	0.12544
GO:0006511	ubiquitin-dependent protein catabolic process	0.13271
GO:0000209	protein polyubiquitination	0.14483
GO:0045494	photoreceptor cell maintenance	0.14580
GO:0008053	mitochondrial fusion	0.14580
GO:0008360	regulation of cell shape	0.14580
GO:0018095	protein polyglutamylation	0.14580
GO:0006084	acetyl-CoA metabolic process	0.14580
GO:0006384	transcription initiation at RNA polymerase III promoter	0.14580
GO:0000012	single strand break repair	0.14580
GO:1904294	positive regulation of ERAD pathway	0.14580
GO:0016139	glycoside catabolic process	0.14580
GO:0015936	coenzyme A metabolic process	0.14580
GO:0034198	cellular response to amino acid starvation	0.14580
GO:0007052	mitotic spindle organization	0.17692
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.17692
GO:0006397	mRNA processing	0.18586
GO:0043547	positive regulation of GTPase activity	0.18638
GO:0030111	regulation of Wnt signaling pathway	0.18870
GO:0006164	purine nucleotide biosynthetic process	0.18919
GO:0042593	glucose homeostasis	0.18954
GO:0030198	extracellular matrix organization	0.18954
GO:0043409	negative regulation of MAPK cascade	0.18954
GO:0006904	vesicle docking involved in exocytosis	0.18954
GO:0007254	JNK cascade	0.18954
GO:0030865	cortical cytoskeleton organization	0.18954
GO:0035023	regulation of Rho protein signal transduction	0.18954
GO:0006376	mRNA splice site recognition	0.18954
GO:0002098	tRNA wobble uridine modification	0.18954
GO:0018344	protein geranylgeranylation	0.18954
GO:0090090	negative regulation of canonical Wnt signaling pathway	0.18954
GO:0000338	protein deneddylation	0.18954
GO:0061709	reticulophagy	0.18954
GO:0007015	actin filament organization	0.20939
GO:0045087	innate immune response	0.21486
GO:0007099	centriole replication	0.23106
GO:0008284	positive regulation of cell population proliferation	0.23106
GO:0007020	microtubule nucleation	0.23106
GO:0008543	fibroblast growth factor receptor signaling pathway	0.23106
GO:0009311	oligosaccharide metabolic process	0.23106
GO:0030010	establishment of cell polarity	0.23106
GO:0016925	protein sumoylation	0.23106
GO:0006303	double-strand break repair via nonhomologous end joining	0.23106
GO:0016126	sterol biosynthetic process	0.23106
GO:0007264	small GTPase-mediated signal transduction	0.23137
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.23411
GO:0006396	RNA processing	0.26217
GO:0008654	phospholipid biosynthetic process	0.26679
