GO.ID	Description	p.Val
GO:0014013	regulation of gliogenesis	0.0005
GO:1902115	regulation of organelle assembly	0.0005
GO:2000643	positive regulation of early endosome to late endosome transport	0.0005
GO:1902966	positive regulation of protein localization to early endosome	0.0005
GO:0140300	serine import into mitochondrion	0.0005
GO:0009051	pentose-phosphate shunt, oxidative branch	0.0015
GO:0008360	regulation of cell shape	0.0015
GO:0008285	negative regulation of cell population proliferation	0.0071
GO:0006006	glucose metabolic process	0.0128
GO:0071218	cellular response to misfolded protein	0.0225
GO:0070973	protein localization to endoplasmic reticulum exit site	0.0225
GO:0071929	alpha-tubulin acetylation	0.0225
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	0.0225
GO:0006533	L-aspartate catabolic process	0.0225
GO:0099152	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	0.0225
GO:0099158	regulation of recycling endosome localization within postsynapse	0.0225
GO:0070525	tRNA threonylcarbamoyladenosine metabolic process	0.0225
GO:1905706	regulation of mitochondrial ATP synthesis coupled proton transport	0.0225
GO:0009107	lipoate biosynthetic process	0.0225
GO:0043252	sodium-independent organic anion transport	0.0225
GO:1905273	positive regulation of proton-transporting ATP synthase activity, rotational mechanism	0.0225
GO:0030242	autophagy of peroxisome	0.0225
GO:0051457	maintenance of protein location in nucleus	0.0225
GO:0006811	monoatomic ion transport	0.0239
GO:0006470	protein dephosphorylation	0.0397
GO:0045930	negative regulation of mitotic cell cycle	0.0441
GO:0006559	L-phenylalanine catabolic process	0.0446
GO:0001578	microtubule bundle formation	0.0446
GO:0051764	actin crosslink formation	0.0446
GO:0006747	FAD biosynthetic process	0.0446
GO:0016266	protein O-linked glycosylation via N-acetyl-galactosamine	0.0446
GO:1904825	protein localization to microtubule plus-end	0.0446
GO:1905244	regulation of modification of synaptic structure	0.0446
GO:0035567	non-canonical Wnt signaling pathway	0.0446
GO:0018023	peptidyl-lysine trimethylation	0.0446
GO:0006098	pentose-phosphate shunt	0.0641
GO:0048015	phosphatidylinositol-mediated signaling	0.0661
GO:0031110	regulation of microtubule polymerization or depolymerization	0.0661
GO:0070536	protein K63-linked deubiquitination	0.0661
GO:0035336	long-chain fatty-acyl-CoA metabolic process	0.0661
GO:0006285	base-excision repair, AP site formation	0.0661
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	0.0661
GO:0048568	embryonic organ development	0.0661
GO:0007095	mitotic G2 DNA damage checkpoint signaling	0.0661
GO:0005975	carbohydrate metabolic process	0.0668
GO:0034727	piecemeal microautophagy of the nucleus	0.0872
GO:0032007	negative regulation of TOR signaling	0.0872
GO:0045739	positive regulation of DNA repair	0.0872
GO:0006729	tetrahydrobiopterin biosynthetic process	0.0872
GO:0000423	mitophagy	0.0872
GO:0032456	endocytic recycling	0.1062
GO:0090090	negative regulation of canonical Wnt signaling pathway	0.1077
GO:0035023	regulation of Rho protein signal transduction	0.1077
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.1077
GO:0035329	hippo signaling	0.1077
GO:0032869	cellular response to insulin stimulus	0.1077
GO:0060395	SMAD protein signal transduction	0.1077
GO:0006334	nucleosome assembly	0.1077
GO:0017196	N-terminal peptidyl-methionine acetylation	0.1077
GO:0016226	iron-sulfur cluster assembly	0.1279
GO:0016973	poly(A)+ mRNA export from nucleus	0.1279
GO:0006446	regulation of translational initiation	0.1279
GO:0006893	Golgi to plasma membrane transport	0.1476
GO:0034497	protein localization to phagophore assembly site	0.1476
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.1668
GO:0030150	protein import into mitochondrial matrix	0.1856
GO:0006897	endocytosis	0.1939
GO:0071577	zinc ion transmembrane transport	0.2040
GO:0006289	nucleotide-excision repair	0.2040
GO:0030509	BMP signaling pathway	0.2220
GO:0030036	actin cytoskeleton organization	0.2525
GO:0030833	regulation of actin filament polymerization	0.2568
GO:0009058	biosynthetic process	0.2638
GO:0000045	autophagosome assembly	0.2706
GO:0007052	mitotic spindle organization	0.2737
GO:0035556	intracellular signal transduction	0.3434
GO:0016579	protein deubiquitination	0.3481
GO:0055085	transmembrane transport	0.3725
GO:0006887	exocytosis	0.3954
GO:0006606	protein import into nucleus	0.3954
GO:0006351	DNA-templated transcription	0.4673
GO:0007018	microtubule-based movement	0.4853
GO:0006468	protein phosphorylation	0.5344
GO:0016197	endosomal transport	0.5499
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	0.5719
GO:0006302	double-strand break repair	0.6006
GO:0007005	mitochondrion organization	0.6757
GO:0006457	protein folding	0.6904
GO:0016567	protein ubiquitination	0.7658
GO:0006364	rRNA processing	0.8498
GO:0006886	intracellular protein transport	0.8536
GO:0006355	regulation of DNA-templated transcription	0.9112
GO:0006511	ubiquitin-dependent protein catabolic process	0.9147
GO:0006357	regulation of transcription by RNA polymerase II	0.9932
GO:0034762	regulation of transmembrane transport	1.0000
GO:0050807	regulation of synapse organization	1.0000
GO:0051246	regulation of protein metabolic process	1.0000
GO:0050808	synapse organization	1.0000
GO:0051247	positive regulation of protein metabolic process	1.0000
GO:0034764	positive regulation of transmembrane transport	1.0000
