GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0015183	L-aspartate transmembrane transporter activity	2	2	0.11	0.0029
2	GO:0030145	manganese ion binding	13	4	0.71	0.0041
3	GO:0031369	translation initiation factor binding	11	3	0.6	0.0189
4	GO:0070006	metalloaminopeptidase activity	14	3	0.76	0.0370
5	GO:0005313	L-glutamate transmembrane transporter activity	6	2	0.33	0.0382
6	GO:0042805	actinin binding	4	2	0.22	0.0542
7	GO:0004449	isocitrate dehydrogenase (NAD+) activity	1	1	0.05	0.0543
8	GO:0071916	dipeptide transmembrane transporter activity	1	1	0.05	0.0543
9	GO:0004053	arginase activity	1	1	0.05	0.0543
10	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.05	0.0543
11	GO:0120230	recombinase activator activity	1	1	0.05	0.0543
12	GO:0004757	sepiapterin reductase (NADP+) activity	1	1	0.05	0.0543
13	GO:0052906	tRNA (guanine(37)-N1)-methyltransferase activity	1	1	0.05	0.0543
14	GO:0017128	phospholipid scramblase activity	1	1	0.05	0.0543
15	GO:0097199	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	1	1	0.05	0.0543
16	GO:0004019	adenylosuccinate synthase activity	1	1	0.05	0.0543
17	GO:0050577	GDP-L-fucose synthase activity	1	1	0.05	0.0543
18	GO:0009039	urease activity	1	1	0.05	0.0543
19	GO:0060072	large conductance calcium-activated potassium channel activity	1	1	0.05	0.0543
20	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	1	1	0.05	0.0543
21	GO:0004352	glutamate dehydrogenase (NAD+) activity	1	1	0.05	0.0543
22	GO:0015292	uniporter activity	1	1	0.05	0.0543
23	GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity	1	1	0.05	0.0543
24	GO:0019870	potassium channel inhibitor activity	1	1	0.05	0.0543
25	GO:0071164	RNA cap trimethylguanosine synthase activity	1	1	0.05	0.0543
26	GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	1	1	0.05	0.0543
27	GO:0008897	holo-[acyl-carrier-protein] synthase activity	1	1	0.05	0.0543
28	GO:0008327	methyl-CpG binding	1	1	0.05	0.0543
29	GO:0106050	tRNA 2'-O-methyltransferase activity	1	1	0.05	0.0543
30	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	1	1	0.05	0.0543
31	GO:0004100	chitin synthase activity	1	1	0.05	0.0543
32	GO:0004105	choline-phosphate cytidylyltransferase activity	1	1	0.05	0.0543
33	GO:0004347	glucose-6-phosphate isomerase activity	1	1	0.05	0.0543
34	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	1	1	0.05	0.0543
35	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	1	1	0.05	0.0543
36	GO:0008307	structural constituent of muscle	1	1	0.05	0.0543
37	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	1	1	0.05	0.0543
38	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.05	0.0543
39	GO:0050104	L-gulonate 3-dehydrogenase activity	1	1	0.05	0.0543
40	GO:0004821	histidine-tRNA ligase activity	1	1	0.05	0.0543
41	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	1	1	0.05	0.0543
42	GO:0004496	mevalonate kinase activity	1	1	0.05	0.0543
43	GO:0035237	corazonin receptor activity	1	1	0.05	0.0543
44	GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity	1	1	0.05	0.0543
45	GO:0001222	transcription corepressor binding	1	1	0.05	0.0543
46	GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.05	0.0543
47	GO:0008453	alanine-glyoxylate transaminase activity	1	1	0.05	0.0543
48	GO:0005457	GDP-fucose transmembrane transporter activity	1	1	0.05	0.0543
49	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	1	1	0.05	0.0543
50	GO:0003923	GPI-anchor transamidase activity	1	1	0.05	0.0543
51	GO:0070991	medium-chain fatty acyl-CoA dehydrogenase activity	1	1	0.05	0.0543
52	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	1	1	0.05	0.0543
53	GO:0106370	protein-L-histidine N-pros-methyltransferase activity	1	1	0.05	0.0543
54	GO:0004423	iduronate-2-sulfatase activity	1	1	0.05	0.0543
55	GO:0003937	IMP cyclohydrolase activity	1	1	0.05	0.0543
56	GO:0017077	oxidative phosphorylation uncoupler activity	1	1	0.05	0.0543
57	GO:0046570	methylthioribulose 1-phosphate dehydratase activity	1	1	0.05	0.0543
58	GO:0004092	carnitine O-acetyltransferase activity	1	1	0.05	0.0543
59	GO:0004222	metalloendopeptidase activity	78	8	4.24	0.0601
60	GO:0000287	magnesium ion binding	42	5	2.28	0.0755
61	GO:0051287	NAD binding	30	4	1.63	0.0912
62	GO:0003743	translation initiation factor activity	32	4	1.74	0.0931
63	GO:0003684	damaged DNA binding	21	3	1.14	0.1026
64	GO:0004864	protein phosphatase inhibitor activity	7	2	0.38	0.1055
65	GO:0015645	fatty acid ligase activity	14	2	0.76	0.1056
66	GO:0035198	miRNA binding	2	1	0.11	0.1057
67	GO:0061928	glutathione specific gamma-glutamylcyclotransferase activity	2	1	0.11	0.1057
68	GO:0035014	phosphatidylinositol 3-kinase regulator activity	2	1	0.11	0.1057
69	GO:0004588	orotate phosphoribosyltransferase activity	2	1	0.11	0.1057
70	GO:0042781	3'-tRNA processing endoribonuclease activity	2	1	0.11	0.1057
71	GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	2	1	0.11	0.1057
72	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	2	1	0.11	0.1057
73	GO:0004084	branched-chain-amino-acid transaminase activity	2	1	0.11	0.1057
74	GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	2	1	0.11	0.1057
75	GO:0016361	activin receptor activity, type I	2	1	0.11	0.1057
76	GO:0070095	fructose-6-phosphate binding	2	1	0.11	0.1057
77	GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	2	1	0.11	0.1057
78	GO:0001729	ceramide kinase activity	2	1	0.11	0.1057
79	GO:0000035	acyl binding	2	1	0.11	0.1057
80	GO:0000036	acyl carrier activity	2	1	0.11	0.1057
81	GO:0004740	pyruvate dehydrogenase (acetyl-transferring) kinase activity	2	1	0.11	0.1057
82	GO:0008176	tRNA (guanine(46)-N7)-methyltransferase activity	2	1	0.11	0.1057
83	GO:0004359	glutaminase activity	2	1	0.11	0.1057
84	GO:0004321	fatty-acyl-CoA synthase activity	2	1	0.11	0.1057
85	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	2	1	0.11	0.1057
86	GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	2	1	0.11	0.1057
87	GO:0031849	olfactory receptor binding	2	1	0.11	0.1057
88	GO:0016971	flavin-dependent sulfhydryl oxidase activity	2	1	0.11	0.1057
89	GO:0003872	6-phosphofructokinase activity	2	1	0.11	0.1057
90	GO:0004817	cysteine-tRNA ligase activity	2	1	0.11	0.1057
91	GO:0034246	mitochondrial transcription factor activity	2	1	0.11	0.1057
92	GO:0010945	coenzyme A diphosphatase activity	2	1	0.11	0.1057
93	GO:0046920	alpha-(1->3)-fucosyltransferase activity	2	1	0.11	0.1057
94	GO:0004830	tryptophan-tRNA ligase activity	2	1	0.11	0.1057
95	GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	2	1	0.11	0.1057
96	GO:0004590	orotidine-5'-phosphate decarboxylase activity	2	1	0.11	0.1057
97	GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	2	1	0.11	0.1057
98	GO:1990446	U1 snRNP binding	2	1	0.11	0.1057
99	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	127	13	6.9	0.1063
100	GO:0008168	methyltransferase activity	106	14	5.76	0.1135
101	GO:0042803	protein homodimerization activity	12	2	0.65	0.1357
102	GO:0008237	metallopeptidase activity	117	14	6.36	0.1506
103	GO:0016772	transferase activity, transferring phosphorus-containing groups	419	29	22.77	0.1521
104	GO:0005215	transporter activity	534	30	29.01	0.1543
