GO.ID	Description	p.Val
GO:0032797	SMN complex	0.0028
GO:0097038	perinuclear endoplasmic reticulum	0.0029
GO:0030136	clathrin-coated vesicle	0.0046
GO:0045252	oxoglutarate dehydrogenase complex	0.0085
GO:0005759	mitochondrial matrix	0.0149
GO:0005851	eukaryotic translation initiation factor 2B complex	0.0163
GO:0005737	cytoplasm	0.0248
GO:0030991	intraciliary transport particle A	0.0380
GO:0001725	stress fiber	0.0513
GO:0099503	secretory vesicle	0.0540
GO:0030428	cell septum	0.0542
GO:1990923	PET complex	0.0542
GO:0005700	polytene chromosome	0.0542
GO:0097149	centralspindlin complex	0.0542
GO:1990023	mitotic spindle midzone	0.0542
GO:0016533	protein kinase 5 complex	0.0542
GO:0031213	RSF complex	0.0542
GO:0017146	NMDA selective glutamate receptor complex	0.0542
GO:0120231	DNA recombinase auxiliary factor complex	0.0542
GO:0035550	urease complex	0.0542
GO:0012506	vesicle membrane	0.0549
GO:0030018	Z disc	0.0660
GO:0005739	mitochondrion	0.0850
GO:0009925	basal plasma membrane	0.1053
GO:0071598	neuronal ribonucleoprotein granule	0.1054
GO:0005745	m-AAA complex	0.1054
GO:0008290	F-actin capping protein complex	0.1054
GO:0098894	extrinsic component of presynaptic endocytic zone membrane	0.1054
GO:1990423	RZZ complex	0.1054
GO:0009331	glycerol-3-phosphate dehydrogenase (FAD) complex	0.1054
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	0.1054
GO:0005945	6-phosphofructokinase complex	0.1054
GO:0016035	zeta DNA polymerase complex	0.1054
GO:0071439	clathrin complex	0.1054
GO:0031463	Cul3-RING ubiquitin ligase complex	0.1054
GO:0043291	RAVE complex	0.1054
GO:0000242	pericentriolar material	0.1054
GO:0030870	Mre11 complex	0.1054
GO:0048471	perinuclear region of cytoplasm	0.1155
GO:0031966	mitochondrial membrane	0.1161
GO:0005881	cytoplasmic microtubule	0.1351
GO:0005761	mitochondrial ribosome	0.1534
GO:0005905	clathrin-coated pit	0.1536
GO:0030140	trans-Golgi network transport vesicle	0.1537
GO:0002189	ribose phosphate diphosphokinase complex	0.1539
GO:1990429	peroxisomal importomer complex	0.1539
GO:0140284	endoplasmic reticulum-endosome membrane contact site	0.1539
GO:0032154	cleavage furrow	0.1539
GO:0071006	U2-type catalytic step 1 spliceosome	0.1539
GO:0005787	signal peptidase complex	0.1539
GO:0048179	activin receptor complex	0.1539
GO:1990246	uniplex complex	0.1539
GO:0071944	cell periphery	0.1548
GO:0005741	mitochondrial outer membrane	0.1778
GO:0008021	synaptic vesicle	0.1916
GO:0030877	beta-catenin destruction complex	0.1998
GO:0043197	dendritic spine	0.1998
GO:0016529	sarcoplasmic reticulum	0.1998
GO:0030123	AP-3 adaptor complex	0.1998
GO:0005901	caveola	0.1998
GO:0071007	U2-type catalytic step 2 spliceosome	0.1998
GO:0030687	preribosome, large subunit precursor	0.2139
GO:0005663	DNA replication factor C complex	0.2432
GO:0045334	clathrin-coated endocytic vesicle	0.2432
GO:0043240	Fanconi anaemia nuclear complex	0.2432
GO:0034399	nuclear periphery	0.2432
GO:0032809	neuronal cell body membrane	0.2432
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	0.2432
GO:0042765	GPI-anchor transamidase complex	0.2432
GO:0031080	nuclear pore outer ring	0.2432
GO:0031941	filamentous actin	0.2432
GO:0030479	actin cortical patch	0.2432
GO:0030027	lamellipodium	0.2432
GO:0030054	cell junction	0.2432
GO:0030424	axon	0.2492
GO:0005762	mitochondrial large ribosomal subunit	0.2494
GO:0043005	neuron projection	0.2638
GO:0051233	spindle midzone	0.2835
GO:0030426	growth cone	0.2842
GO:0000127	transcription factor TFIIIC complex	0.2842
GO:0070822	Sin3-type complex	0.2842
GO:0030496	midbody	0.2842
GO:0031462	Cul2-RING ubiquitin ligase complex	0.2842
GO:0030132	clathrin coat of coated pit	0.2842
GO:0035098	ESC/E(Z) complex	0.2842
GO:0032040	small-subunit processome	0.2943
GO:0005778	peroxisomal membrane	0.3162
GO:0045335	phagocytic vesicle	0.3230
GO:0030130	clathrin coat of trans-Golgi network vesicle	0.3230
GO:0005730	nucleolus	0.3374
GO:0000421	autophagosome membrane	0.3598
GO:0016514	SWI/SNF complex	0.3598
GO:0005604	basement membrane	0.3598
GO:0005832	chaperonin-containing T-complex	0.3598
GO:0005777	peroxisome	0.3752
GO:0005829	cytosol	0.3832
GO:0005852	eukaryotic translation initiation factor 3 complex	0.3937
GO:0008540	proteasome regulatory particle, base subcomplex	0.3945
GO:0008076	voltage-gated potassium channel complex	0.3945
GO:0000974	Prp19 complex	0.3945
GO:0000145	exocyst	0.3945
GO:0005834	heterotrimeric G-protein complex	0.3945
GO:0097730	non-motile cilium	0.3945
GO:0005643	nuclear pore	0.3950
GO:0043231	intracellular membrane-bounded organelle	0.4067
GO:0031519	PcG protein complex	0.4262
GO:0035102	PRC1 complex	0.4274
GO:0000786	nucleosome	0.4274
GO:0008180	COP9 signalosome	0.4274
GO:0030131	clathrin adaptor complex	0.4274
GO:0016592	mediator complex	0.4344
GO:0071011	precatalytic spliceosome	0.4530
GO:0030134	COPII-coated ER to Golgi transport vesicle	0.4530
GO:0042734	presynaptic membrane	0.4575
GO:0000794	condensed nuclear chromosome	0.4584
GO:0043186	P granule	0.4584
GO:0030688	preribosome, small subunit precursor	0.4584
GO:0035371	microtubule plus-end	0.4584
GO:0034703	cation channel complex	0.4869
GO:0016323	basolateral plasma membrane	0.4878
GO:0030141	secretory granule	0.4878
GO:0000139	Golgi membrane	0.4956
GO:0005783	endoplasmic reticulum	0.5038
GO:0009986	cell surface	0.5069
GO:0005884	actin filament	0.5149
GO:0016607	nuclear speck	0.5156
GO:0005942	phosphatidylinositol 3-kinase complex	0.5156
GO:0016342	catenin complex	0.5156
GO:0033176	proton-transporting V-type ATPase complex	0.5156
GO:0031985	Golgi cisterna	0.5419
GO:0005849	mRNA cleavage factor complex	0.5419
GO:0000151	ubiquitin ligase complex	0.5584
GO:0005814	centriole	0.5668
GO:0031201	SNARE complex	0.5730
GO:0012505	endomembrane system	0.5853
GO:0043025	neuronal cell body	0.5895
GO:0000785	chromatin	0.5987
GO:0043235	receptor complex	0.6017
GO:0016324	apical plasma membrane	0.6126
GO:0045202	synapse	0.6160
GO:0005634	nucleus	0.6179
GO:0015629	actin cytoskeleton	0.6253
GO:0000407	phagophore assembly site	0.6336
