GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0042805	actinin binding	4	2	0.07	0.017
2	GO:0106050	tRNA 2'-O-methyltransferase activity	1	1	0.02	0.017
3	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	1	1	0.02	0.017
4	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	1	1	0.02	0.017
5	GO:0003923	GPI-anchor transamidase activity	1	1	0.02	0.017
6	GO:0017128	phospholipid scramblase activity	1	1	0.02	0.017
7	GO:0106370	protein-L-histidine N-pros-methyltransferase activity	1	1	0.02	0.017
8	GO:0017077	oxidative phosphorylation uncoupler activity	1	1	0.02	0.017
9	GO:0008307	structural constituent of muscle	1	1	0.02	0.017
10	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	1	1	0.02	0.017
11	GO:0019870	potassium channel inhibitor activity	1	1	0.02	0.017
12	GO:0004019	adenylosuccinate synthase activity	1	1	0.02	0.017
13	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	1	1	0.02	0.017
14	GO:0001222	transcription corepressor binding	1	1	0.02	0.017
15	GO:0004757	sepiapterin reductase (NADP+) activity	1	1	0.02	0.017
16	GO:0008453	alanine-glyoxylate transaminase activity	1	1	0.02	0.017
17	GO:0035237	corazonin receptor activity	1	1	0.02	0.017
18	GO:0004402	histone acetyltransferase activity	14	2	0.24	0.022
19	GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	2	1	0.03	0.033
20	GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	2	1	0.03	0.033
21	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	2	1	0.03	0.033
22	GO:0035198	miRNA binding	2	1	0.03	0.033
23	GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	2	1	0.03	0.033
24	GO:0046920	alpha-(1->3)-fucosyltransferase activity	2	1	0.03	0.033
25	GO:0004830	tryptophan-tRNA ligase activity	2	1	0.03	0.033
26	GO:0004340	glucokinase activity	3	1	0.05	0.050
27	GO:0042799	histone H4K20 methyltransferase activity	3	1	0.05	0.050
28	GO:0005536	D-glucose binding	3	1	0.05	0.050
29	GO:0051371	muscle alpha-actinin binding	3	1	0.05	0.050
30	GO:0016402	pristanoyl-CoA oxidase activity	3	1	0.05	0.050
31	GO:0004692	cGMP-dependent protein kinase activity	3	1	0.05	0.050
32	GO:0008865	fructokinase activity	3	1	0.05	0.050
33	GO:0017070	U6 snRNA binding	4	1	0.07	0.066
34	GO:0004366	glycerol-3-phosphate O-acyltransferase activity	4	1	0.07	0.066
35	GO:0140359	ABC-type transporter activity	26	2	0.44	0.070
36	GO:0008131	primary methylamine oxidase activity	5	1	0.08	0.081
37	GO:0015232	heme transmembrane transporter activity	5	1	0.08	0.081
38	GO:0003785	actin monomer binding	5	1	0.08	0.081
39	GO:0008494	translation activator activity	5	1	0.08	0.081
40	GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	5	1	0.08	0.081
41	GO:0008324	monoatomic cation transmembrane transporter activity	181	5	3.05	0.096
42	GO:0003779	actin binding	107	5	1.8	0.098
43	GO:0020037	heme binding	66	3	1.11	0.099
44	GO:0140110	transcription regulator activity	475	9	8	0.112
45	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	7	1	0.12	0.112
46	GO:0005504	fatty acid binding	7	1	0.12	0.112
47	GO:0004407	histone deacetylase activity	8	1	0.13	0.127
48	GO:0098632	cell-cell adhesion mediator activity	8	1	0.13	0.127
49	GO:0004181	metallocarboxypeptidase activity	8	1	0.13	0.127
50	GO:0030527	structural constituent of chromatin	8	1	0.13	0.127
51	GO:0036002	pre-mRNA binding	11	1	0.19	0.171
52	GO:0061631	ubiquitin conjugating enzyme activity	11	1	0.19	0.171
53	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	12	1	0.2	0.185
54	GO:0042803	protein homodimerization activity	12	1	0.2	0.185
