GO.ID	Description	p.Val
GO:0042805	actinin binding	0.017
GO:0106050	tRNA 2'-O-methyltransferase activity	0.017
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	0.017
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	0.017
GO:0003923	GPI-anchor transamidase activity	0.017
GO:0017128	phospholipid scramblase activity	0.017
GO:0106370	protein-L-histidine N-pros-methyltransferase activity	0.017
GO:0017077	oxidative phosphorylation uncoupler activity	0.017
GO:0008307	structural constituent of muscle	0.017
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	0.017
GO:0019870	potassium channel inhibitor activity	0.017
GO:0004019	adenylosuccinate synthase activity	0.017
GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	0.017
GO:0001222	transcription corepressor binding	0.017
GO:0004757	sepiapterin reductase (NADP+) activity	0.017
GO:0008453	alanine-glyoxylate transaminase activity	0.017
GO:0035237	corazonin receptor activity	0.017
GO:0004402	histone acetyltransferase activity	0.022
GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	0.033
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	0.033
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	0.033
GO:0035198	miRNA binding	0.033
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	0.033
GO:0046920	alpha-(1->3)-fucosyltransferase activity	0.033
GO:0004830	tryptophan-tRNA ligase activity	0.033
GO:0004340	glucokinase activity	0.050
GO:0042799	histone H4K20 methyltransferase activity	0.050
GO:0005536	D-glucose binding	0.050
GO:0051371	muscle alpha-actinin binding	0.050
GO:0016402	pristanoyl-CoA oxidase activity	0.050
GO:0004692	cGMP-dependent protein kinase activity	0.050
GO:0008865	fructokinase activity	0.050
GO:0017070	U6 snRNA binding	0.066
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	0.066
GO:0140359	ABC-type transporter activity	0.070
GO:0008131	primary methylamine oxidase activity	0.081
GO:0015232	heme transmembrane transporter activity	0.081
GO:0003785	actin monomer binding	0.081
GO:0008494	translation activator activity	0.081
GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	0.081
GO:0008324	monoatomic cation transmembrane transporter activity	0.096
GO:0003779	actin binding	0.098
GO:0020037	heme binding	0.099
GO:0140110	transcription regulator activity	0.112
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	0.112
GO:0005504	fatty acid binding	0.112
GO:0004407	histone deacetylase activity	0.127
GO:0098632	cell-cell adhesion mediator activity	0.127
GO:0004181	metallocarboxypeptidase activity	0.127
GO:0030527	structural constituent of chromatin	0.127
GO:0036002	pre-mRNA binding	0.171
GO:0061631	ubiquitin conjugating enzyme activity	0.171
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0.185
GO:0042803	protein homodimerization activity	0.185
GO:0043565	sequence-specific DNA binding	0.196
GO:0004190	aspartic-type endopeptidase activity	0.198
GO:0017056	structural constituent of nuclear pore	0.198
GO:0030145	manganese ion binding	0.198
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.212
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.212
GO:0070006	metalloaminopeptidase activity	0.212
GO:0008395	steroid hydroxylase activity	0.238
GO:0032934	sterol binding	0.238
GO:0042054	histone methyltransferase activity	0.249
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	0.249
GO:1901981	phosphatidylinositol phosphate binding	0.263
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.264
GO:0003727	single-stranded RNA binding	0.264
GO:0005525	GTP binding	0.265
GO:0004601	peroxidase activity	0.276
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.276
GO:0060090	molecular adaptor activity	0.279
GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	0.288
GO:0071949	FAD binding	0.288
GO:0016772	transferase activity, transferring phosphorus-containing groups	0.307
GO:0000976	transcription cis-regulatory region binding	0.322
GO:0004713	protein tyrosine kinase activity	0.322
GO:0003730	mRNA 3'-UTR binding	0.324
GO:0051015	actin filament binding	0.337
GO:0005249	voltage-gated potassium channel activity	0.346
GO:1902936	phosphatidylinositol bisphosphate binding	0.346
GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	0.358
GO:0030246	carbohydrate binding	0.398
GO:0016887	ATP hydrolysis activity	0.398
GO:0051287	NAD binding	0.400
GO:0046982	protein heterodimerization activity	0.400
GO:0008270	zinc ion binding	0.403
GO:0008028	monocarboxylic acid transmembrane transporter activity	0.408
GO:0005509	calcium ion binding	0.418
GO:0005254	chloride channel activity	0.420
GO:0000049	tRNA binding	0.420
GO:0015179	L-amino acid transmembrane transporter activity	0.430
GO:0031625	ubiquitin protein ligase binding	0.440
GO:0003714	transcription corepressor activity	0.440
GO:0008408	3'-5' exonuclease activity	0.449
GO:0030170	pyridoxal phosphate binding	0.449
GO:0061630	ubiquitin protein ligase activity	0.456
GO:0004521	RNA endonuclease activity	0.485
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.537
GO:0005261	monoatomic cation channel activity	0.573
