GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0020037	heme binding	67	10	2.49	0.00015
2	GO:0008190	eukaryotic initiation factor 4E binding	2	2	0.07	0.00137
3	GO:0047499	calcium-independent phospholipase A2 activity	2	2	0.07	0.00137
4	GO:0008973	phosphopentomutase activity	2	2	0.07	0.00137
5	GO:0000146	microfilament motor activity	3	2	0.11	0.00402
6	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	252	19	9.36	0.00436
7	GO:0015232	heme transmembrane transporter activity	4	2	0.15	0.00784
8	GO:0004096	catalase activity	4	2	0.15	0.00784
9	GO:0016791	phosphatase activity	104	8	3.86	0.01072
10	GO:0004867	serine-type endopeptidase inhibitor activity	14	3	0.52	0.01356
11	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	243	16	9.02	0.01570
12	GO:0005506	iron ion binding	64	6	2.38	0.03049
13	GO:0051087	protein-folding chaperone binding	24	4	0.89	0.03568
14	GO:0004788	thiamine diphosphokinase activity	1	1	0.04	0.03714
15	GO:0018738	S-formylglutathione hydrolase activity	1	1	0.04	0.03714
16	GO:0008241	peptidyl-dipeptidase activity	1	1	0.04	0.03714
17	GO:0004630	phospholipase D activity	1	1	0.04	0.03714
18	GO:0005007	fibroblast growth factor receptor activity	1	1	0.04	0.03714
19	GO:0000150	DNA strand exchange activity	1	1	0.04	0.03714
20	GO:0004565	beta-galactosidase activity	1	1	0.04	0.03714
21	GO:0030975	thiamine binding	1	1	0.04	0.03714
22	GO:0106140	P-TEFb complex binding	1	1	0.04	0.03714
23	GO:0030623	U5 snRNA binding	1	1	0.04	0.03714
24	GO:0001018	mitochondrial promoter sequence-specific DNA binding	1	1	0.04	0.03714
25	GO:0004517	nitric-oxide synthase activity	1	1	0.04	0.03714
26	GO:0015616	DNA translocase activity	1	1	0.04	0.03714
27	GO:0019869	chloride channel inhibitor activity	1	1	0.04	0.03714
28	GO:0035241	protein-arginine omega-N monomethyltransferase activity	1	1	0.04	0.03714
29	GO:0019870	potassium channel inhibitor activity	1	1	0.04	0.03714
30	GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	1	1	0.04	0.03714
31	GO:0062101	peptidyl-aspartic acid 3-dioxygenase activity	1	1	0.04	0.03714
32	GO:0042392	sphingosine-1-phosphate phosphatase activity	1	1	0.04	0.03714
33	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	80	10	2.97	0.04823
34	GO:0009055	electron transfer activity	12	2	0.45	0.07091
35	GO:0004497	monooxygenase activity	60	7	2.23	0.07124
36	GO:0033749	histone H4R3 demethylase activity	2	1	0.07	0.07290
37	GO:0005113	patched binding	2	1	0.07	0.07290
38	GO:0015086	cadmium ion transmembrane transporter activity	2	1	0.07	0.07290
39	GO:0042030	ATPase inhibitor activity	2	1	0.07	0.07290
40	GO:0043024	ribosomal small subunit binding	2	1	0.07	0.07290
41	GO:0016208	AMP binding	2	1	0.07	0.07290
42	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	2	1	0.07	0.07290
