GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0000049	tRNA binding	12	3	0.42	0.0072
2	GO:0005154	epidermal growth factor receptor binding	1	1	0.03	0.0347
3	GO:0004496	mevalonate kinase activity	1	1	0.03	0.0347
4	GO:0008384	IkappaB kinase activity	1	1	0.03	0.0347
5	GO:0001222	transcription corepressor binding	1	1	0.03	0.0347
6	GO:0120053	ribitol beta-1,4-xylosyltransferase activity	1	1	0.03	0.0347
7	GO:0043023	ribosomal large subunit binding	1	1	0.03	0.0347
8	GO:0005457	GDP-fucose transmembrane transporter activity	1	1	0.03	0.0347
9	GO:0030627	pre-mRNA 5'-splice site binding	1	1	0.03	0.0347
10	GO:0001965	G-protein alpha-subunit binding	1	1	0.03	0.0347
11	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	1	1	0.03	0.0347
12	GO:0002020	protease binding	1	1	0.03	0.0347
13	GO:0016971	flavin-dependent sulfhydryl oxidase activity	1	1	0.03	0.0347
14	GO:0017174	glycine N-methyltransferase activity	1	1	0.03	0.0347
15	GO:0033207	beta-1,4-N-acetylgalactosaminyltransferase activity	1	1	0.03	0.0347
16	GO:0005436	sodium:phosphate symporter activity	1	1	0.03	0.0347
17	GO:0009039	urease activity	1	1	0.03	0.0347
18	GO:0033842	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity	1	1	0.03	0.0347
19	GO:0004856	D-xylulokinase activity	1	1	0.03	0.0347
20	GO:1904047	S-adenosyl-L-methionine binding	1	1	0.03	0.0347
21	GO:1990883	rRNA cytidine N-acetyltransferase activity	1	1	0.03	0.0347
22	GO:0003730	mRNA 3'-UTR binding	10	2	0.35	0.0449
23	GO:0001786	phosphatidylserine binding	10	2	0.35	0.0449
24	GO:0003779	actin binding	76	7	2.64	0.0470
25	GO:0008028	monocarboxylic acid transmembrane transporter activity	29	4	1.01	0.0533
26	GO:0015108	chloride transmembrane transporter activity	40	5	1.39	0.0671
27	GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	2	1	0.07	0.0682
28	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	1	0.07	0.0682
29	GO:0019003	GDP binding	2	1	0.07	0.0682
30	GO:0051424	corticotropin-releasing hormone binding	2	1	0.07	0.0682
31	GO:0016402	pristanoyl-CoA oxidase activity	2	1	0.07	0.0682
32	GO:0008301	DNA binding, bending	2	1	0.07	0.0682
33	GO:0030619	U1 snRNA binding	2	1	0.07	0.0682
34	GO:0036424	L-phosphoserine phosphatase activity	2	1	0.07	0.0682
35	GO:0008494	translation activator activity	2	1	0.07	0.0682
36	GO:0019531	oxalate transmembrane transporter activity	2	1	0.07	0.0682
37	GO:0008613	diuretic hormone activity	2	1	0.07	0.0682
38	GO:0090433	palmitoyl-CoA ligase activity	2	1	0.07	0.0682
39	GO:0016594	glycine binding	2	1	0.07	0.0682
40	GO:0031489	myosin V binding	2	1	0.07	0.0682
41	GO:0004814	arginine-tRNA ligase activity	2	1	0.07	0.0682
42	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	28	2	0.97	0.1005
43	GO:0030594	neurotransmitter receptor activity	30	2	1.04	0.1006
44	GO:0050265	RNA uridylyltransferase activity	3	1	0.1	0.1006
45	GO:0003785	actin monomer binding	3	1	0.1	0.1006
46	GO:0004749	ribose phosphate diphosphokinase activity	3	1	0.1	0.1006
47	GO:0016151	nickel cation binding	3	1	0.1	0.1006
48	GO:0004430	1-phosphatidylinositol 4-kinase activity	3	1	0.1	0.1006
49	GO:0008036	diuretic hormone receptor activity	3	1	0.1	0.1006
50	GO:0015149	hexose transmembrane transporter activity	3	1	0.1	0.1006
51	GO:0004890	GABA-A receptor activity	3	1	0.1	0.1006
52	GO:0045503	dynein light chain binding	3	1	0.1	0.1006
53	GO:0017124	SH3 domain binding	3	1	0.1	0.1006
54	GO:0009982	pseudouridine synthase activity	3	1	0.1	0.1006
55	GO:0015421	ABC-type oligopeptide transporter activity	3	1	0.1	0.1006
56	GO:0004307	ethanolaminephosphotransferase activity	3	1	0.1	0.1006
57	GO:0005544	calcium-dependent phospholipid binding	16	2	0.56	0.1046
58	GO:0043130	ubiquitin binding	18	2	0.62	0.1276
59	GO:0017046	peptide hormone binding	6	2	0.21	0.1311
60	GO:1990817	poly(A) RNA polymerase activity	4	1	0.14	0.1319
61	GO:0015379	potassium:chloride symporter activity	4	1	0.14	0.1319
62	GO:0015232	heme transmembrane transporter activity	4	1	0.14	0.1319
63	GO:0032549	ribonucleoside binding	4	1	0.14	0.1319
64	GO:0042043	neurexin family protein binding	4	1	0.14	0.1319
65	GO:0045504	dynein heavy chain binding	4	1	0.14	0.1319
66	GO:0015106	bicarbonate transmembrane transporter activity	4	1	0.14	0.1319
67	GO:0004500	dopamine beta-monooxygenase activity	4	1	0.14	0.1319
68	GO:0001640	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity	4	1	0.14	0.1319
69	GO:0030276	clathrin binding	19	2	0.66	0.1395
70	GO:0042826	histone deacetylase binding	5	1	0.17	0.1620
71	GO:0015116	sulfate transmembrane transporter activity	5	1	0.17	0.1620
72	GO:0017108	5'-flap endonuclease activity	5	1	0.17	0.1620
73	GO:0005504	fatty acid binding	5	1	0.17	0.1620
74	GO:0005509	calcium ion binding	154	8	5.35	0.1650
75	GO:0005112	Notch binding	6	1	0.21	0.1912
76	GO:0008378	galactosyltransferase activity	6	1	0.21	0.1912
77	GO:0140664	ATP-dependent DNA damage sensor activity	6	1	0.21	0.1912
78	GO:0070679	inositol 1,4,5 trisphosphate binding	6	1	0.21	0.1912
79	GO:0030983	mismatched DNA binding	6	1	0.21	0.1912
80	GO:0001055	RNA polymerase II activity	6	1	0.21	0.1912
81	GO:0008308	voltage-gated monoatomic anion channel activity	6	1	0.21	0.1912
82	GO:0017116	single-stranded DNA helicase activity	6	1	0.21	0.1912
83	GO:0004089	carbonate dehydratase activity	6	1	0.21	0.1912
84	GO:0061631	ubiquitin conjugating enzyme activity	6	1	0.21	0.1912
85	GO:0004029	aldehyde dehydrogenase (NAD+) activity	6	1	0.21	0.1912
86	GO:0003714	transcription corepressor activity	25	2	0.87	0.2148
87	GO:0048018	receptor ligand activity	48	4	1.67	0.2173
88	GO:0015279	store-operated calcium channel activity	7	1	0.24	0.2193
