GO.ID	Description	p.Val
GO:0016012	sarcoglycan complex	0.0042
GO:0070382	exocytic vesicle	0.0071
GO:0008278	cohesin complex	0.0083
GO:0005685	U1 snRNP	0.0134
GO:0005741	mitochondrial outer membrane	0.0349
GO:0034993	meiotic nuclear membrane microtubule tethering complex	0.0382
GO:0002144	cytosolic tRNA wobble base thiouridylase complex	0.0382
GO:0005640	nuclear outer membrane	0.0382
GO:0098855	HCN channel complex	0.0382
GO:0035550	urease complex	0.0382
GO:0008290	F-actin capping protein complex	0.0382
GO:0031429	box H/ACA snoRNP complex	0.0382
GO:1990923	PET complex	0.0382
GO:0008385	IkappaB kinase complex	0.0382
GO:0032797	SMN complex	0.0382
GO:0043005	neuron projection	0.0424
GO:0071004	U2-type prespliceosome	0.0437
GO:0005882	intermediate filament	0.0749
GO:1990112	RQC complex	0.0749
GO:1902711	GABA-A receptor complex	0.0749
GO:0030056	hemidesmosome	0.0749
GO:0005875	microtubule associated complex	0.1091
GO:0043025	neuronal cell body	0.1099
GO:0000243	commitment complex	0.1103
GO:0005964	phosphorylase kinase complex	0.1103
GO:0032300	mismatch repair complex	0.1103
GO:0002189	ribose phosphate diphosphokinase complex	0.1103
GO:0005868	cytoplasmic dynein complex	0.1103
GO:0045202	synapse	0.1119
GO:0030425	dendrite	0.1356
GO:0030479	actin cortical patch	0.1443
GO:0031011	Ino80 complex	0.1443
GO:0005581	collagen trimer	0.1443
GO:0030667	secretory granule membrane	0.1443
GO:0030687	preribosome, large subunit precursor	0.1443
GO:0005874	microtubule	0.1755
GO:0070822	Sin3-type complex	0.1770
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0.1770
GO:0017119	Golgi transport complex	0.1770
GO:0016020	membrane	0.1796
GO:0032982	myosin filament	0.2085
GO:0000127	transcription factor TFIIIC complex	0.2085
GO:0005665	RNA polymerase II, core complex	0.2085
GO:0005730	nucleolus	0.2323
GO:0005794	Golgi apparatus	0.2389
GO:0005886	plasma membrane	0.2560
GO:0071011	precatalytic spliceosome	0.2679
GO:0000786	nucleosome	0.2959
GO:0098839	postsynaptic density membrane	0.2959
GO:0048786	presynaptic active zone	0.3228
GO:0005930	axoneme	0.3487
GO:0005811	lipid droplet	0.3487
GO:0005814	centriole	0.3487
GO:0016460	myosin II complex	0.3737
GO:0030992	intraciliary transport particle B	0.3737
GO:0072686	mitotic spindle	0.3977
GO:0000776	kinetochore	0.3977
GO:0030686	90S preribosome	0.3977
GO:0005783	endoplasmic reticulum	0.4114
GO:0000139	Golgi membrane	0.4556
GO:0000922	spindle pole	0.4643
GO:0005929	cilium	0.4690
GO:0005739	mitochondrion	0.4798
GO:0008021	synaptic vesicle	0.4849
GO:0005777	peroxisome	0.5236
GO:0034703	cation channel complex	0.5747
GO:0036064	ciliary basal body	0.5927
GO:0000151	ubiquitin ligase complex	0.5972
GO:0005829	cytosol	0.6015
GO:0005789	endoplasmic reticulum membrane	0.6609
GO:0005737	cytoplasm	0.6626
GO:0005615	extracellular space	0.6779
GO:0062023	collagen-containing extracellular matrix	0.6781
GO:0022625	cytosolic large ribosomal subunit	0.6904
GO:0019898	extrinsic component of membrane	0.7456
GO:0030424	axon	0.7649
GO:0005856	cytoskeleton	0.7735
GO:0005813	centrosome	0.8069
GO:0005576	extracellular region	0.8940
GO:0000785	chromatin	0.9098
GO:0031012	extracellular matrix	0.9223
GO:0005768	endosome	0.9361
GO:0005634	nucleus	0.9601
GO:0005654	nucleoplasm	0.9658
GO:0043231	intracellular membrane-bounded organelle	0.9730
GO:0008076	voltage-gated potassium channel complex	1.0000
GO:0034992	microtubule organizing center attachment site	1.0000
GO:0030532	small nuclear ribonucleoprotein complex	1.0000
GO:0099512	supramolecular fiber	1.0000
GO:0099513	polymeric cytoskeletal fiber	1.0000
GO:0032838	plasma membrane bounded cell projection cytoplasm	1.0000
GO:0043226	organelle	1.0000
GO:0032279	asymmetric synapse	1.0000
GO:0099023	vesicle tethering complex	1.0000
GO:0043227	membrane-bounded organelle	1.0000
GO:0031981	nuclear lumen	1.0000
GO:0043228	non-membrane-bounded organelle	1.0000
GO:0031982	vesicle	1.0000
GO:0043229	intracellular organelle	1.0000
GO:0031984	organelle subcompartment	1.0000
