GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006511	ubiquitin-dependent protein catabolic process	84	4	0.61	0.0006
2	GO:0000495	box H/ACA sno(s)RNA 3'-end processing	1	1	0.01	0.0073
3	GO:0006111	regulation of gluconeogenesis	1	1	0.01	0.0073
4	GO:1990481	mRNA pseudouridine synthesis	1	1	0.01	0.0073
5	GO:0046498	S-adenosylhomocysteine metabolic process	1	1	0.01	0.0073
6	GO:0031120	snRNA pseudouridine synthesis	1	1	0.01	0.0073
7	GO:2000234	positive regulation of rRNA processing	1	1	0.01	0.0073
8	GO:0051289	protein homotetramerization	2	1	0.01	0.0145
9	GO:1901052	sarcosine metabolic process	2	1	0.01	0.0145
10	GO:0034587	piRNA processing	2	1	0.01	0.0145
11	GO:0000395	mRNA 5'-splice site recognition	2	1	0.01	0.0145
12	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	1	0.01	0.0145
13	GO:0006047	UDP-N-acetylglucosamine metabolic process	2	1	0.01	0.0145
14	GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	2	1	0.01	0.0145
15	GO:0031118	rRNA pseudouridine synthesis	2	1	0.01	0.0145
16	GO:0070936	protein K48-linked ubiquitination	3	1	0.02	0.0217
17	GO:0000387	spliceosomal snRNP assembly	3	1	0.02	0.0217
18	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	3	1	0.02	0.0217
19	GO:0045943	positive regulation of transcription by RNA polymerase I	3	1	0.02	0.0217
20	GO:0051016	barbed-end actin filament capping	3	1	0.02	0.0217
21	GO:0006002	fructose 6-phosphate metabolic process	3	1	0.02	0.0217
22	GO:0008285	negative regulation of cell population proliferation	5	1	0.04	0.0360
23	GO:0006891	intra-Golgi vesicle-mediated transport	5	1	0.04	0.0360
24	GO:0046500	S-adenosylmethionine metabolic process	5	1	0.04	0.0360
25	GO:0055088	lipid homeostasis	6	1	0.04	0.0430
26	GO:0030968	endoplasmic reticulum unfolded protein response	6	1	0.04	0.0430
27	GO:0006013	mannose metabolic process	6	1	0.04	0.0430
28	GO:0006491	N-glycan processing	7	1	0.05	0.0500
29	GO:0006730	one-carbon metabolic process	8	1	0.06	0.0569
30	GO:0006517	protein deglycosylation	8	1	0.06	0.0569
31	GO:0006487	protein N-linked glycosylation	11	1	0.08	0.0775
32	GO:0048015	phosphatidylinositol-mediated signaling	11	1	0.08	0.0775
33	GO:0007030	Golgi organization	12	1	0.09	0.0842
34	GO:0046854	phosphatidylinositol phosphate biosynthetic process	12	1	0.09	0.0842
35	GO:0009156	ribonucleoside monophosphate biosynthetic process	12	1	0.09	0.0842
36	GO:0045930	negative regulation of mitotic cell cycle	14	1	0.1	0.0976
37	GO:0042273	ribosomal large subunit biogenesis	16	1	0.12	0.1107
38	GO:0007052	mitotic spindle organization	20	1	0.15	0.1365
39	GO:0098656	monoatomic anion transmembrane transport	20	1	0.15	0.1365
40	GO:0007015	actin filament organization	47	2	0.34	0.1451
41	GO:0006351	DNA-templated transcription	537	4	3.92	0.1535
42	GO:0000122	negative regulation of transcription by RNA polymerase II	31	1	0.23	0.2037
43	GO:0006164	purine nucleotide biosynthetic process	35	1	0.26	0.2269
44	GO:0006486	protein glycosylation	64	2	0.47	0.3146
45	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	60	1	0.44	0.3577
46	GO:0007186	G protein-coupled receptor signaling pathway	101	1	0.74	0.5272
47	GO:0015031	protein transport	116	1	0.85	0.5778
48	GO:0006468	protein phosphorylation	208	1	1.52	0.7910
49	GO:0055085	transmembrane transport	374	2	2.73	0.8182
50	GO:0006357	regulation of transcription by RNA polymerase II	373	2	2.72	0.9219
51	GO:0008610	lipid biosynthetic process	92	1	0.67	1.0000
52	GO:0019941	modification-dependent protein catabolic process	86	4	0.63	1.0000
53	GO:0007051	spindle organization	26	1	0.19	1.0000
54	GO:0034654	nucleobase-containing compound biosynthetic process	770	10	5.62	1.0000
55	GO:1902679	negative regulation of RNA biosynthetic process	60	1	0.44	1.0000
56	GO:0051252	regulation of RNA metabolic process	522	3	3.81	1.0000
57	GO:0030832	regulation of actin filament length	12	1	0.09	1.0000
58	GO:0051253	negative regulation of RNA metabolic process	65	1	0.47	1.0000
59	GO:0030833	regulation of actin filament polymerization	12	1	0.09	1.0000
60	GO:0051254	positive regulation of RNA metabolic process	104	1	0.76	1.0000
61	GO:0030834	regulation of actin filament depolymerization	3	1	0.02	1.0000
62	GO:1901135	carbohydrate derivative metabolic process	212	5	1.55	1.0000
63	GO:0030835	negative regulation of actin filament depolymerization	3	1	0.02	1.0000
64	GO:0050896	response to stimulus	762	3	5.56	1.0000
65	GO:0006996	organelle organization	411	4	3	1.0000
66	GO:0009116	nucleoside metabolic process	11	1	0.08	1.0000
67	GO:0007346	regulation of mitotic cell cycle	28	1	0.2	1.0000
68	GO:0009117	nucleotide metabolic process	66	1	0.48	1.0000
69	GO:1901137	carbohydrate derivative biosynthetic process	140	3	1.02	1.0000
70	GO:0030837	negative regulation of actin filament polymerization	5	1	0.04	1.0000
71	GO:0051258	protein polymerization	25	1	0.18	1.0000
72	GO:1902850	microtubule cytoskeleton organization involved in mitosis	25	1	0.18	1.0000
73	GO:0006360	transcription by RNA polymerase I	8	1	0.06	1.0000
74	GO:0009119	ribonucleoside metabolic process	7	1	0.05	1.0000
75	GO:0051259	protein complex oligomerization	13	1	0.09	1.0000
76	GO:0043242	negative regulation of protein-containing complex disassembly	8	1	0.06	1.0000
77	GO:0031333	negative regulation of protein-containing complex assembly	5	1	0.04	1.0000
78	GO:0043244	regulation of protein-containing complex disassembly	12	1	0.09	1.0000
79	GO:0006364	rRNA processing	33	3	0.24	1.0000
80	GO:0097435	supramolecular fiber organization	77	2	0.56	1.0000
81	GO:0006366	transcription by RNA polymerase II	400	2	2.92	1.0000
82	GO:0032787	monocarboxylic acid metabolic process	76	1	0.55	1.0000
83	GO:0016070	RNA metabolic process	760	9	5.54	1.0000
84	GO:0016071	mRNA metabolic process	108	3	0.79	1.0000
85	GO:0016072	rRNA metabolic process	38	3	0.28	1.0000
86	GO:0016073	snRNA metabolic process	11	1	0.08	1.0000
87	GO:0016074	sno(s)RNA metabolic process	2	1	0.01	1.0000
88	GO:0055086	nucleobase-containing small molecule metabolic process	101	3	0.74	1.0000
89	GO:0032774	RNA biosynthetic process	702	9	5.12	1.0000
90	GO:0050794	regulation of cellular process	1317	9	9.61	1.0000
91	GO:0070085	glycosylation	74	2	0.54	1.0000
