GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:1903818	positive regulation of voltage-gated potassium channel activity	16	8	1.89	0.00020
2	GO:0030431	sleep	16	8	1.89	0.00020
3	GO:0032222	regulation of synaptic transmission, cholinergic	17	8	2.01	0.00034
4	GO:0001708	cell fate specification	12	6	1.42	0.00132
5	GO:0032543	mitochondrial translation	38	11	4.5	0.00613
6	GO:0032259	methylation	62	13	7.33	0.01355
7	GO:0008543	fibroblast growth factor receptor signaling pathway	9	4	1.06	0.01369
8	GO:0032958	inositol phosphate biosynthetic process	5	3	0.59	0.01372
9	GO:0042325	regulation of phosphorylation	73	15	8.64	0.01380
10	GO:0019427	acetyl-CoA biosynthetic process from acetate	2	2	0.24	0.01398
11	GO:0006302	double-strand break repair	82	19	9.7	0.01774
12	GO:0072659	protein localization to plasma membrane	33	9	3.9	0.01861
13	GO:0030150	protein import into mitochondrial matrix	10	4	1.18	0.02271
14	GO:0009249	protein lipoylation	3	2	0.35	0.03864
15	GO:0009235	cobalamin metabolic process	3	2	0.35	0.03864
16	GO:0061099	negative regulation of protein tyrosine kinase activity	3	2	0.35	0.03864
17	GO:1990180	mitochondrial tRNA 3'-end processing	3	2	0.35	0.03864
18	GO:0006450	regulation of translational fidelity	3	2	0.35	0.03864
19	GO:0060236	regulation of mitotic spindle organization	3	2	0.35	0.03864
20	GO:0031119	tRNA pseudouridine synthesis	3	2	0.35	0.03864
21	GO:0045948	positive regulation of translational initiation	3	2	0.35	0.03864
22	GO:0036297	interstrand cross-link repair	12	4	1.42	0.04419
23	GO:0015031	protein transport	250	33	29.58	0.04640
24	GO:0031122	cytoplasmic microtubule organization	19	5	2.25	0.06488
25	GO:2000779	regulation of double-strand break repair	6	3	0.71	0.07112
26	GO:1905475	regulation of protein localization to membrane	7	3	0.83	0.07114
27	GO:0006564	L-serine biosynthetic process	4	2	0.47	0.07126
28	GO:0033499	galactose catabolic process via UDP-galactose	4	2	0.47	0.07126
29	GO:0001514	selenocysteine incorporation	4	2	0.47	0.07126
30	GO:0006370	7-methylguanosine mRNA capping	4	2	0.47	0.07126
31	GO:0006420	arginyl-tRNA aminoacylation	4	2	0.47	0.07126
32	GO:0042797	tRNA transcription by RNA polymerase III	4	2	0.47	0.07126
33	GO:0045893	positive regulation of DNA-templated transcription	130	14	15.38	0.07492
34	GO:0006506	GPI anchor biosynthetic process	20	5	2.37	0.07844
35	GO:0008284	positive regulation of cell population proliferation	9	3	1.06	0.08028
36	GO:0045454	cell redox homeostasis	9	3	1.06	0.08028
37	GO:0051301	cell division	33	4	3.9	0.08077
38	GO:0000278	mitotic cell cycle	158	25	18.69	0.08941
39	GO:0032509	endosome transport via multivesicular body sorting pathway	19	4	2.25	0.10952
40	GO:0000302	response to reactive oxygen species	11	3	1.3	0.10954
41	GO:0007023	post-chaperonin tubulin folding pathway	5	2	0.59	0.10961
42	GO:0006695	cholesterol biosynthetic process	5	2	0.59	0.10961
43	GO:0034394	protein localization to cell surface	5	2	0.59	0.10961
44	GO:0018095	protein polyglutamylation	5	2	0.59	0.10961
45	GO:0007190	activation of adenylate cyclase activity	5	2	0.59	0.10961
46	GO:0016255	attachment of GPI anchor to protein	5	2	0.59	0.10961
47	GO:0032147	activation of protein kinase activity	5	2	0.59	0.10961
48	GO:0006996	organelle organization	761	89	90.03	0.11033
49	GO:0043066	negative regulation of apoptotic process	27	5	3.19	0.11151
50	GO:0001933	negative regulation of protein phosphorylation	18	5	2.13	0.11798
51	GO:0006012	galactose metabolic process	5	3	0.59	0.11805
52	GO:0009725	response to hormone	27	5	3.19	0.11815
53	GO:0070920	regulation of regulatory ncRNA processing	2	2	0.24	0.11816
54	GO:0071569	protein ufmylation	3	2	0.35	0.11818
55	GO:0043122	regulation of canonical NF-kappaB signal transduction	4	2	0.47	0.11820
56	GO:0060537	muscle tissue development	5	2	0.59	0.11822
57	GO:0031023	microtubule organizing center organization	22	4	2.6	0.11822
58	GO:0016125	sterol metabolic process	14	3	1.66	0.11823
59	GO:0098969	neurotransmitter receptor transport to postsynaptic membrane	7	2	0.83	0.11825
60	GO:0009972	cytidine deamination	1	1	0.12	0.11830
61	GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	1	1	0.12	0.11830
62	GO:0009234	menaquinone biosynthetic process	1	1	0.12	0.11830
63	GO:0042371	vitamin K biosynthetic process	1	1	0.12	0.11830
64	GO:0000212	meiotic spindle organization	1	1	0.12	0.11830
65	GO:1902979	mitotic DNA replication termination	1	1	0.12	0.11830
66	GO:0046295	glycolate biosynthetic process	1	1	0.12	0.11830
67	GO:0048854	brain morphogenesis	1	1	0.12	0.11830
68	GO:0097484	dendrite extension	1	1	0.12	0.11830
69	GO:0140570	extraction of mislocalized protein from mitochondrial outer membrane	1	1	0.12	0.11830
70	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	1	1	0.12	0.11830
71	GO:0032091	negative regulation of protein binding	1	1	0.12	0.11830
72	GO:0015693	magnesium ion transport	1	1	0.12	0.11830
73	GO:0010165	response to X-ray	1	1	0.12	0.11830
74	GO:0030200	heparan sulfate proteoglycan catabolic process	1	1	0.12	0.11830
75	GO:1900073	regulation of neuromuscular synaptic transmission	1	1	0.12	0.11830
76	GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	1	1	0.12	0.11830
77	GO:0006363	termination of RNA polymerase I transcription	1	1	0.12	0.11830
78	GO:0044209	AMP salvage	1	1	0.12	0.11830
79	GO:1903189	glyoxal metabolic process	1	1	0.12	0.11830
80	GO:0006386	termination of RNA polymerase III transcription	1	1	0.12	0.11830
81	GO:0071171	site-specific DNA replication termination at RTS1 barrier	1	1	0.12	0.11830
82	GO:0090160	Golgi to lysosome transport	1	1	0.12	0.11830
83	GO:0001680	tRNA 3'-terminal CCA addition	1	1	0.12	0.11830
84	GO:0006679	glucosylceramide biosynthetic process	1	1	0.12	0.11830
85	GO:0048512	circadian behavior	1	1	0.12	0.11830
86	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	1	1	0.12	0.11830
87	GO:0070682	proteasome regulatory particle assembly	1	1	0.12	0.11830
88	GO:0036316	SREBP-SCAP complex retention in endoplasmic reticulum	1	1	0.12	0.11830
89	GO:2000042	negative regulation of double-strand break repair via homologous recombination	1	1	0.12	0.11830
90	GO:0140469	GCN2-mediated signaling	1	1	0.12	0.11830
91	GO:0005986	sucrose biosynthetic process	1	1	0.12	0.11830
92	GO:0045666	positive regulation of neuron differentiation	1	1	0.12	0.11830
93	GO:0045669	positive regulation of osteoblast differentiation	1	1	0.12	0.11830
94	GO:0071951	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	1	1	0.12	0.11830
95	GO:0008090	retrograde axonal transport	1	1	0.12	0.11830
96	GO:0090222	centrosome-templated microtubule nucleation	1	1	0.12	0.11830
97	GO:0022417	protein maturation by protein folding	1	1	0.12	0.11830
98	GO:0062026	negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process	1	1	0.12	0.11830
99	GO:0018160	peptidyl-pyrromethane cofactor linkage	1	1	0.12	0.11830
100	GO:0010042	response to manganese ion	1	1	0.12	0.11830
101	GO:0006168	adenine salvage	1	1	0.12	0.11830
102	GO:1905775	negative regulation of DNA helicase activity	1	1	0.12	0.11830
103	GO:0097036	regulation of plasma membrane sterol distribution	1	1	0.12	0.11830
104	GO:0019878	lysine biosynthetic process via aminoadipic acid	1	1	0.12	0.11830
105	GO:0006106	fumarate metabolic process	1	1	0.12	0.11830
106	GO:0034164	negative regulation of toll-like receptor 9 signaling pathway	1	1	0.12	0.11830
107	GO:0110051	metabolite repair	1	1	0.12	0.11830
108	GO:0034142	toll-like receptor 4 signaling pathway	1	1	0.12	0.11830
109	GO:0019805	quinolinate biosynthetic process	1	1	0.12	0.11830
110	GO:0006253	dCTP catabolic process	1	1	0.12	0.11830
111	GO:0048172	regulation of short-term neuronal synaptic plasticity	1	1	0.12	0.11830
112	GO:0000301	retrograde transport, vesicle recycling within Golgi	1	1	0.12	0.11830
113	GO:0006288	base-excision repair, DNA ligation	1	1	0.12	0.11830
114	GO:0016480	negative regulation of transcription by RNA polymerase III	1	1	0.12	0.11830
115	GO:0036261	7-methylguanosine cap hypermethylation	1	1	0.12	0.11830
116	GO:1904983	glycine import into mitochondrion	1	1	0.12	0.11830
117	GO:0015798	myo-inositol transport	1	1	0.12	0.11830
118	GO:1990810	microtubule anchoring at mitotic spindle pole body	1	1	0.12	0.11830
119	GO:0031954	positive regulation of protein autophosphorylation	1	1	0.12	0.11830
120	GO:0045995	regulation of embryonic development	1	1	0.12	0.11830
121	GO:0010571	positive regulation of nuclear cell cycle DNA replication	1	1	0.12	0.11830
122	GO:0046491	L-methylmalonyl-CoA metabolic process	1	1	0.12	0.11830
123	GO:2000632	negative regulation of pre-miRNA processing	1	1	0.12	0.11830
124	GO:1900407	regulation of cellular response to oxidative stress	1	1	0.12	0.11830
125	GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec	1	1	0.12	0.11830
126	GO:0071539	protein localization to centrosome	1	1	0.12	0.11830
127	GO:0034088	maintenance of mitotic sister chromatid cohesion	1	1	0.12	0.11830
128	GO:0032194	ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate	1	1	0.12	0.11830
129	GO:0008344	adult locomotory behavior	1	1	0.12	0.11830
130	GO:0048011	neurotrophin TRK receptor signaling pathway	1	1	0.12	0.11830
131	GO:0045724	positive regulation of cilium assembly	1	1	0.12	0.11830
