GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005762	mitochondrial large ribosomal subunit	32	11	3.82	0.00078
2	GO:0030915	Smc5-Smc6 complex	5	3	0.6	0.01404
3	GO:0005795	Golgi stack	20	5	2.39	0.02557
4	GO:0005739	mitochondrion	530	84	63.21	0.03242
5	GO:0140284	endoplasmic reticulum-endosome membrane contact site	3	2	0.36	0.03924
6	GO:0005666	RNA polymerase III complex	17	5	2.03	0.04335
7	GO:0005763	mitochondrial small ribosomal subunit	18	5	2.15	0.05434
8	GO:0070531	BRCA1-A complex	8	3	0.95	0.05974
9	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	6	3	0.72	0.07219
10	GO:0089701	U2AF complex	4	2	0.48	0.07233
11	GO:0005874	microtubule	58	14	6.92	0.07906
12	GO:0000785	chromatin	152	26	18.13	0.07916
13	GO:0031519	PcG protein complex	26	6	3.1	0.08163
14	GO:0005737	cytoplasm	2999	380	357.69	0.08987
15	GO:0005819	spindle	47	9	5.61	0.10644
16	GO:0070552	BRISC complex	5	2	0.6	0.11119
17	GO:0042765	GPI-anchor transamidase complex	5	2	0.6	0.11119
18	GO:0044545	NSL complex	5	2	0.6	0.11119
19	GO:0043240	Fanconi anaemia nuclear complex	5	2	0.6	0.11119
20	GO:0005786	signal recognition particle, endoplasmic reticulum targeting	5	2	0.6	0.11119
21	GO:0031902	late endosome membrane	16	4	1.91	0.11398
22	GO:0000781	chromosome, telomeric region	3	2	0.36	0.11915
23	GO:0016605	PML body	1	1	0.12	0.11927
24	GO:0044615	nuclear pore nuclear basket	1	1	0.12	0.11927
25	GO:0035517	PR-DUB complex	1	1	0.12	0.11927
26	GO:0031213	RSF complex	1	1	0.12	0.11927
27	GO:0031431	Dbf4-dependent protein kinase complex	1	1	0.12	0.11927
28	GO:0032541	cortical endoplasmic reticulum	1	1	0.12	0.11927
29	GO:0070187	shelterin complex	1	1	0.12	0.11927
30	GO:0031390	Ctf18 RFC-like complex	1	1	0.12	0.11927
31	GO:0032937	SREBP-SCAP-Insig complex	1	1	0.12	0.11927
32	GO:0070578	RISC-loading complex	1	1	0.12	0.11927
33	GO:1990498	mitotic spindle microtubule	1	1	0.12	0.11927
34	GO:1990070	TRAPPI protein complex	1	1	0.12	0.11927
35	GO:1990071	TRAPPII protein complex	1	1	0.12	0.11927
36	GO:0071546	pi-body	1	1	0.12	0.11927
37	GO:0070421	DNA ligase III-XRCC1 complex	1	1	0.12	0.11927
38	GO:1990811	MWP complex	1	1	0.12	0.11927
39	GO:0061177	type Is terminal bouton	1	1	0.12	0.11927
40	GO:0035371	microtubule plus-end	11	3	1.31	0.13461
41	GO:0016324	apical plasma membrane	17	4	2.03	0.13571
42	GO:0030008	TRAPP complex	9	3	1.07	0.15376
43	GO:0044613	nuclear pore central transport channel	6	2	0.72	0.15398
44	GO:0008250	oligosaccharyltransferase complex	6	2	0.72	0.15398
45	GO:0000812	Swr1 complex	6	2	0.72	0.15398
46	GO:0000139	Golgi membrane	67	11	7.99	0.16904
47	GO:0005794	Golgi apparatus	250	40	29.82	0.17570
48	GO:0012507	ER to Golgi transport vesicle membrane	13	3	1.55	0.19582
49	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	13	3	1.55	0.19582
