GO.ID	Description	p.Val
GO:0005762	mitochondrial large ribosomal subunit	0.00078
GO:0030915	Smc5-Smc6 complex	0.01404
GO:0005795	Golgi stack	0.02557
GO:0005739	mitochondrion	0.03242
GO:0140284	endoplasmic reticulum-endosome membrane contact site	0.03924
GO:0005666	RNA polymerase III complex	0.04335
GO:0005763	mitochondrial small ribosomal subunit	0.05434
GO:0070531	BRCA1-A complex	0.05974
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	0.07219
GO:0089701	U2AF complex	0.07233
GO:0005874	microtubule	0.07906
GO:0000785	chromatin	0.07916
GO:0031519	PcG protein complex	0.08163
GO:0005737	cytoplasm	0.08987
GO:0005819	spindle	0.10644
GO:0070552	BRISC complex	0.11119
GO:0042765	GPI-anchor transamidase complex	0.11119
GO:0044545	NSL complex	0.11119
GO:0043240	Fanconi anaemia nuclear complex	0.11119
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	0.11119
GO:0031902	late endosome membrane	0.11398
GO:0000781	chromosome, telomeric region	0.11915
GO:0016605	PML body	0.11927
GO:0044615	nuclear pore nuclear basket	0.11927
GO:0035517	PR-DUB complex	0.11927
GO:0031213	RSF complex	0.11927
GO:0031431	Dbf4-dependent protein kinase complex	0.11927
GO:0032541	cortical endoplasmic reticulum	0.11927
GO:0070187	shelterin complex	0.11927
GO:0031390	Ctf18 RFC-like complex	0.11927
GO:0032937	SREBP-SCAP-Insig complex	0.11927
GO:0070578	RISC-loading complex	0.11927
GO:1990498	mitotic spindle microtubule	0.11927
GO:1990070	TRAPPI protein complex	0.11927
GO:1990071	TRAPPII protein complex	0.11927
GO:0071546	pi-body	0.11927
GO:0070421	DNA ligase III-XRCC1 complex	0.11927
GO:1990811	MWP complex	0.11927
GO:0061177	type Is terminal bouton	0.11927
GO:0035371	microtubule plus-end	0.13461
GO:0016324	apical plasma membrane	0.13571
GO:0030008	TRAPP complex	0.15376
GO:0044613	nuclear pore central transport channel	0.15398
GO:0008250	oligosaccharyltransferase complex	0.15398
GO:0000812	Swr1 complex	0.15398
GO:0000139	Golgi membrane	0.16904
GO:0005794	Golgi apparatus	0.17570
GO:0012507	ER to Golgi transport vesicle membrane	0.19582
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	0.19582
GO:0035869	ciliary transition zone	0.19900
GO:0042555	MCM complex	0.19922
GO:0000930	gamma-tubulin complex	0.19922
GO:0030133	transport vesicle	0.22377
GO:0030677	ribonuclease P complex	0.22422
GO:0043679	axon terminus	0.22428
GO:0031466	Cul5-RING ubiquitin ligase complex	0.22433
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	0.22433
GO:0030870	Mre11 complex	0.22433
GO:0034066	Ric1-Rgp1 guanyl-nucleotide exchange factor complex	0.22433
GO:0031416	NatB complex	0.22433
GO:0001405	PAM complex, Tim23 associated import motor	0.22433
GO:0048476	Holliday junction resolvase complex	0.22433
GO:0070761	pre-snoRNP complex	0.22433
GO:0043291	RAVE complex	0.22433
GO:0005882	intermediate filament	0.22433
GO:1990745	EARP complex	0.22433
GO:0016513	core-binding factor complex	0.22433
GO:0005674	transcription factor TFIIF complex	0.22433
GO:0071564	npBAF complex	0.22433
GO:0033557	Slx1-Slx4 complex	0.22433
GO:0031313	extrinsic component of endosome membrane	0.22433
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	0.22433
GO:0042720	mitochondrial inner membrane peptidase complex	0.22433
GO:0097038	perinuclear endoplasmic reticulum	0.22433
GO:1990423	RZZ complex	0.22433
GO:0030056	hemidesmosome	0.22433
GO:0030692	Noc4p-Nop14p complex	0.22433
GO:0005960	glycine cleavage complex	0.22433
GO:0017054	negative cofactor 2 complex	0.22433
GO:0000242	pericentriolar material	0.22433
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	0.22433
GO:0005634	nucleus	0.22466
GO:0071004	U2-type prespliceosome	0.22857
GO:0005876	spindle microtubule	0.24528
GO:0016459	myosin complex	0.24561
GO:0000815	ESCRT III complex	0.24572
GO:0005868	cytoplasmic dynein complex	0.24572
GO:0016514	SWI/SNF complex	0.24572
GO:0005604	basement membrane	0.24572
GO:0030134	COPII-coated ER to Golgi transport vesicle	0.26124
GO:0036064	ciliary basal body	0.28355
GO:0030688	preribosome, small subunit precursor	0.29209
GO:0031011	Ino80 complex	0.29252
GO:0005834	heterotrimeric G-protein complex	0.29252
GO:0071014	post-mRNA release spliceosomal complex	0.29252
GO:0005730	nucleolus	0.29530
