GO.ID	Description	p.Val
GO:0003735	structural constituent of ribosome	0.012
GO:0008440	inositol-1,4,5-trisphosphate 3-kinase activity	0.012
GO:0036424	L-phosphoserine phosphatase activity	0.012
GO:0003987	acetate-CoA ligase activity	0.012
GO:0003978	UDP-glucose 4-epimerase activity	0.012
GO:0005104	fibroblast growth factor receptor binding	0.021
GO:0031491	nucleosome binding	0.025
GO:0015035	protein-disulfide reductase activity	0.034
GO:0016208	AMP binding	0.034
GO:0003691	double-stranded telomeric DNA binding	0.034
GO:0050262	ribosylnicotinamide kinase activity	0.034
GO:0043495	protein-membrane adaptor activity	0.034
GO:0051765	inositol tetrakisphosphate kinase activity	0.034
GO:0008083	growth factor activity	0.035
GO:0005200	structural constituent of cytoskeleton	0.047
GO:0031418	L-ascorbic acid binding	0.050
GO:0051010	microtubule plus-end binding	0.050
GO:0000049	tRNA binding	0.057
GO:0070006	metalloaminopeptidase activity	0.061
GO:0030295	protein kinase activator activity	0.063
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	0.063
GO:0005347	ATP transmembrane transporter activity	0.063
GO:0008821	crossover junction DNA endonuclease activity	0.063
GO:0004814	arginine-tRNA ligase activity	0.063
GO:0008168	methyltransferase activity	0.067
GO:0042393	histone binding	0.069
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	0.082
GO:0000993	RNA polymerase II complex binding	0.090
GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	0.098
GO:0030628	pre-mRNA 3'-splice site binding	0.098
GO:0004865	protein serine/threonine phosphatase inhibitor activity	0.098
GO:0015020	glucuronosyltransferase activity	0.098
GO:0008312	7S RNA binding	0.098
GO:0000774	adenyl-nucleotide exchange factor activity	0.098
GO:0008494	translation activator activity	0.098
GO:0070851	growth factor receptor binding	0.110
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	0.111
GO:0016653	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	0.111
GO:0016972	thiol oxidase activity	0.111
GO:0051920	peroxiredoxin activity	0.111
GO:0032542	sulfiredoxin activity	0.111
GO:0004363	glutathione synthase activity	0.111
GO:0004502	kynurenine 3-monooxygenase activity	0.111
GO:0005366	myo-inositol:proton symporter activity	0.111
GO:0070976	TIR domain binding	0.111
GO:0008897	holo-[acyl-carrier-protein] synthase activity	0.111
GO:0032216	glucosaminyl-phosphatidylinositol O-acyltransferase activity	0.111
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	0.111
GO:0003999	adenine phosphoribosyltransferase activity	0.111
GO:0015187	glycine transmembrane transporter activity	0.111
GO:0004333	fumarate hydratase activity	0.111
GO:0004335	galactokinase activity	0.111
GO:0033787	cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity	0.111
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	0.111
GO:1990444	F-box domain binding	0.111
GO:0004309	exopolyphosphatase activity	0.111
GO:0003958	NADPH-hemoprotein reductase activity	0.111
GO:0004610	phosphoacetylglucosamine mutase activity	0.111
GO:0004493	methylmalonyl-CoA epimerase activity	0.111
GO:0033735	aspartate dehydrogenase activity	0.111
GO:0004496	mevalonate kinase activity	0.111
GO:0003923	GPI-anchor transamidase activity	0.111
GO:0016250	N-sulfoglucosamine sulfohydrolase activity	0.111
GO:0008120	ceramide glucosyltransferase activity	0.111
GO:0080122	AMP transmembrane transporter activity	0.111
GO:0008113	peptide-methionine (S)-S-oxide reductase activity	0.111
GO:0047938	glucose-6-phosphate 1-epimerase activity	0.111
GO:0106370	protein-L-histidine N-pros-methyltransferase activity	0.111
GO:1990883	rRNA cytidine N-acetyltransferase activity	0.111
GO:0004747	ribokinase activity	0.111
GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	0.111
GO:0004484	mRNA guanylyltransferase activity	0.111
GO:0019778	Atg12 activating enzyme activity	0.111
GO:0019779	Atg8 activating enzyme activity	0.111
GO:0030621	U4 snRNA binding	0.111
GO:0004479	methionyl-tRNA formyltransferase activity	0.111
GO:0106050	tRNA 2'-O-methyltransferase activity	0.111
GO:0046975	histone H3K36 methyltransferase activity	0.111
GO:0000994	RNA polymerase III core binding	0.111
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	0.111
GO:0004418	hydroxymethylbilane synthase activity	0.111
GO:0043295	glutathione binding	0.111
GO:0002055	adenine binding	0.111
GO:0000215	tRNA 2'-phosphotransferase activity	0.111
GO:0098621	O-phosphoseryl-tRNA(Sec) selenium transferase activity	0.111
GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	0.111
GO:0050104	L-gulonate 3-dehydrogenase activity	0.111
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity	0.111
GO:0141039	phosphatidylinositol 3-kinase inhibitor activity	0.111
GO:0061657	UFM1 conjugating enzyme activity	0.111
GO:0061685	diphthine methylesterase activity	0.111
GO:0015095	magnesium ion transmembrane transporter activity	0.111
GO:0016768	spermine synthase activity	0.111
GO:0071164	RNA cap trimethylguanosine synthase activity	0.111
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	0.111
GO:0015086	cadmium ion transmembrane transporter activity	0.111
GO:0044610	FMN transmembrane transporter activity	0.111
GO:0035299	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	0.111
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity	0.111
GO:0004126	cytidine deaminase activity	0.111
GO:0051500	D-tyrosyl-tRNA(Tyr) deacylase activity	0.111
GO:0031409	pigment binding	0.111
GO:0047840	dCTP diphosphatase activity	0.111
GO:0052906	tRNA (guanine(37)-N1)-methyltransferase activity	0.111
GO:0008307	structural constituent of muscle	0.111
GO:0001734	mRNA m(6)A methyltransferase activity	0.111
GO:0035368	selenocysteine insertion sequence binding	0.111
GO:0071566	UFM1 activating enzyme activity	0.111
GO:0019135	deoxyhypusine monooxygenase activity	0.111
GO:0140818	mRNA 5'-triphosphate monophosphatase activity	0.111
GO:0035237	corazonin receptor activity	0.111
GO:0071558	histone H3K27me2/H3K27me3 demethylase activity	0.111
GO:0035325	Toll-like receptor binding	0.111
GO:0070260	5'-tyrosyl-DNA phosphodiesterase activity	0.111
GO:0070513	death domain binding	0.111
GO:0017118	lipoyltransferase activity	0.111
GO:0000403	Y-form DNA binding	0.111
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	0.111
GO:0051750	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity	0.111
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	0.111
GO:0002151	G-quadruplex RNA binding	0.111
GO:0048257	3'-flap endonuclease activity	0.111
GO:0019208	phosphatase regulator activity	0.111
GO:0017171	serine hydrolase activity	0.111
GO:0004860	protein kinase inhibitor activity	0.114
GO:0009982	pseudouridine synthase activity	0.114
GO:0008528	G protein-coupled peptide receptor activity	0.131
GO:0004842	ubiquitin-protein transferase activity	0.135
GO:0032451	demethylase activity	0.136
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	0.136
GO:0009378	four-way junction helicase activity	0.136
GO:0043138	3'-5' DNA helicase activity	0.140
GO:0008237	metallopeptidase activity	0.168
GO:0005484	SNAP receptor activity	0.173
GO:0000976	transcription cis-regulatory region binding	0.177
GO:0031683	G-protein beta/gamma-subunit complex binding	0.177
GO:0015279	store-operated calcium channel activity	0.177
GO:0003676	nucleic acid binding	0.179
GO:0003677	DNA binding	0.193
GO:0019789	SUMO transferase activity	0.209
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	0.209
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	0.209
GO:0051721	protein phosphatase 2A binding	0.209
GO:0051724	NAD transmembrane transporter activity	0.209
GO:0033204	ribonuclease P RNA binding	0.209
GO:0010945	coenzyme A diphosphatase activity	0.209
GO:0019531	oxalate transmembrane transporter activity	0.209
GO:0046592	polyamine oxidase activity	0.209
GO:0005384	manganese ion transmembrane transporter activity	0.209
GO:0051424	corticotropin-releasing hormone binding	0.209
GO:0015183	L-aspartate transmembrane transporter activity	0.209
GO:0004084	branched-chain-amino-acid transaminase activity	0.209
GO:0004656	procollagen-proline 4-dioxygenase activity	0.209
GO:0004797	thymidine kinase activity	0.209
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	0.209
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	0.209
GO:0048039	ubiquinone binding	0.209
GO:0008184	glycogen phosphorylase activity	0.209
GO:0005047	signal recognition particle binding	0.209
GO:0008176	tRNA (guanine(46)-N7)-methyltransferase activity	0.209
GO:0008177	succinate dehydrogenase (quinone) activity	0.209
GO:0019781	NEDD8 activating enzyme activity	0.209
GO:0035197	siRNA binding	0.209
GO:0019776	Atg8-family ligase activity	0.209
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity	0.209
GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	0.209
GO:0004708	MAP kinase kinase activity	0.209
GO:0016971	flavin-dependent sulfhydryl oxidase activity	0.209
GO:0061928	glutathione specific gamma-glutamylcyclotransferase activity	0.209
GO:0015228	coenzyme A transmembrane transporter activity	0.209
GO:0008519	ammonium channel activity	0.209
GO:0015230	FAD transmembrane transporter activity	0.209
GO:0016309	1-phosphatidylinositol-5-phosphate 4-kinase activity	0.209
GO:0031489	myosin V binding	0.209
GO:0033149	FFAT motif binding	0.209
GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	0.209
GO:1990269	RNA polymerase II C-terminal domain phosphoserine binding	0.209
GO:0016422	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	0.209
GO:0004140	dephospho-CoA kinase activity	0.209
GO:0043027	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	0.209
GO:0008650	rRNA (uridine-2'-O-)-methyltransferase activity	0.209
GO:0004594	pantothenate kinase activity	0.209
GO:0034353	mRNA 5'-diphosphatase activity	0.209
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	0.209
GO:0008613	diuretic hormone activity	0.209
GO:0031849	olfactory receptor binding	0.209
GO:0004557	alpha-galactosidase activity	0.209
GO:0042781	3'-tRNA processing endoribonuclease activity	0.209
GO:0051087	protein-folding chaperone binding	0.213
GO:0016779	nucleotidyltransferase activity	0.219
GO:0000146	microfilament motor activity	0.220
GO:0051119	sugar transmembrane transporter activity	0.220
GO:0045504	dynein heavy chain binding	0.220
GO:0004181	metallocarboxypeptidase activity	0.220
GO:0017116	single-stranded DNA helicase activity	0.220
GO:0046982	protein heterodimerization activity	0.234
GO:0001664	G protein-coupled receptor binding	0.258
GO:0003725	double-stranded RNA binding	0.258
GO:0005085	guanyl-nucleotide exchange factor activity	0.258
GO:0019901	protein kinase binding	0.259
GO:0050660	flavin adenine dinucleotide binding	0.260
GO:0042162	telomeric DNA binding	0.262
GO:0008408	3'-5' exonuclease activity	0.262
GO:0005525	GTP binding	0.268
GO:0004725	protein tyrosine phosphatase activity	0.277
GO:0005267	potassium channel activity	0.297
GO:0008449	N-acetylglucosamine-6-sulfatase activity	0.297
GO:0004356	glutamine synthetase activity	0.297
GO:0050479	glyceryl-ether monooxygenase activity	0.297
GO:0005381	iron ion transmembrane transporter activity	0.297
GO:0004692	cGMP-dependent protein kinase activity	0.297
GO:0120015	sterol transfer activity	0.297
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	0.297
GO:0003950	NAD+-protein poly-ADP-ribosyltransferase activity	0.297
GO:0004767	sphingomyelin phosphodiesterase activity	0.297
GO:0017095	heparan sulfate 6-O-sulfotransferase activity	0.297
GO:0008187	poly-pyrimidine tract binding	0.297
GO:0070004	cysteine-type exopeptidase activity	0.297
GO:0003910	DNA ligase (ATP) activity	0.297
GO:0045295	gamma-catenin binding	0.297
GO:0030942	endoplasmic reticulum signal peptide binding	0.297
GO:0019786	protein-phosphatidylethanolamide deconjugating activity	0.297
GO:0048487	beta-tubulin binding	0.297
GO:0016500	protein-hormone receptor activity	0.297
GO:0032454	histone H3K9 demethylase activity	0.297
GO:0097363	protein O-acetylglucosaminyltransferase activity	0.297
GO:0030619	U1 snRNA binding	0.297
GO:0015280	ligand-gated sodium channel activity	0.297
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	0.297
GO:0015217	ADP transmembrane transporter activity	0.297
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	0.297
GO:0070840	dynein complex binding	0.297
GO:0004828	serine-tRNA ligase activity	0.297
GO:0004185	serine-type carboxypeptidase activity	0.297
GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	0.297
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.297
GO:0004142	diacylglycerol cholinephosphotransferase activity	0.297
GO:0005113	patched binding	0.297
GO:0043014	alpha-tubulin binding	0.297
GO:0016435	rRNA (guanine) methyltransferase activity	0.297
GO:0003839	gamma-glutamylcyclotransferase activity	0.297
GO:0035312	5'-3' DNA exonuclease activity	0.297
GO:1902936	phosphatidylinositol bisphosphate binding	0.298
GO:0061630	ubiquitin protein ligase activity	0.306
GO:0008198	ferrous iron binding	0.306
GO:0004559	alpha-mannosidase activity	0.306
GO:0003924	GTPase activity	0.319
GO:0000287	magnesium ion binding	0.320
GO:0003712	transcription coregulator activity	0.323
GO:0008146	sulfotransferase activity	0.324
GO:0008375	acetylglucosaminyltransferase activity	0.348
GO:0031593	polyubiquitin modification-dependent protein binding	0.349
GO:0004364	glutathione transferase activity	0.349
GO:0031369	translation initiation factor binding	0.349
GO:0003746	translation elongation factor activity	0.349
GO:0001671	ATPase activator activity	0.349
GO:0003824	catalytic activity	0.357
GO:0019001	guanyl nucleotide binding	0.374
GO:0016846	carbon-sulfur lyase activity	0.375
GO:0005324	long-chain fatty acid transmembrane transporter activity	0.375
GO:0008199	ferric iron binding	0.375
GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	0.375
GO:0070034	telomerase RNA binding	0.375
GO:0003968	RNA-dependent RNA polymerase activity	0.375
GO:0004307	ethanolaminephosphotransferase activity	0.375
GO:0003796	lysozyme activity	0.375
GO:0017070	U6 snRNA binding	0.375
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	0.375
GO:0042805	actinin binding	0.375
GO:0061665	SUMO ligase activity	0.375
GO:0019706	protein-cysteine S-palmitoyltransferase activity	0.375
GO:0008253	5'-nucleotidase activity	0.375
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	0.375
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	0.375
GO:0001046	core promoter sequence-specific DNA binding	0.375
GO:0008379	thioredoxin peroxidase activity	0.375
GO:0005154	epidermal growth factor receptor binding	0.375
GO:0035250	UDP-galactosyltransferase activity	0.375
GO:0008301	DNA binding, bending	0.375
GO:0080019	alcohol-forming very long-chain fatty acyl-CoA reductase activity	0.375
GO:0005251	delayed rectifier potassium channel activity	0.375
GO:0071949	FAD binding	0.385
GO:0000175	3'-5'-RNA exonuclease activity	0.390
GO:0022841	potassium ion leak channel activity	0.391
GO:0016787	hydrolase activity	0.411
GO:0003684	damaged DNA binding	0.416
GO:0005125	cytokine activity	0.416
GO:0008017	microtubule binding	0.431
GO:0004499	N,N-dimethylaniline monooxygenase activity	0.431
GO:0017056	structural constituent of nuclear pore	0.431
GO:0015271	outward rectifier potassium channel activity	0.431
GO:0010181	FMN binding	0.431
GO:0004190	aspartic-type endopeptidase activity	0.431
GO:0030145	manganese ion binding	0.431
GO:0015293	symporter activity	0.433
GO:0001099	basal RNA polymerase II transcription machinery binding	0.443
GO:0008378	galactosyltransferase activity	0.444
GO:0042562	hormone binding	0.444
GO:2001069	glycogen binding	0.444
GO:0051731	polynucleotide 5'-hydroxyl-kinase activity	0.444
