GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005721	pericentric heterochromatin	3	3	0.41	0.0026
2	GO:0005886	plasma membrane	433	82	59.27	0.0084
3	GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex	4	3	0.55	0.0092
4	GO:0044666	MLL3/4 complex	2	2	0.27	0.0187
5	GO:0005635	nuclear envelope	39	8	5.34	0.0206
6	GO:0008180	COP9 signalosome	9	4	1.23	0.0248
7	GO:0005921	gap junction	10	4	1.37	0.0370
8	GO:0005940	septin ring	6	3	0.82	0.0371
9	GO:0031105	septin complex	6	3	0.82	0.0371
10	GO:0005576	extracellular region	213	37	29.16	0.0428
11	GO:0015630	microtubule cytoskeleton	150	26	20.53	0.0430
12	GO:0070822	Sin3-type complex	3	2	0.41	0.0510
13	GO:0048788	cytoskeleton of presynaptic active zone	3	2	0.41	0.0510
14	GO:0032783	super elongation complex	3	2	0.41	0.0510
15	GO:0030992	intraciliary transport particle B	7	3	0.96	0.0584
16	GO:0070847	core mediator complex	7	3	0.96	0.0584
17	GO:0005891	voltage-gated calcium channel complex	7	3	0.96	0.0584
18	GO:0016592	mediator complex	22	6	3.01	0.0695
19	GO:0005925	focal adhesion	8	3	1.1	0.0842
20	GO:0005680	anaphase-promoting complex	8	3	1.1	0.0842
21	GO:0030672	synaptic vesicle membrane	8	3	1.1	0.0842
22	GO:0005840	ribosome	107	18	14.65	0.0880
23	GO:0046540	U4/U6 x U5 tri-snRNP complex	13	4	1.78	0.0903
24	GO:0070652	HAUS complex	4	2	0.55	0.0929
25	GO:0005658	alpha DNA polymerase:primase complex	4	2	0.55	0.0929
26	GO:0032021	NELF complex	4	2	0.55	0.0929
27	GO:0005869	dynactin complex	4	2	0.55	0.0929
28	GO:0030424	axon	35	8	4.79	0.0959
29	GO:0005942	phosphatidylinositol 3-kinase complex	13	4	1.78	0.1136
30	GO:0072686	mitotic spindle	9	3	1.23	0.1138
31	GO:0010494	cytoplasmic stress granule	9	3	1.23	0.1138
32	GO:0005856	cytoskeleton	249	45	34.09	0.1311
33	GO:0005965	protein farnesyltransferase complex	1	1	0.14	0.1369
34	GO:0005833	hemoglobin complex	1	1	0.14	0.1369
35	GO:0044284	mitochondrial crista junction	1	1	0.14	0.1369
36	GO:0031207	Sec62/Sec63 complex	1	1	0.14	0.1369
37	GO:0043204	perikaryon	1	1	0.14	0.1369
38	GO:1990907	beta-catenin-TCF complex	1	1	0.14	0.1369
39	GO:1990604	IRE1-TRAF2-ASK1 complex	1	1	0.14	0.1369
40	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.14	0.1369
41	GO:0034993	meiotic nuclear membrane microtubule tethering complex	1	1	0.14	0.1369
42	GO:0043626	PCNA complex	1	1	0.14	0.1369
43	GO:0032593	insulin-responsive compartment	1	1	0.14	0.1369
44	GO:0030891	VCB complex	1	1	0.14	0.1369
45	GO:0005773	vacuole	72	7	9.86	0.1377
46	GO:0022627	cytosolic small ribosomal subunit	15	4	2.05	0.1386
47	GO:0005657	replication fork	22	6	3.01	0.1461
48	GO:0005852	eukaryotic translation initiation factor 3 complex	10	3	1.37	0.1468
49	GO:0005763	mitochondrial small ribosomal subunit	16	4	2.19	0.1659
50	GO:0005839	proteasome core complex	13	3	1.78	0.1931
51	GO:0070971	endoplasmic reticulum exit site	6	2	0.82	0.1931
52	GO:0030127	COPII vesicle coat	6	2	0.82	0.1931
53	GO:0001725	stress fiber	6	2	0.82	0.1931
54	GO:0031012	extracellular matrix	74	13	10.13	0.2189
55	GO:0005911	cell-cell junction	42	8	5.75	0.2192
56	GO:0005669	transcription factor TFIID complex	12	3	1.64	0.2198
57	GO:0032153	cell division site	12	3	1.64	0.2198
58	GO:0062129	chitin-based extracellular matrix	30	6	4.11	0.2200
59	GO:0009986	cell surface	24	5	3.29	0.2240
60	GO:0008023	transcription elongation factor complex	22	8	3.01	0.2446
61	GO:0030117	membrane coat	35	6	4.79	0.2549
62	GO:0016589	NURF complex	2	1	0.27	0.2551
63	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	2	1	0.27	0.2551
64	GO:0031526	brush border membrane	2	1	0.27	0.2551
65	GO:0034464	BBSome	2	1	0.27	0.2551
66	GO:0005953	CAAX-protein geranylgeranyltransferase complex	2	1	0.27	0.2551
67	GO:0005664	nuclear origin of replication recognition complex	2	1	0.27	0.2551
68	GO:0034715	pICln-Sm protein complex	2	1	0.27	0.2551
69	GO:0005655	nucleolar ribonuclease P complex	2	1	0.27	0.2551
70	GO:0001405	PAM complex, Tim23 associated import motor	2	1	0.27	0.2551
71	GO:0070765	gamma-secretase complex	2	1	0.27	0.2551
72	GO:0010369	chromocenter	2	1	0.27	0.2551
73	GO:0005801	cis-Golgi network	2	1	0.27	0.2551
74	GO:0098839	postsynaptic density membrane	2	1	0.27	0.2551
75	GO:0034709	methylosome	2	1	0.27	0.2551
76	GO:0000120	RNA polymerase I transcription regulator complex	2	1	0.27	0.2551
77	GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	2	1	0.27	0.2551
78	GO:0005901	caveola	2	1	0.27	0.2551
79	GO:0005902	microvillus	2	1	0.27	0.2551
80	GO:0008305	integrin complex	2	1	0.27	0.2551
81	GO:0048476	Holliday junction resolvase complex	2	1	0.27	0.2551
82	GO:0008623	CHRAC	2	1	0.27	0.2551
83	GO:0030479	actin cortical patch	2	1	0.27	0.2551
84	GO:0031463	Cul3-RING ubiquitin ligase complex	2	1	0.27	0.2551
85	GO:0043625	delta DNA polymerase complex	2	1	0.27	0.2551
86	GO:0070545	PeBoW complex	2	1	0.27	0.2551
87	GO:0032807	DNA ligase IV complex	2	1	0.27	0.2551
88	GO:0071439	clathrin complex	2	1	0.27	0.2551
89	GO:0097539	ciliary transition fiber	2	1	0.27	0.2551
90	GO:0034663	endoplasmic reticulum chaperone complex	2	1	0.27	0.2551
91	GO:0044611	nuclear pore inner ring	2	1	0.27	0.2551
92	GO:1902636	kinociliary basal body	2	1	0.27	0.2551
93	GO:0005854	nascent polypeptide-associated complex	2	1	0.27	0.2551
94	GO:0030016	myofibril	12	2	1.64	0.2552
95	GO:0045211	postsynaptic membrane	21	5	2.87	0.2562
96	GO:0005813	centrosome	45	8	6.16	0.2683
97	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	14	3	1.92	0.2984
98	GO:0032589	neuron projection membrane	8	2	1.1	0.3012
99	GO:0035102	PRC1 complex	8	2	1.1	0.3012
100	GO:0000177	cytoplasmic exosome (RNase complex)	8	2	1.1	0.3012
101	GO:0032039	integrator complex	8	2	1.1	0.3012
102	GO:0012505	endomembrane system	600	73	82.13	0.3015
103	GO:0005615	extracellular space	138	21	18.89	0.3342
104	GO:0030054	cell junction	135	27	18.48	0.3531
105	GO:0030008	TRAPP complex	9	2	1.23	0.3548
106	GO:0033180	proton-transporting V-type ATPase, V1 domain	5	2	0.68	0.3567
107	GO:0030125	clathrin vesicle coat	13	3	1.78	0.3568
108	GO:0032580	Golgi cisterna membrane	3	1	0.41	0.3571
109	GO:0001518	voltage-gated sodium channel complex	3	1	0.41	0.3571
110	GO:0071339	MLL1 complex	3	1	0.41	0.3571
111	GO:0033588	elongator holoenzyme complex	3	1	0.41	0.3571
112	GO:0060170	ciliary membrane	3	1	0.41	0.3571
113	GO:0071797	LUBAC complex	3	1	0.41	0.3571
114	GO:0000811	GINS complex	3	1	0.41	0.3571
115	GO:0000814	ESCRT II complex	3	1	0.41	0.3571
116	GO:0005787	signal peptidase complex	3	1	0.41	0.3571
117	GO:0005788	endoplasmic reticulum lumen	3	1	0.41	0.3571
118	GO:0000172	ribonuclease MRP complex	3	1	0.41	0.3571
119	GO:0038039	G protein-coupled receptor heterodimeric complex	3	1	0.41	0.3571
120	GO:0000126	transcription factor TFIIIB complex	3	1	0.41	0.3571
121	GO:0071007	U2-type catalytic step 2 spliceosome	3	1	0.41	0.3571
122	GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	3	1	0.41	0.3571
123	GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	3	1	0.41	0.3571
124	GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	3	1	0.41	0.3571
125	GO:0070449	elongin complex	3	1	0.41	0.3571
126	GO:0008622	epsilon DNA polymerase complex	3	1	0.41	0.3571
127	GO:0005890	sodium:potassium-exchanging ATPase complex	3	1	0.41	0.3571
128	GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	3	1	0.41	0.3571
129	GO:0097546	ciliary base	3	1	0.41	0.3571
130	GO:0005861	troponin complex	3	1	0.41	0.3571
131	GO:0005783	endoplasmic reticulum	278	32	38.06	0.3827
132	GO:0005802	trans-Golgi network	37	6	5.06	0.3959
133	GO:0048471	perinuclear region of cytoplasm	10	2	1.37	0.4068
134	GO:0035267	NuA4 histone acetyltransferase complex	10	2	1.37	0.4068
135	GO:0019005	SCF ubiquitin ligase complex	24	4	3.29	0.4210
136	GO:0042995	cell projection	174	31	23.82	0.4412
137	GO:0048786	presynaptic active zone	8	3	1.1	0.4443
138	GO:0030136	clathrin-coated vesicle	18	4	2.46	0.4445
139	GO:0097730	non-motile cilium	6	2	0.82	0.4447
140	GO:0031985	Golgi cisterna	7	2	0.96	0.4448
141	GO:0030132	clathrin coat of coated pit	8	2	1.1	0.4449
142	GO:0042709	succinate-CoA ligase complex	4	1	0.55	0.4452
143	GO:0016581	NuRD complex	4	1	0.55	0.4452
144	GO:0016272	prefoldin complex	4	1	0.55	0.4452
145	GO:0036038	MKS complex	4	1	0.55	0.4452
146	GO:0005665	RNA polymerase II, core complex	4	1	0.55	0.4452
147	GO:0000346	transcription export complex	4	1	0.55	0.4452
148	GO:0000347	THO complex	4	1	0.55	0.4452
149	GO:0000164	protein phosphatase type 1 complex	4	1	0.55	0.4452
150	GO:0044545	NSL complex	4	1	0.55	0.4452
151	GO:0008076	voltage-gated potassium channel complex	4	1	0.55	0.4452
152	GO:0030122	AP-2 adaptor complex	4	1	0.55	0.4452
153	GO:0005786	signal recognition particle, endoplasmic reticulum targeting	4	1	0.55	0.4452
154	GO:0016010	dystrophin-associated glycoprotein complex	4	1	0.55	0.4452
155	GO:0061617	MICOS complex	4	1	0.55	0.4452
