GO.ID	Description	p.Val
GO:0008036	diuretic hormone receptor activity	0.0015
GO:0031267	small GTPase binding	0.0075
GO:0017046	peptide hormone binding	0.0148
GO:0070840	dynein complex binding	0.0183
GO:0004852	uroporphyrinogen-III synthase activity	0.0183
GO:0004312	fatty acid synthase activity	0.0183
GO:0005375	copper ion transmembrane transporter activity	0.0183
GO:0070740	tubulin-glutamic acid ligase activity	0.0183
GO:0000400	four-way junction DNA binding	0.0199
GO:0050321	tau-protein kinase activity	0.0199
GO:0008528	G protein-coupled peptide receptor activity	0.0225
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0.0355
GO:0005243	gap junction channel activity	0.0355
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	0.0359
GO:0004435	phosphatidylinositol phospholipase C activity	0.0359
GO:0005506	iron ion binding	0.0426
GO:0038023	signaling receptor activity	0.0488
GO:0140358	P-type transmembrane transporter activity	0.0498
GO:0003747	translation release factor activity	0.0499
GO:0015203	polyamine transmembrane transporter activity	0.0499
GO:0046875	ephrin receptor binding	0.0499
GO:0045159	myosin II binding	0.0499
GO:0032051	clathrin light chain binding	0.0499
GO:0072572	poly-ADP-D-ribose binding	0.0499
GO:0050265	RNA uridylyltransferase activity	0.0499
GO:0051539	4 iron, 4 sulfur cluster binding	0.0500
GO:0019905	syntaxin binding	0.0542
GO:0017147	Wnt-protein binding	0.0566
GO:0005509	calcium ion binding	0.0585
GO:0003924	GTPase activity	0.0664
GO:0060090	molecular adaptor activity	0.0666
GO:0031418	L-ascorbic acid binding	0.0817
GO:0005109	frizzled binding	0.0817
GO:0004298	threonine-type endopeptidase activity	0.0909
GO:0042813	Wnt receptor activity	0.0909
GO:0003743	translation initiation factor activity	0.1007
GO:0019888	protein phosphatase regulator activity	0.1103
GO:0020037	heme binding	0.1113
GO:0003712	transcription coregulator activity	0.1148
GO:0043022	ribosome binding	0.1228
GO:0031543	peptidyl-proline dioxygenase activity	0.1350
GO:0031545	peptidyl-proline 4-dioxygenase activity	0.1351
GO:0002020	protease binding	0.1351
GO:0008887	glycerate kinase activity	0.1353
GO:0004651	polynucleotide 5'-phosphatase activity	0.1353
GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity	0.1353
GO:0005460	UDP-glucose transmembrane transporter activity	0.1353
GO:0004735	pyrroline-5-carboxylate reductase activity	0.1353
GO:0106388	18S rRNA aminocarboxypropyltransferase activity	0.1353
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	0.1353
GO:0044716	8-oxo-GDP phosphatase activity	0.1353
GO:0010844	recombination hotspot binding	0.1353
GO:0001223	transcription coactivator binding	0.1353
GO:0004630	phospholipase D activity	0.1353
GO:0004164	diphthine synthase activity	0.1353
GO:0140911	pore-forming activity	0.1353
GO:0003711	transcription elongation factor activity	0.1353
GO:0003994	aconitate hydratase activity	0.1353
GO:0008808	cardiolipin synthase activity	0.1353
GO:0003681	bent DNA binding	0.1353
GO:0004609	phosphatidylserine decarboxylase activity	0.1353
GO:0008266	poly(U) RNA binding	0.1353
GO:0008254	3'-nucleotidase activity	0.1353
GO:0030623	U5 snRNA binding	0.1353
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity	0.1353
GO:0010314	phosphatidylinositol-5-phosphate binding	0.1353
