Description	Count	p	Ontology
activation of GTPase activity	3	0.00607	bp
positive regulation of protein ubiquitination	2	0.03403	bp
proteasome-mediated ubiquitin-dependent protein catabolic process	8	0.04421	bp
lysosome	5	0.023	cc
nuclear envelope	4	0.035	cc
mRNA cleavage and polyadenylation specificity factor complex	2	0.035	cc
extracellular space	7	0.040	cc
cysteine-type endopeptidase activity	3	0.0125	mf
ubiquitin binding	5	0.0151	mf
ubiquitin protein ligase binding	3	0.0287	mf
GTPase activator activity	4	0.0409	mf
