GO.ID	Description	p.Val
GO:0030175	filopodium	0.00041
GO:0005912	adherens junction	0.00813
GO:0045177	apical part of cell	0.01358
GO:0098837	postsynaptic recycling endosome	0.02051
GO:0098978	glutamatergic synapse	0.02051
GO:0098998	extrinsic component of postsynaptic early endosome membrane	0.02051
GO:0032593	insulin-responsive compartment	0.02051
GO:0005856	cytoskeleton	0.02747
GO:0001401	SAM complex	0.04061
GO:0000408	EKC/KEOPS complex	0.04061
GO:0001405	PAM complex, Tim23 associated import motor	0.04061
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	0.04061
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	0.04061
GO:0031941	filamentous actin	0.04061
GO:1990316	Atg1/ULK1 kinase complex	0.04061
GO:0000145	exocyst	0.04061
GO:0033186	CAF-1 complex	0.04061
GO:0000407	phagophore assembly site	0.04619
GO:0070552	BRISC complex	0.06030
GO:0001725	stress fiber	0.06030
GO:0031417	NatC complex	0.06030
GO:0070531	BRCA1-A complex	0.06030
GO:0005665	RNA polymerase II, core complex	0.07960
GO:0005758	mitochondrial intermembrane space	0.07960
GO:0030132	clathrin coat of coated pit	0.09851
GO:0005925	focal adhesion	0.09851
GO:0035371	microtubule plus-end	0.09851
GO:0005743	mitochondrial inner membrane	0.10277
GO:0005777	peroxisome	0.11811
GO:0005884	actin filament	0.13315
GO:0005736	RNA polymerase I complex	0.15296
GO:0005666	RNA polymerase III complex	0.17038
GO:0030688	preribosome, small subunit precursor	0.17038
GO:0005886	plasma membrane	0.17791
GO:0055037	recycling endosome	0.18467
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	0.18746
GO:0016604	nuclear body	0.22057
GO:0005739	mitochondrion	0.30770
GO:0005643	nuclear pore	0.31214
GO:0019898	extrinsic component of membrane	0.31868
GO:0016020	membrane	0.33548
GO:0005874	microtubule	0.33608
GO:0005615	extracellular space	0.38000
GO:0010008	endosome membrane	0.40065
GO:0005768	endosome	0.54356
GO:0005576	extracellular region	0.56174
GO:0005815	microtubule organizing center	0.58386
GO:0005829	cytosol	0.62377
GO:0005789	endoplasmic reticulum membrane	0.66769
GO:0005737	cytoplasm	0.69535
GO:0005794	Golgi apparatus	0.70540
GO:0005667	transcription regulator complex	0.76476
GO:0005654	nucleoplasm	0.77265
GO:0043231	intracellular membrane-bounded organelle	0.81000
GO:0005783	endoplasmic reticulum	0.86356
GO:0005730	nucleolus	0.86394
GO:0005634	nucleus	0.99438
GO:0031901	early endosome membrane	1.00000
GO:0032991	protein-containing complex	1.00000
GO:0140513	nuclear protein-containing complex	1.00000
GO:0032432	actin filament bundle	1.00000
GO:0005635	nuclear envelope	1.00000
GO:0031981	nuclear lumen	1.00000
GO:0031982	vesicle	1.00000
GO:1902493	acetyltransferase complex	1.00000
GO:1902494	catalytic complex	1.00000
GO:0031984	organelle subcompartment	1.00000
GO:0030054	cell junction	1.00000
GO:0030055	cell-substrate junction	1.00000
GO:1902554	serine/threonine protein kinase complex	1.00000
GO:0099080	supramolecular complex	1.00000
GO:0042995	cell projection	1.00000
GO:0099081	supramolecular polymer	1.00000
GO:0097517	contractile actin filament bundle	1.00000
GO:0030117	membrane coat	1.00000
GO:0005905	clathrin-coated pit	1.00000
GO:0030118	clathrin coat	1.00000
GO:0043226	organelle	1.00000
GO:0005740	mitochondrial envelope	1.00000
GO:0031970	organelle envelope lumen	1.00000
GO:0043227	membrane-bounded organelle	1.00000
GO:0005741	mitochondrial outer membrane	1.00000
GO:0043228	membraneless organelle	1.00000
GO:0005742	mitochondrial outer membrane translocase complex	1.00000
GO:0043229	intracellular organelle	1.00000
GO:0031974	membrane-enclosed lumen	1.00000
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	1.00000
GO:1902911	protein kinase complex	1.00000
GO:0015629	actin cytoskeleton	1.00000
GO:0031248	protein acetyltransferase complex	1.00000
GO:0031410	cytoplasmic vesicle	1.00000
GO:0030141	secretory granule	1.00000
GO:0030659	cytoplasmic vesicle membrane	1.00000
GO:0042579	microbody	1.00000
GO:0031414	N-terminal protein acetyltransferase complex	1.00000
GO:0140535	intracellular protein-containing complex	1.00000
GO:0099503	secretory vesicle	1.00000
GO:1990904	ribonucleoprotein complex	1.00000
GO:0030684	preribosome	1.00000
GO:0031312	extrinsic component of organelle membrane	1.00000
