GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0017057	6-phosphogluconolactonase activity	1	1	0.02	0.023
2	GO:0001653	peptide receptor activity	1	1	0.02	0.023
3	GO:0019799	tubulin N-acetyltransferase activity	1	1	0.02	0.023
4	GO:0004383	guanylate cyclase activity	1	1	0.02	0.023
5	GO:0070492	oligosaccharide binding	1	1	0.02	0.023
6	GO:0061599	molybdopterin molybdotransferase activity	1	1	0.02	0.023
7	GO:0070402	NADPH binding	1	1	0.02	0.023
8	GO:0070404	NADH binding	1	1	0.02	0.023
9	GO:0004345	glucose-6-phosphate dehydrogenase activity	1	1	0.02	0.023
10	GO:0016992	lipoate synthase activity	1	1	0.02	0.023
11	GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity	1	1	0.02	0.023
12	GO:0004155	6,7-dihydropteridine reductase activity	1	1	0.02	0.023
13	GO:0003779	actin binding	40	4	0.92	0.044
14	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	2	1	0.05	0.046
15	GO:0008395	steroid hydroxylase activity	2	1	0.05	0.046
16	GO:0008093	cytoskeletal anchor activity	2	1	0.05	0.046
17	GO:0016303	1-phosphatidylinositol-3-kinase activity	2	1	0.05	0.046
18	GO:0003919	FMN adenylyltransferase activity	2	1	0.05	0.046
19	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	2	1	0.05	0.046
20	GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	2	1	0.05	0.046
21	GO:0003993	acid phosphatase activity	2	1	0.05	0.046
22	GO:0017147	Wnt-protein binding	3	1	0.07	0.068
23	GO:0000774	adenyl-nucleotide exchange factor activity	3	1	0.07	0.068
24	GO:0015929	hexosaminidase activity	3	1	0.07	0.068
25	GO:0035252	UDP-xylosyltransferase activity	3	1	0.07	0.068
26	GO:0004029	aldehyde dehydrogenase (NAD+) activity	3	1	0.07	0.068
27	GO:0080019	alcohol-forming very long-chain fatty acyl-CoA reductase activity	3	1	0.07	0.068
28	GO:0004535	poly(A)-specific ribonuclease activity	3	1	0.07	0.068
29	GO:0020037	heme binding	19	2	0.44	0.070
30	GO:0003777	microtubule motor activity	4	1	0.09	0.089
31	GO:0035615	clathrin-cargo adaptor activity	4	1	0.09	0.089
32	GO:0030544	Hsp70 protein binding	4	1	0.09	0.089
33	GO:0003899	DNA-directed RNA polymerase activity	5	1	0.12	0.110
34	GO:0051015	actin filament binding	25	2	0.58	0.112
35	GO:0004672	protein kinase activity	79	3	1.82	0.120
36	GO:0031624	ubiquitin conjugating enzyme binding	6	1	0.14	0.131
37	GO:0016279	protein-lysine N-methyltransferase activity	7	1	0.16	0.151
38	GO:0005125	cytokine activity	7	1	0.16	0.151
39	GO:0008017	microtubule binding	33	2	0.76	0.176
40	GO:0050661	NADP binding	10	2	0.23	0.187
41	GO:0004725	protein tyrosine phosphatase activity	11	2	0.25	0.187
42	GO:0051536	iron-sulfur cluster binding	18	2	0.41	0.187
43	GO:0042803	protein homodimerization activity	9	1	0.21	0.190
44	GO:0051539	4 iron, 4 sulfur cluster binding	9	1	0.21	0.190
45	GO:0030515	snoRNA binding	9	1	0.21	0.190
46	GO:0003684	damaged DNA binding	10	1	0.23	0.208
47	GO:0005385	zinc ion transmembrane transporter activity	10	1	0.23	0.208
48	GO:0050839	cell adhesion molecule binding	10	1	0.23	0.208
49	GO:0031267	small GTPase binding	11	1	0.25	0.227
50	GO:0043169	cation binding	302	5	6.96	0.236
51	GO:0008083	growth factor activity	12	1	0.28	0.244
52	GO:0051087	protein-folding chaperone binding	17	2	0.39	0.259
53	GO:0000976	transcription cis-regulatory region binding	126	3	2.9	0.264
54	GO:0030170	pyridoxal phosphate binding	14	1	0.32	0.279
