Description	Count	p	Ontology
gluconeogenesis	3	0.0064	bp
glycolytic process	4	0.0084	bp
fucosylation	2	0.0151	bp
tetrahydrobiopterin biosynthetic process	2	0.0151	bp
positive regulation of canonical Wnt signaling pathway	2	0.0151	bp
regulation of dendrite morphogenesis	2	0.0151	bp
fatty acid biosynthetic process	4	0.0172	bp
dendrite self-avoidance	2	0.0220	bp
inner mitochondrial membrane organization	3	0.0299	bp
protein glycosylation	4	0.0315	bp
negative regulation of cell growth	2	0.0404	bp
positive regulation of cell population proliferation	2	0.0488	bp
mitochondrial matrix	7	0.020	cc
SMN complex	2	0.023	cc
clathrin-coated vesicle	5	0.031	cc
clathrin coat of trans-Golgi network vesicle	2	0.031	cc
vesicle membrane	4	0.042	cc
manganese ion binding	4	0.0015	mf
acyltransferase activity, transferring groups other than amino-acyl groups	12	0.0313	mf
cell-cell adhesion mediator activity	2	0.0398	mf
extracellular matrix structural constituent conferring tensile strength	2	0.0498	mf
