GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0047499	calcium-independent phospholipase A2 activity	2	2	0.07	0.0014
2	GO:0008973	phosphopentomutase activity	2	2	0.07	0.0014
3	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	252	19	9.43	0.0025
4	GO:0043565	sequence-specific DNA binding	312	26	11.67	0.0070
5	GO:0015232	heme transmembrane transporter activity	4	2	0.15	0.0079
6	GO:0004096	catalase activity	4	2	0.15	0.0079
7	GO:0005509	calcium ion binding	141	11	5.28	0.0159
8	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	202	14	7.56	0.0184
9	GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	1	1	0.04	0.0374
10	GO:0008478	pyridoxal kinase activity	1	1	0.04	0.0374
11	GO:0062101	peptidyl-aspartic acid 3-dioxygenase activity	1	1	0.04	0.0374
12	GO:0001018	mitochondrial promoter sequence-specific DNA binding	1	1	0.04	0.0374
13	GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	1	1	0.04	0.0374
14	GO:0004565	beta-galactosidase activity	1	1	0.04	0.0374
15	GO:0035035	histone acetyltransferase binding	1	1	0.04	0.0374
16	GO:0042392	sphingosine-1-phosphate phosphatase activity	1	1	0.04	0.0374
17	GO:0070139	SUMO-specific endopeptidase activity	1	1	0.04	0.0374
18	GO:0004517	nitric-oxide synthase activity	1	1	0.04	0.0374
19	GO:0019869	chloride channel inhibitor activity	1	1	0.04	0.0374
20	GO:0008241	peptidyl-dipeptidase activity	1	1	0.04	0.0374
21	GO:0019870	potassium channel inhibitor activity	1	1	0.04	0.0374
22	GO:0004824	lysine-tRNA ligase activity	1	1	0.04	0.0374
23	GO:0005007	fibroblast growth factor receptor activity	1	1	0.04	0.0374
24	GO:0015616	DNA translocase activity	1	1	0.04	0.0374
25	GO:0020037	heme binding	67	6	2.51	0.0382
26	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	243	18	9.09	0.0589
27	GO:0004659	prenyltransferase activity	11	2	0.41	0.0613
28	GO:0009055	electron transfer activity	12	2	0.45	0.0718
29	GO:0003987	acetate-CoA ligase activity	2	1	0.07	0.0734
30	GO:0016208	AMP binding	2	1	0.07	0.0734
