Description	Count	p	Ontology
organic acid metabolic process	8	2.1e-06	bp
purine nucleotide biosynthetic process	3	0.0141	bp
ribose phosphate metabolic process	5	0.0381	bp
monoatomic ion homeostasis	2	0.0396	bp
RNA splicing	2	0.0397	bp
phosphatidylinositol phosphate biosynthetic process	2	0.0464	bp
phagophore assembly site	2	0.0152	cc
vesicle	6	0.0217	cc
cytoplasm	53	0.0226	cc
endoplasmic reticulum	10	0.0253	cc
Golgi membrane	3	0.0452	cc
intracellular membrane-bounded organelle	49	0.0482	cc
metal ion binding	16	0.0136	mf
iron ion binding	5	0.0211	mf
heme binding	5	0.0307	mf
ubiquitin-like protein binding	2	0.0403	mf
hydrolase activity	22	0.0451	mf
