GO.ID	Description	p.Val
GO:0004423	iduronate-2-sulfatase activity	0.00075
GO:0016887	ATP hydrolysis activity	0.01434
GO:0005525	GTP binding	0.01972
GO:0004590	orotidine-5'-phosphate decarboxylase activity	0.02747
GO:0004340	glucokinase activity	0.02747
GO:0005536	D-glucose binding	0.02747
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	0.02747
GO:0070037	rRNA (pseudouridine) methyltransferase activity	0.02747
GO:0019158	mannokinase activity	0.02747
GO:0004588	orotate phosphoribosyltransferase activity	0.02747
GO:0046570	methylthioribulose 1-phosphate dehydratase activity	0.02747
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	0.02747
GO:0004757	sepiapterin reductase (NADP+) activity	0.02747
GO:0009039	urease activity	0.02747
GO:0015292	uniporter activity	0.02747
GO:0004185	serine-type carboxypeptidase activity	0.02747
GO:0008865	fructokinase activity	0.02747
GO:0004972	NMDA glutamate receptor activity	0.05419
GO:0000822	inositol hexakisphosphate binding	0.05419
GO:0004523	RNA-DNA hybrid ribonuclease activity	0.05419
GO:0072542	protein phosphatase activator activity	0.05419
GO:0030274	LIM domain binding	0.05419
GO:0030246	carbohydrate binding	0.06908
GO:0043236	laminin binding	0.08018
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	0.08018
GO:0016151	nickel cation binding	0.08018
GO:0017070	U6 snRNA binding	0.08018
GO:0005347	ATP transmembrane transporter activity	0.08018
GO:0032036	myosin heavy chain binding	0.08018
GO:0003924	GTPase activity	0.10422
GO:0047498	calcium-dependent phospholipase A2 activity	0.10547
GO:0036402	proteasome-activating activity	0.10547
GO:0003689	DNA clamp loader activity	0.10547
GO:0048038	quinone binding	0.10547
GO:0008308	voltage-gated monoatomic anion channel activity	0.10547
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.10640
GO:0003712	transcription coregulator activity	0.11553
GO:0004707	MAP kinase activity	0.13006
GO:0008320	protein transmembrane transporter activity	0.13006
GO:0008137	NADH dehydrogenase (ubiquinone) activity	0.13006
GO:0036002	pre-mRNA binding	0.13006
GO:0051010	microtubule plus-end binding	0.13006
GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	0.13006
GO:0008061	chitin binding	0.13973
GO:0005524	ATP binding	0.14097
GO:0005509	calcium ion binding	0.14751
GO:0003746	translation elongation factor activity	0.15399
GO:0004559	alpha-mannosidase activity	0.15399
GO:0070181	small ribosomal subunit rRNA binding	0.15399
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	0.15399
GO:0004806	triacylglycerol lipase activity	0.15399
GO:0019706	protein-cysteine S-palmitoyltransferase activity	0.17726
GO:0061631	ubiquitin conjugating enzyme activity	0.19990
GO:0030145	manganese ion binding	0.19990
GO:0003678	DNA helicase activity	0.22192
GO:0005262	calcium channel activity	0.24334
GO:0003730	mRNA 3'-UTR binding	0.24334
GO:0042803	protein homodimerization activity	0.24334
GO:0046872	metal ion binding	0.24786
GO:0019843	rRNA binding	0.26245
GO:0045182	translation regulator activity	0.26418
GO:0009922	fatty acid elongase activity	0.26418
GO:0017056	structural constituent of nuclear pore	0.26418
GO:0004252	serine-type endopeptidase activity	0.27029
GO:0008374	O-acyltransferase activity	0.28231
GO:0019888	protein phosphatase regulator activity	0.28237
GO:0140662	ATP-dependent protein folding chaperone	0.28444
GO:0003729	mRNA binding	0.32103
GO:0140359	ABC-type transporter activity	0.32333
GO:0015179	L-amino acid transmembrane transporter activity	0.34198
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.34198
GO:0003690	double-stranded DNA binding	0.34595
GO:0070063	RNA polymerase binding	0.36013
GO:0038023	signaling receptor activity	0.38001
GO:0004674	protein serine/threonine kinase activity	0.38058
GO:0003700	DNA-binding transcription factor activity	0.38311
GO:0031625	ubiquitin protein ligase binding	0.39494
GO:0050839	cell adhesion molecule binding	0.39494
GO:0004725	protein tyrosine phosphatase activity	0.39494
GO:0003735	structural constituent of ribosome	0.40035
GO:0003676	nucleic acid binding	0.43668
GO:0046982	protein heterodimerization activity	0.44366
GO:0008134	transcription factor binding	0.48850
GO:0051287	NAD binding	0.50263
GO:0042393	histone binding	0.51638
GO:0019901	protein kinase binding	0.51638
GO:0043565	sequence-specific DNA binding	0.52146
GO:0003724	RNA helicase activity	0.52975
GO:0003743	translation initiation factor activity	0.54275
GO:0000149	SNARE binding	0.59130
GO:0051082	unfolded protein binding	0.60262
GO:0005085	guanyl-nucleotide exchange factor activity	0.60262
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	0.68993
GO:0003677	DNA binding	0.69933
GO:0003682	chromatin binding	0.71644
GO:0016301	kinase activity	0.71946
GO:0016772	transferase activity, transferring phosphorus-containing groups	0.75022
GO:0008237	metallopeptidase activity	0.75372
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.76876
GO:0003779	actin binding	0.83417
