Description	Count	p	Ontology
organic acid metabolic process	8	6.1e-05	bp
proteasome-mediated ubiquitin-dependent protein catabolic process	7	0.0097	bp
tRNA methylation	3	0.0110	bp
protein O-linked glycosylation via mannose	3	0.0380	bp
cytoplasm	116	0.0014	cc
proteasome regulatory particle	4	0.0091	cc
phagophore assembly site	3	0.0142	cc
intracellular membrane-bounded organelle	111	0.0273	cc
metal ion binding	28	0.0032	mf
protein phosphatase binding	3	0.0071	mf
ubiquitin binding	4	0.0147	mf
histone binding	4	0.0451	mf
iron ion binding	7	0.0477	mf
heme binding	6	0.0483	mf
