Description	Count	p	Ontology
positive regulation of cell population proliferation	3	0.0100	bp
methylation	9	0.0251	bp
positive regulation of canonical Wnt signaling pathway	2	0.0257	bp
regulation of dendrite morphogenesis	2	0.0257	bp
L-methionine salvage from methylthioadenosine	2	0.0257	bp
NAD+ biosynthetic process	2	0.0372	bp
L-glutamate transmembrane transport	2	0.0372	bp
spliceosomal snRNP assembly	4	0.0426	bp
SMN complex	3	0.0028	cc
clathrin-coated vesicle	5	0.0047	cc
mitochondrial matrix	11	0.0152	cc
cytoplasm	184	0.0301	cc
intraciliary transport particle A	2	0.0383	cc
manganese ion binding	4	0.0042	mf
translation initiation factor binding	3	0.0190	mf
metalloaminopeptidase activity	3	0.0371	mf
L-glutamate transmembrane transporter activity	2	0.0382	mf
