GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0032797	SMN complex	6	2	0.1	0.0038
2	GO:0030018	Z disc	8	2	0.13	0.0070
3	GO:1990923	PET complex	1	1	0.02	0.0164
4	GO:1990023	mitotic spindle midzone	1	1	0.02	0.0164
5	GO:0016533	protein kinase 5 complex	1	1	0.02	0.0164
6	GO:0005700	polytene chromosome	1	1	0.02	0.0164
7	GO:0009925	basal plasma membrane	14	2	0.23	0.0322
8	GO:0008290	F-actin capping protein complex	2	1	0.03	0.0324
9	GO:0097038	perinuclear endoplasmic reticulum	2	1	0.03	0.0324
10	GO:0009331	glycerol-3-phosphate dehydrogenase (FAD) complex	2	1	0.03	0.0324
11	GO:0031463	Cul3-RING ubiquitin ligase complex	2	1	0.03	0.0324
12	GO:0071006	U2-type catalytic step 1 spliceosome	3	1	0.05	0.0483
13	GO:0005901	caveola	4	1	0.07	0.0638
14	GO:0071007	U2-type catalytic step 2 spliceosome	4	1	0.07	0.0638
15	GO:0005741	mitochondrial outer membrane	27	2	0.44	0.0713
16	GO:0030134	COPII-coated ER to Golgi transport vesicle	28	2	0.46	0.0760
17	GO:0030479	actin cortical patch	5	1	0.08	0.0792
18	GO:0031080	nuclear pore outer ring	5	1	0.08	0.0792
19	GO:0031941	filamentous actin	5	1	0.08	0.0792
20	GO:0030027	lamellipodium	5	1	0.08	0.0792
21	GO:0042765	GPI-anchor transamidase complex	5	1	0.08	0.0792
22	GO:0030054	cell junction	190	3	3.11	0.0799
23	GO:0043231	intracellular membrane-bounded organelle	3286	50	53.73	0.0916
24	GO:0000127	transcription factor TFIIIC complex	6	1	0.1	0.0942
25	GO:0030426	growth cone	6	1	0.1	0.0942
26	GO:0070822	Sin3-type complex	6	1	0.1	0.0942
27	GO:0030991	intraciliary transport particle A	6	1	0.1	0.0942
28	GO:0030424	axon	47	3	0.77	0.0945
29	GO:0001725	stress fiber	7	1	0.11	0.1090
30	GO:0016514	SWI/SNF complex	8	1	0.13	0.1236
31	GO:0008076	voltage-gated potassium channel complex	9	1	0.15	0.1380
32	GO:0000974	Prp19 complex	9	1	0.15	0.1380
33	GO:0035102	PRC1 complex	10	1	0.16	0.1521
34	GO:0000786	nucleosome	10	1	0.16	0.1521
35	GO:0048471	perinuclear region of cytoplasm	13	2	0.21	0.1645
36	GO:0016323	basolateral plasma membrane	12	1	0.2	0.1796
37	GO:0033176	proton-transporting V-type ATPase complex	13	1	0.21	0.1931
38	GO:0043005	neuron projection	143	6	2.34	0.1981
39	GO:0031519	PcG protein complex	26	2	0.43	0.2304
40	GO:0030687	preribosome, large subunit precursor	16	1	0.26	0.2321
41	GO:0005811	lipid droplet	18	1	0.29	0.2571
42	GO:0016020	membrane	1832	34	29.96	0.2585
43	GO:0000118	histone deacetylase complex	26	2	0.43	0.2791
44	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	20	1	0.33	0.2812
45	GO:0005778	peroxisomal membrane	21	1	0.34	0.2930
46	GO:0005912	adherens junction	21	1	0.34	0.2930
47	GO:0005829	cytosol	445	9	7.28	0.2954
48	GO:0034703	cation channel complex	33	2	0.54	0.3250
49	GO:0005777	peroxisome	45	2	0.74	0.3255
50	GO:0016592	mediator complex	27	1	0.44	0.3599
51	GO:0031966	mitochondrial membrane	107	4	1.75	0.3704
52	GO:0005886	plasma membrane	763	15	12.48	0.3742
53	GO:0005730	nucleolus	144	3	2.35	0.4202
54	GO:0005759	mitochondrial matrix	91	2	1.49	0.4407
55	GO:0000785	chromatin	152	5	2.49	0.4574
56	GO:0022625	cytosolic large ribosomal subunit	37	1	0.61	0.4576
57	GO:0005634	nucleus	1878	30	30.71	0.4780
58	GO:0099503	secretory vesicle	51	1	0.83	0.5701
59	GO:0043235	receptor complex	52	1	0.85	0.5772
60	GO:0015629	actin cytoskeleton	94	3	1.54	0.6184
61	GO:0000139	Golgi membrane	67	1	1.1	0.6706
62	GO:0005764	lysosome	71	1	1.16	0.6919
63	GO:0005739	mitochondrion	530	10	8.67	0.7683
64	GO:0005667	transcription regulator complex	123	2	2.01	0.8500
65	GO:0005576	extracellular region	336	2	5.49	0.8646
66	GO:0045202	synapse	123	1	2.01	0.8710
67	GO:0005783	endoplasmic reticulum	363	4	5.94	0.9338
68	GO:0005789	endoplasmic reticulum membrane	183	2	2.99	0.9477
69	GO:0005794	Golgi apparatus	250	2	4.09	0.9534
