GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0097037	heme export	2	2	0.09	0.0022
2	GO:0015886	heme transport	5	4	0.23	0.0063
3	GO:0006000	fructose metabolic process	3	2	0.14	0.0063
4	GO:0006003	fructose 2,6-bisphosphate metabolic process	3	2	0.14	0.0063
5	GO:0030050	vesicle transport along actin filament	4	2	0.19	0.0123
6	GO:0042276	error-prone translesion synthesis	5	2	0.23	0.0199
7	GO:0008543	fibroblast growth factor receptor signaling pathway	5	2	0.23	0.0199
8	GO:0007160	cell-matrix adhesion	13	3	0.61	0.0204
9	GO:0016579	protein deubiquitination	47	6	2.2	0.0212
10	GO:0006909	phagocytosis	12	3	0.56	0.0465
11	GO:0006670	sphingosine metabolic process	6	2	0.28	0.0466
12	GO:0045947	negative regulation of translational initiation	1	1	0.05	0.0468
13	GO:0048168	regulation of neuronal synaptic plasticity	1	1	0.05	0.0468
14	GO:0071679	commissural neuron axon guidance	1	1	0.05	0.0468
15	GO:0051457	maintenance of protein location in nucleus	1	1	0.05	0.0468
16	GO:0051083	'de novo' cotranslational protein folding	1	1	0.05	0.0468
17	GO:0039536	negative regulation of RIG-I signaling pathway	1	1	0.05	0.0468
18	GO:0032480	negative regulation of type I interferon production	1	1	0.05	0.0468
19	GO:1903288	positive regulation of potassium ion import across plasma membrane	1	1	0.05	0.0468
20	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	1	1	0.05	0.0468
21	GO:2000651	positive regulation of sodium ion transmembrane transporter activity	1	1	0.05	0.0468
22	GO:0006772	thiamine metabolic process	1	1	0.05	0.0468
23	GO:0042264	peptidyl-aspartic acid hydroxylation	1	1	0.05	0.0468
24	GO:0045761	regulation of adenylate cyclase activity	1	1	0.05	0.0468
25	GO:0046359	butyrate catabolic process	1	1	0.05	0.0468
26	GO:0034164	negative regulation of toll-like receptor 9 signaling pathway	1	1	0.05	0.0468
27	GO:2000304	positive regulation of ceramide biosynthetic process	1	1	0.05	0.0468
28	GO:1990426	mitotic recombination-dependent replication fork processing	1	1	0.05	0.0468
29	GO:0045880	positive regulation of smoothened signaling pathway	1	1	0.05	0.0468
30	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	1	1	0.05	0.0468
31	GO:1901190	regulation of formation of translation initiation ternary complex	1	1	0.05	0.0468
32	GO:0010766	negative regulation of sodium ion transport	1	1	0.05	0.0468
33	GO:0009229	thiamine diphosphate biosynthetic process	1	1	0.05	0.0468
34	GO:0006107	oxaloacetate metabolic process	1	1	0.05	0.0468
35	GO:0050801	monoatomic ion homeostasis	75	4	3.51	0.0469
36	GO:0016310	phosphorylation	287	19	13.43	0.0492
