GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005615	extracellular space	160	15	7.08	0.0045
2	GO:0005902	microvillus	3	2	0.13	0.0057
3	GO:0005829	cytosol	439	28	19.41	0.0216
4	GO:0019773	proteasome core complex, alpha-subunit complex	7	2	0.31	0.0353
5	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.04	0.0442
6	GO:0035517	PR-DUB complex	1	1	0.04	0.0442
7	GO:0031901	early endosome membrane	8	2	0.35	0.0457
8	GO:0031982	vesicle	241	7	10.66	0.0476
9	GO:0010494	cytoplasmic stress granule	11	2	0.49	0.0823
10	GO:0005773	vacuole	92	5	4.07	0.0827
11	GO:0046695	SLIK (SAGA-like) complex	2	1	0.09	0.0865
12	GO:1990745	EARP complex	2	1	0.09	0.0865
13	GO:0031616	spindle pole centrosome	2	1	0.09	0.0865
14	GO:0035060	brahma complex	2	1	0.09	0.0865
15	GO:0001405	PAM complex, Tim23 associated import motor	2	1	0.09	0.0865
16	GO:0001726	ruffle	2	1	0.09	0.0865
17	GO:0005656	nuclear pre-replicative complex	2	1	0.09	0.0865
18	GO:0005669	transcription factor TFIID complex	13	2	0.57	0.1103
19	GO:0031298	replication fork protection complex	3	1	0.13	0.1269
20	GO:1990316	Atg1/ULK1 kinase complex	3	1	0.13	0.1269
21	GO:0032590	dendrite membrane	3	1	0.13	0.1269
22	GO:0140268	endoplasmic reticulum-plasma membrane contact site	3	1	0.13	0.1269
23	GO:0071565	nBAF complex	3	1	0.13	0.1269
24	GO:0062129	chitin-based extracellular matrix	29	3	1.28	0.1346
25	GO:0030425	dendrite	18	3	0.8	0.1395
26	GO:0000922	spindle pole	18	3	0.8	0.1549
27	GO:0016324	apical plasma membrane	16	2	0.71	0.1558
28	GO:0071007	U2-type catalytic step 2 spliceosome	4	1	0.18	0.1655
29	GO:0044545	NSL complex	4	1	0.18	0.1655
30	GO:0032133	chromosome passenger complex	4	1	0.18	0.1655
31	GO:0045335	phagocytic vesicle	4	1	0.18	0.1655
32	GO:0030496	midbody	4	1	0.18	0.1655
