GO.ID	Description	p.Val
GO:0020037	heme binding	0.00016
GO:0008190	eukaryotic initiation factor 4E binding	0.00138
GO:0008973	phosphopentomutase activity	0.00138
GO:0000146	microfilament motor activity	0.00404
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.00449
GO:0015232	heme transmembrane transporter activity	0.00788
GO:0004096	catalase activity	0.00788
GO:0016791	phosphatase activity	0.01083
GO:0004867	serine-type endopeptidase inhibitor activity	0.01367
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.01589
GO:0005506	iron ion binding	0.03087
GO:0051087	protein-folding chaperone binding	0.03595
GO:0106140	P-TEFb complex binding	0.03725
GO:0018738	S-formylglutathione hydrolase activity	0.03725
GO:0062101	peptidyl-aspartic acid 3-dioxygenase activity	0.03725
GO:0001018	mitochondrial promoter sequence-specific DNA binding	0.03725
GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	0.03725
GO:0004565	beta-galactosidase activity	0.03725
GO:0004630	D-type glycerophospholipase activity	0.03725
GO:0042392	sphingosine-1-phosphate phosphatase activity	0.03725
GO:0030623	U5 snRNA binding	0.03725
GO:0004517	nitric-oxide synthase activity	0.03725
GO:0019869	chloride channel inhibitor activity	0.03725
GO:0008241	peptidyl-dipeptidase activity	0.03725
GO:0019870	potassium channel inhibitor activity	0.03725
GO:0030975	thiamine binding	0.03725
GO:0005007	fibroblast growth factor receptor activity	0.03725
GO:0035241	protein-arginine omega-N monomethyltransferase activity	0.03725
GO:0004788	thiamine diphosphokinase activity	0.03725
GO:0000150	DNA strand exchange activity	0.03725
GO:0015616	DNA translocase activity	0.03725
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0.04874
GO:0009055	electron transfer activity	0.07128
GO:0004497	monooxygenase activity	0.07185
GO:0015086	cadmium ion transmembrane transporter activity	0.07311
GO:0005247	voltage-gated chloride channel activity	0.07311
GO:0003987	acetate-CoA ligase activity	0.07311
GO:0016208	AMP binding	0.07311
GO:0005113	patched binding	0.07311
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity	0.07311
GO:0033749	histone H4R3 demethylase activity	0.07311
GO:0042030	ATPase inhibitor activity	0.07311
GO:0043024	ribosomal small subunit binding	0.07311
GO:0005384	manganese ion transmembrane transporter activity	0.07311
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	0.07311
GO:0008603	cAMP-dependent protein kinase regulator activity	0.07311
GO:0050660	flavin adenine dinucleotide binding	0.07970
GO:0017056	structural constituent of nuclear pore	0.08223
GO:0101005	deubiquitinase activity	0.10717
GO:0070182	DNA polymerase binding	0.10765
GO:0045159	myosin II binding	0.10765
GO:0015501	glutamate:sodium symporter activity	0.10765
GO:0008253	5'-nucleotidase activity	0.10765
GO:0032217	riboflavin transmembrane transporter activity	0.10765
GO:0003839	gamma-glutamylcyclotransferase activity	0.10765
GO:0008494	translation activator activity	0.10765
GO:0005381	iron ion transmembrane transporter activity	0.10765
GO:0016722	oxidoreductase activity, acting on metal ions	0.10765
GO:0043035	chromatin insulator sequence binding	0.10765
GO:0019786	protein-phosphatidylethanolamide deconjugating activity	0.10765
GO:0004197	cysteine-type endopeptidase activity	0.13030
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.13134
GO:0016274	protein-arginine N-methyltransferase activity	0.14024
GO:0120015	sterol transfer activity	0.14091
GO:2001069	glycogen binding	0.14091
GO:0015929	hexosaminidase activity	0.14091
GO:0005246	calcium channel regulator activity	0.14091
GO:0030729	acetoacetate-CoA ligase activity	0.14091
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.14091
GO:0000774	adenyl-nucleotide exchange factor activity	0.14091
GO:0030619	U1 snRNA binding	0.14091
GO:0003785	actin monomer binding	0.14091
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.14091
GO:0030544	Hsp70 protein binding	0.14091
GO:0008201	heparin binding	0.14091
GO:0004298	threonine-type endopeptidase activity	0.14091
GO:0005313	L-glutamate transmembrane transporter activity	0.14091
GO:0050661	NADP binding	0.14315
GO:0140664	ATP-dependent DNA damage sensor activity	0.17293
GO:0042043	neurexin family protein binding	0.17293
GO:0015250	water channel activity	0.17293
GO:0008157	protein phosphatase 1 binding	0.17293
GO:0050321	tau-protein kinase activity	0.17293
GO:0035091	phosphatidylinositol binding	0.19639
GO:0031369	translation initiation factor binding	0.20189
GO:0008139	nuclear localization sequence binding	0.20377
GO:0003688	DNA replication origin binding	0.20377
GO:0005201	extracellular matrix structural constituent	0.20377
GO:0004000	adenosine deaminase activity	0.20377
GO:0004842	ubiquitin-protein transferase activity	0.20991
GO:0003697	single-stranded DNA binding	0.21051
GO:0008395	steroid hydroxylase activity	0.23346
GO:0015175	neutral L-amino acid transmembrane transporter activity	0.23346
GO:0019706	protein-cysteine S-palmitoyltransferase activity	0.23346
GO:0031419	cobalamin binding	0.26205
GO:0000062	fatty-acyl-CoA binding	0.26205
GO:0140658	ATP-dependent chromatin remodeler activity	0.26205
GO:0004499	N,N-dimethylaniline monooxygenase activity	0.26205
GO:0032266	phosphatidylinositol-3-phosphate binding	0.26205
GO:0005109	frizzled binding	0.26205
