Description	Count	p	Ontology
dephosphorylation	8	0.0016	bp
cell-matrix adhesion	3	0.0033	bp
neuron differentiation	6	0.0051	bp
response to hydrogen peroxide	2	0.0121	bp
piecemeal microautophagy of the nucleus	2	0.0121	bp
regulation of transcription by RNA polymerase II	21	0.0157	bp
peptidyl-arginine methylation	2	0.0178	bp
engulfment of apoptotic cell	2	0.0243	bp
hydrogen peroxide catabolic process	2	0.0243	bp
apoptotic process involved in development	2	0.0243	bp
phosphatidylserine exposure on apoptotic cell surface	2	0.0243	bp
regulation of cytokinesis	2	0.0316	bp
protein localization to phagophore assembly site	2	0.0316	bp
monoatomic ion homeostasis	3	0.0362	bp
signaling	21	0.0375	bp
ribosomal subunit export from nucleus	2	0.0485	bp
proteasome core complex, alpha-subunit complex	2	0.019	cc
vesicle	3	0.020	cc
extracellular space	9	0.031	cc
cytoplasmic stress granule	2	0.031	cc
dendrite	2	0.039	cc
heme binding	10	0.00016	mf
DNA-binding transcription factor activity, RNA polymerase II-specific	19	0.00449	mf
phosphatase activity	8	0.01083	mf
serine-type endopeptidase inhibitor activity	3	0.01367	mf
RNA polymerase II transcription regulatory region sequence-specific DNA binding	16	0.01589	mf
iron ion binding	6	0.03087	mf
protein-folding chaperone binding	4	0.03595	mf
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	10	0.04874	mf
