GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0042542	response to hydrogen peroxide	5	2	0.03	0.00031
2	GO:0006508	proteolysis	125	5	0.71	0.00059
3	GO:0042744	hydrogen peroxide catabolic process	7	2	0.04	0.00065
4	GO:1901190	regulation of formation of translation initiation ternary complex	1	1	0.01	0.00571
5	GO:0006654	phosphatidic acid biosynthetic process	1	1	0.01	0.00571
6	GO:0019427	acetyl-CoA biosynthetic process from acetate	1	1	0.01	0.00571
7	GO:0045880	positive regulation of smoothened signaling pathway	1	1	0.01	0.00571
8	GO:0071679	commissural neuron axon guidance	1	1	0.01	0.00571
9	GO:0043103	hypoxanthine salvage	2	1	0.01	0.01138
10	GO:0060169	negative regulation of adenosine receptor signaling pathway	2	1	0.01	0.01138
11	GO:0046103	inosine biosynthetic process	3	1	0.02	0.01703
12	GO:0006154	adenosine catabolic process	3	1	0.02	0.01703
13	GO:0097104	postsynaptic membrane assembly	4	1	0.02	0.02264
14	GO:0097105	presynaptic membrane assembly	4	1	0.02	0.02264
15	GO:0007158	neuron cell-cell adhesion	4	1	0.02	0.02264
16	GO:0006390	mitochondrial transcription	4	1	0.02	0.02264
17	GO:0043248	proteasome assembly	6	1	0.03	0.03378
18	GO:0048488	synaptic vesicle endocytosis	6	1	0.03	0.03378
19	GO:0007340	acrosome reaction	8	1	0.05	0.04480
20	GO:0007602	phototransduction	8	1	0.05	0.04480
21	GO:0030198	extracellular matrix organization	13	1	0.07	0.07181
22	GO:0045727	positive regulation of translation	14	1	0.08	0.07712
23	GO:0007417	central nervous system development	16	1	0.09	0.08766
24	GO:0006606	protein import into nucleus	26	1	0.15	0.13864
25	GO:0006405	RNA export from nucleus	27	1	0.15	0.14359
26	GO:0007155	cell adhesion	77	2	0.44	0.14466
27	GO:0050804	modulation of chemical synaptic transmission	43	1	0.25	0.21909
28	GO:0048870	cell motility	50	1	0.29	0.25007
29	GO:0007015	actin filament organization	61	1	0.35	0.29638
30	GO:0005975	carbohydrate metabolic process	103	1	0.59	0.44917
31	GO:0006412	translation	200	2	1.14	0.53739
32	GO:0006511	ubiquitin-dependent protein catabolic process	142	1	0.81	0.56209
33	GO:0006355	regulation of DNA-templated transcription	536	3	3.06	0.59778
34	GO:0006357	regulation of transcription by RNA polymerase II	381	2	2.17	0.65269
35	GO:0035556	intracellular signal transduction	285	1	1.63	0.81450
36	GO:0055085	transmembrane transport	328	1	1.87	0.85753
37	GO:0008610	lipid biosynthetic process	123	1	0.7	1.00000
38	GO:0019941	modification-dependent protein catabolic process	144	1	0.82	1.00000
39	GO:0051649	establishment of localization in cell	353	2	2.01	1.00000
40	GO:0030182	neuron differentiation	82	1	0.47	1.00000
41	GO:0034654	nucleobase-containing compound biosynthetic process	991	6	5.66	1.00000
