GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005615	extracellular space	160	8	2.11	0.0011
2	GO:0005773	vacuole	92	4	1.22	0.0086
3	GO:0035517	PR-DUB complex	1	1	0.01	0.0132
4	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.01	0.0132
5	GO:0035060	brahma complex	2	1	0.03	0.0263
6	GO:0046695	SLIK (SAGA-like) complex	2	1	0.03	0.0263
7	GO:0005656	nuclear pre-replicative complex	2	1	0.03	0.0263
8	GO:0009986	cell surface	33	3	0.44	0.0357
9	GO:0071565	nBAF complex	3	1	0.04	0.0391
10	GO:0032590	dendrite membrane	3	1	0.04	0.0391
11	GO:0045335	phagocytic vesicle	4	1	0.05	0.0518
12	GO:0031428	box C/D methylation guide snoRNP complex	4	1	0.05	0.0518
13	GO:0005664	nuclear origin of replication recognition complex	4	1	0.05	0.0518
14	GO:0033179	proton-transporting V-type ATPase, V0 domain	5	1	0.07	0.0644
15	GO:0032809	neuronal cell body membrane	5	1	0.07	0.0644
16	GO:0031261	DNA replication preinitiation complex	5	1	0.07	0.0644
17	GO:0032040	small-subunit processome	34	2	0.45	0.0737
18	GO:0008076	voltage-gated potassium channel complex	6	1	0.08	0.0767
19	GO:0019773	proteasome core complex, alpha-subunit complex	7	1	0.09	0.0890
20	GO:0034518	RNA cap binding complex	7	1	0.09	0.0890
21	GO:0031012	extracellular matrix	77	4	1.02	0.0902
22	GO:0016514	SWI/SNF complex	8	1	0.11	0.1010
23	GO:0000124	SAGA complex	8	1	0.11	0.1010
24	GO:0035102	PRC1 complex	9	1	0.12	0.1129
25	GO:0005604	basement membrane	9	1	0.12	0.1129
26	GO:0031011	Ino80 complex	9	1	0.12	0.1129
27	GO:0005891	voltage-gated calcium channel complex	10	1	0.13	0.1246
28	GO:0035861	site of double-strand break	10	1	0.13	0.1246
29	GO:0009897	external side of plasma membrane	10	1	0.13	0.1246
30	GO:0005921	gap junction	10	1	0.13	0.1246
31	GO:0043296	apical junction complex	11	1	0.15	0.1362
32	GO:0005669	transcription factor TFIID complex	13	1	0.17	0.1590
33	GO:0030425	dendrite	18	2	0.24	0.1790
34	GO:0032045	guanyl-nucleotide exchange factor complex	15	1	0.2	0.1811
35	GO:0016324	apical plasma membrane	16	1	0.21	0.1919
36	GO:0005743	mitochondrial inner membrane	67	2	0.89	0.2216
37	GO:0030864	cortical actin cytoskeleton	19	1	0.25	0.2236
38	GO:0005886	plasma membrane	552	11	7.29	0.2364
