GO.ID	Description	p.Val
GO:2000304	positive regulation of ceramide biosynthetic process	0.0013
GO:0016311	dephosphorylation	0.0016
GO:0007160	cell-matrix adhesion	0.0033
GO:0030050	vesicle transport along actin filament	0.0038
GO:0006166	purine ribonucleoside salvage	0.0038
GO:0030182	neuron differentiation	0.0051
GO:0000423	mitophagy	0.0074
GO:0034727	piecemeal microautophagy of the nucleus	0.0120
GO:0042542	response to hydrogen peroxide	0.0120
GO:0006357	regulation of transcription by RNA polymerase II	0.0151
GO:0018216	peptidyl-arginine methylation	0.0176
GO:0042744	hydrogen peroxide catabolic process	0.0241
GO:0070782	phosphatidylserine exposure on apoptotic cell surface	0.0241
GO:1902742	apoptotic process involved in development	0.0241
GO:0043652	engulfment of apoptotic cell	0.0241
GO:0034497	protein localization to phagophore assembly site	0.0314
GO:0032465	regulation of cytokinesis	0.0314
GO:0050801	monoatomic ion homeostasis	0.0361
GO:0045880	positive regulation of smoothened signaling pathway	0.0361
GO:2000651	positive regulation of sodium ion transmembrane transporter activity	0.0361
GO:0051457	maintenance of protein location in nucleus	0.0361
GO:0006654	phosphatidic acid biosynthetic process	0.0361
GO:0006772	thiamine metabolic process	0.0361
GO:1990426	mitotic recombination-dependent replication fork processing	0.0361
GO:0071679	commissural neuron axon guidance	0.0361
GO:0039536	negative regulation of RIG-I signaling pathway	0.0361
GO:0032480	negative regulation of type I interferon production	0.0361
GO:0019427	acetyl-CoA biosynthetic process from acetate	0.0361
GO:0045947	negative regulation of translational initiation	0.0361
GO:0048168	regulation of neuronal synaptic plasticity	0.0361
GO:0042264	peptidyl-aspartic acid hydroxylation	0.0361
GO:0009229	thiamine diphosphate biosynthetic process	0.0361
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	0.0361
GO:1901190	regulation of formation of translation initiation ternary complex	0.0361
GO:0000730	DNA recombinase assembly	0.0361
GO:1903288	positive regulation of potassium ion import across plasma membrane	0.0361
GO:0023052	signaling	0.0373
GO:0000054	ribosomal subunit export from nucleus	0.0481
GO:0051085	chaperone cofactor-dependent protein refolding	0.0575
GO:0030154	cell differentiation	0.0587
GO:0006909	phagocytosis	0.0701
GO:0015886	heme transport	0.0705
GO:0010042	response to manganese ion	0.0709
GO:0032237	activation of store-operated calcium channel activity	0.0709
GO:0048332	mesoderm morphogenesis	0.0709
GO:0043103	hypoxanthine salvage	0.0709
GO:0055071	manganese ion homeostasis	0.0709
GO:0006809	nitric oxide biosynthetic process	0.0709
GO:0097037	heme export	0.0709
GO:0032878	regulation of establishment or maintenance of cell polarity	0.0709
GO:0045046	protein import into peroxisome membrane	0.0709
GO:0009312	oligosaccharide biosynthetic process	0.0709
GO:0060169	negative regulation of adenosine receptor signaling pathway	0.0709
GO:0030001	metal ion transport	0.0709
GO:0030198	extracellular matrix organization	0.0778
GO:0045727	positive regulation of translation	0.0886
GO:0046839	phospholipid dephosphorylation	0.1039
GO:0006312	mitotic recombination	0.1044
GO:0002115	store-operated calcium entry	0.1044
GO:0032218	riboflavin transport	0.1044
GO:0006670	sphingosine metabolic process	0.1044
GO:0050708	regulation of protein secretion	0.1044
GO:0046103	inosine biosynthetic process	0.1044
GO:0010766	negative regulation of sodium ion transport	0.1044
GO:0048026	positive regulation of mRNA splicing, via spliceosome	0.1044
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.1044
GO:0032781	positive regulation of ATP-dependent activity	0.1044
GO:0006154	adenosine catabolic process	0.1044
GO:0097039	protein linear polyubiquitination	0.1044
GO:0035025	positive regulation of Rho protein signal transduction	0.1044
GO:0007417	central nervous system development	0.1116
GO:0016579	protein deubiquitination	0.1306
GO:0071218	cellular response to misfolded protein	0.1367
GO:0015813	L-glutamate transmembrane transport	0.1367
GO:0005979	regulation of glycogen biosynthetic process	0.1367
GO:0046294	formaldehyde catabolic process	0.1367
GO:0097104	postsynaptic membrane assembly	0.1367
GO:0097105	presynaptic membrane assembly	0.1367
GO:0008593	regulation of Notch signaling pathway	0.1367
GO:0007158	neuron cell-cell adhesion	0.1367
GO:0035999	tetrahydrofolate interconversion	0.1367
GO:0090141	positive regulation of mitochondrial fission	0.1367
GO:0006390	mitochondrial transcription	0.1367
GO:0046856	phosphatidylinositol dephosphorylation	0.1367
GO:0034063	stress granule assembly	0.1367
GO:0009653	anatomical structure morphogenesis	0.1549
GO:0042148	DNA strand invasion	0.1679
GO:0008543	fibroblast growth factor receptor signaling pathway	0.1679
GO:0051294	establishment of spindle orientation	0.1679
GO:0009396	folic acid-containing compound biosynthetic process	0.1679
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.1873
GO:0048488	synaptic vesicle endocytosis	0.1979
GO:0043248	proteasome assembly	0.1979
GO:0006413	translational initiation	0.2089
GO:0006405	RNA export from nucleus	0.2266
GO:0032366	intracellular sterol transport	0.2269
GO:0018230	peptidyl-L-cysteine S-palmitoylation	0.2269
GO:0006415	translational termination	0.2269
GO:0016226	iron-sulfur cluster assembly	0.2269
GO:0070192	chromosome organization involved in meiotic cell cycle	0.2269
