GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0042542	response to hydrogen peroxide	5	2	0.03	0.00030
2	GO:0006508	proteolysis	294	6	1.65	0.00052
3	GO:0042744	hydrogen peroxide catabolic process	7	2	0.04	0.00063
4	GO:1901190	regulation of formation of translation initiation ternary complex	1	1	0.01	0.00562
5	GO:0006654	phosphatidic acid biosynthetic process	1	1	0.01	0.00562
6	GO:0019427	acetyl-CoA biosynthetic process from acetate	1	1	0.01	0.00562
7	GO:0045880	positive regulation of smoothened signaling pathway	1	1	0.01	0.00562
8	GO:0071679	commissural neuron axon guidance	1	1	0.01	0.00562
9	GO:0043103	hypoxanthine salvage	2	1	0.01	0.01120
10	GO:0060169	negative regulation of adenosine receptor signaling pathway	2	1	0.01	0.01120
11	GO:0046103	inosine biosynthetic process	3	1	0.02	0.01676
12	GO:0006154	adenosine catabolic process	3	1	0.02	0.01676
13	GO:0097104	postsynaptic membrane assembly	4	1	0.02	0.02229
14	GO:0097105	presynaptic membrane assembly	4	1	0.02	0.02229
15	GO:0007158	neuron cell-cell adhesion	4	1	0.02	0.02229
16	GO:0006390	mitochondrial transcription	4	1	0.02	0.02229
17	GO:0043248	proteasome assembly	6	1	0.03	0.03325
18	GO:0048488	synaptic vesicle endocytosis	6	1	0.03	0.03325
19	GO:0007340	acrosome reaction	8	1	0.04	0.04409
20	GO:0007602	phototransduction	8	1	0.04	0.04409
21	GO:0030198	extracellular matrix organization	13	1	0.07	0.07070
22	GO:0045727	positive regulation of translation	14	1	0.08	0.07593
23	GO:0007417	central nervous system development	16	1	0.09	0.08631
24	GO:0006606	protein import into nucleus	26	1	0.15	0.13657
25	GO:0006405	RNA export from nucleus	27	1	0.15	0.14145
26	GO:0007155	cell adhesion	77	2	0.43	0.14248
27	GO:0050804	modulation of chemical synaptic transmission	43	1	0.24	0.21597
28	GO:0048870	cell motility	50	1	0.28	0.24658
29	GO:0007015	actin filament organization	63	1	0.35	0.30041
30	GO:0005975	carbohydrate metabolic process	105	1	0.59	0.45019
31	GO:0006412	translation	200	2	1.12	0.53146
32	GO:0006511	ubiquitin-dependent protein catabolic process	142	1	0.8	0.55616
33	GO:0006355	regulation of DNA-templated transcription	541	3	3.04	0.60306
34	GO:0006357	regulation of transcription by RNA polymerase II	381	2	2.14	0.64365
35	GO:0035556	intracellular signal transduction	288	1	1.62	0.81266
36	GO:0055085	transmembrane transport	330	1	1.85	0.85461
37	GO:0008610	lipid biosynthetic process	124	1	0.7	1.00000
38	GO:0019941	modification-dependent protein catabolic process	144	1	0.81	1.00000
39	GO:0051649	establishment of localization in cell	346	2	1.94	1.00000
40	GO:0030182	neuron differentiation	82	1	0.46	1.00000
41	GO:0034654	nucleobase-containing compound biosynthetic process	1002	6	5.63	1.00000
42	GO:0034655	nucleobase-containing compound catabolic process	85	1	0.48	1.00000
43	GO:0034656	nucleobase-containing small molecule catabolic process	5	1	0.03	1.00000
44	GO:0048468	cell development	89	1	0.5	1.00000
45	GO:1901700	response to oxygen-containing compound	33	2	0.19	1.00000
46	GO:0009112	nucleobase metabolic process	6	1	0.03	1.00000
47	GO:0051252	regulation of RNA metabolic process	587	3	3.3	1.00000
48	GO:0009113	purine nucleobase biosynthetic process	4	1	0.02	1.00000
49	GO:0099504	synaptic vesicle cycle	19	1	0.11	1.00000
50	GO:0034404	nucleobase-containing small molecule biosynthetic process	6	1	0.03	1.00000
51	GO:1901135	carbohydrate derivative metabolic process	213	1	1.2	1.00000
52	GO:0050896	response to stimulus	865	6	4.86	1.00000
53	GO:0006996	organelle organization	583	1	3.27	1.00000
54	GO:0071616	acyl-CoA biosynthetic process	3	1	0.02	1.00000
55	GO:0009116	nucleoside metabolic process	14	1	0.08	1.00000
56	GO:1901136	carbohydrate derivative catabolic process	41	1	0.23	1.00000
57	GO:1901137	carbohydrate derivative biosynthetic process	144	1	0.81	1.00000
58	GO:0046130	purine ribonucleoside catabolic process	3	1	0.02	1.00000
59	GO:0009119	ribonucleoside metabolic process	9	1	0.05	1.00000
60	GO:0000902	cell morphogenesis	57	1	0.32	1.00000
61	GO:0043094	cellular metabolic compound salvage	10	1	0.06	1.00000
62	GO:0097435	supramolecular fiber organization	89	1	0.5	1.00000
63	GO:0043096	purine nucleobase salvage	2	1	0.01	1.00000
64	GO:0009966	regulation of signal transduction	158	2	0.89	1.00000
65	GO:0006366	transcription by RNA polymerase II	421	2	2.36	1.00000
