GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0005615	extracellular space	138	5	0.84	0.0013
2	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.01	0.0061
3	GO:0005777	peroxisome	38	2	0.23	0.0222
4	GO:0031012	extracellular matrix	74	3	0.45	0.0276
5	GO:0009897	external side of plasma membrane	5	1	0.03	0.0303
6	GO:0034518	RNA cap binding complex	5	1	0.03	0.0303
7	GO:0019773	proteasome core complex, alpha-subunit complex	7	1	0.04	0.0421
8	GO:0035102	PRC1 complex	8	1	0.05	0.0480
9	GO:0043296	apical junction complex	8	1	0.05	0.0480
10	GO:0030425	dendrite	10	1	0.06	0.0596
11	GO:0005921	gap junction	10	1	0.06	0.0596
12	GO:0016324	apical plasma membrane	11	1	0.07	0.0654
13	GO:0032045	guanyl-nucleotide exchange factor complex	11	1	0.07	0.0654
14	GO:0030864	cortical actin cytoskeleton	13	1	0.08	0.0768
15	GO:0005912	adherens junction	14	1	0.09	0.0825
16	GO:0009986	cell surface	24	2	0.15	0.1067
17	GO:0005643	nuclear pore	25	1	0.15	0.1427
18	GO:0062129	chitin-based extracellular matrix	30	1	0.18	0.1688
19	GO:0015934	large ribosomal subunit	53	1	0.32	0.2792
20	GO:0005739	mitochondrion	374	4	2.29	0.2797
21	GO:0005929	cilium	71	1	0.43	0.3556
22	GO:0005886	plasma membrane	433	5	2.65	0.3592
23	GO:0005773	vacuole	72	1	0.44	0.3596
24	GO:0045202	synapse	85	1	0.52	0.4096
25	GO:0005829	cytosol	336	1	2.06	0.8827
26	GO:0005634	nucleus	1398	4	8.56	0.9906
27	GO:0016020	membrane	1337	6	8.19	0.9966
28	GO:0005737	cytoplasm	2189	9	13.4	0.9990
29	GO:0005938	cell cortex	42	1	0.26	1.0000
30	GO:1990904	ribonucleoprotein complex	285	1	1.75	1.0000
31	GO:0042995	cell projection	174	1	1.07	1.0000
32	GO:0015629	actin cytoskeleton	64	1	0.39	1.0000
33	GO:0030312	external encapsulating structure	74	3	0.45	1.0000
34	GO:0031519	PcG protein complex	19	1	0.12	1.0000
35	GO:0140535	intracellular protein-containing complex	308	5	1.89	1.0000
36	GO:0044391	ribosomal subunit	87	1	0.53	1.0000
37	GO:0036477	somatodendritic compartment	20	1	0.12	1.0000
38	GO:0030054	cell junction	135	3	0.83	1.0000
39	GO:1905368	peptidase complex	41	1	0.25	1.0000
40	GO:0005839	proteasome core complex	13	1	0.08	1.0000
41	GO:1905369	endopeptidase complex	33	1	0.2	1.0000
42	GO:0005622	intracellular anatomical structure	3442	15	21.08	1.0000
43	GO:0098552	side of membrane	23	1	0.14	1.0000
44	GO:0110165	cellular anatomical entity	4457	27	27.29	1.0000
45	GO:0061695	transferase complex, transferring phosphorus-containing groups	105	1	0.64	1.0000
46	GO:0030880	RNA polymerase complex	59	1	0.36	1.0000
47	GO:1902494	catalytic complex	487	3	2.98	1.0000
48	GO:0098590	plasma membrane region	59	1	0.36	1.0000
49	GO:0012505	endomembrane system	600	1	3.67	1.0000
50	GO:0043231	intracellular membrane-bounded organelle	2430	9	14.88	1.0000
51	GO:0043232	intracellular non-membrane-bounded organelle	692	2	4.24	1.0000
52	GO:0005911	cell-cell junction	42	2	0.26	1.0000
53	GO:0031967	organelle envelope	126	1	0.77	1.0000
54	GO:0071944	cell periphery	531	8	3.25	1.0000
55	GO:0120025	plasma membrane bounded cell projection	170	1	1.04	1.0000
56	GO:0000151	ubiquitin ligase complex	81	1	0.5	1.0000
57	GO:0070161	anchoring junction	50	2	0.31	1.0000
