GO.ID	Description	p.Val
GO:0005615	extracellular space	0.0013
GO:0034245	mitochondrial DNA-directed RNA polymerase complex	0.0061
GO:0005777	peroxisome	0.0222
GO:0031012	extracellular matrix	0.0276
GO:0009897	external side of plasma membrane	0.0303
GO:0034518	RNA cap binding complex	0.0303
GO:0019773	proteasome core complex, alpha-subunit complex	0.0421
GO:0035102	PRC1 complex	0.0480
GO:0043296	apical junction complex	0.0480
GO:0030425	dendrite	0.0596
GO:0005921	gap junction	0.0596
GO:0016324	apical plasma membrane	0.0654
GO:0032045	guanyl-nucleotide exchange factor complex	0.0654
GO:0030864	cortical actin cytoskeleton	0.0768
GO:0005912	adherens junction	0.0825
GO:0009986	cell surface	0.1067
GO:0005643	nuclear pore	0.1427
GO:0062129	chitin-based extracellular matrix	0.1688
GO:0015934	large ribosomal subunit	0.2792
GO:0005739	mitochondrion	0.2797
GO:0005929	cilium	0.3556
GO:0005886	plasma membrane	0.3592
GO:0005773	vacuole	0.3596
GO:0045202	synapse	0.4096
GO:0005829	cytosol	0.8827
GO:0005634	nucleus	0.9906
GO:0016020	membrane	0.9966
GO:0005737	cytoplasm	0.9990
GO:0005938	cell cortex	1.0000
GO:1990904	ribonucleoprotein complex	1.0000
GO:0042995	cell projection	1.0000
GO:0015629	actin cytoskeleton	1.0000
GO:0030312	external encapsulating structure	1.0000
GO:0031519	PcG protein complex	1.0000
GO:0140535	intracellular protein-containing complex	1.0000
GO:0044391	ribosomal subunit	1.0000
GO:0036477	somatodendritic compartment	1.0000
GO:0030054	cell junction	1.0000
GO:1905368	peptidase complex	1.0000
GO:0005839	proteasome core complex	1.0000
GO:1905369	endopeptidase complex	1.0000
GO:0005622	intracellular anatomical structure	1.0000
GO:0098552	side of membrane	1.0000
GO:0110165	cellular anatomical entity	1.0000
GO:0061695	transferase complex, transferring phosphorus-containing groups	1.0000
GO:0030880	RNA polymerase complex	1.0000
GO:1902494	catalytic complex	1.0000
GO:0098590	plasma membrane region	1.0000
GO:0012505	endomembrane system	1.0000
GO:0043231	intracellular membrane-bounded organelle	1.0000
GO:0043232	intracellular non-membrane-bounded organelle	1.0000
GO:0005911	cell-cell junction	1.0000
GO:0031967	organelle envelope	1.0000
GO:0071944	cell periphery	1.0000
GO:0120025	plasma membrane bounded cell projection	1.0000
GO:0000151	ubiquitin ligase complex	1.0000
GO:0070161	anchoring junction	1.0000
GO:0000152	nuclear ubiquitin ligase complex	1.0000
GO:0097447	dendritic tree	1.0000
GO:0005575	cellular_component	1.0000
GO:0005576	extracellular region	1.0000
GO:0140513	nuclear protein-containing complex	1.0000
GO:0098798	mitochondrial protein-containing complex	1.0000
GO:0032991	protein-containing complex	1.0000
GO:1990234	transferase complex	1.0000
GO:0005840	ribosome	1.0000
GO:0005635	nuclear envelope	1.0000
GO:0043226	organelle	1.0000
GO:0005856	cytoskeleton	1.0000
GO:0043227	membrane-bounded organelle	1.0000
GO:0030863	cortical cytoskeleton	1.0000
GO:0043228	non-membrane-bounded organelle	1.0000
GO:0000428	DNA-directed RNA polymerase complex	1.0000
GO:0043005	neuron projection	1.0000
GO:0043229	intracellular organelle	1.0000
GO:0042579	microbody	1.0000
GO:0000502	proteasome complex	1.0000
GO:0045177	apical part of cell	1.0000
GO:0000109	nucleotide-excision repair complex	1.0000
GO:0000110	nucleotide-excision repair factor 1 complex	1.0000
GO:0000112	nucleotide-excision repair factor 3 complex	1.0000
GO:0000118	histone deacetylase complex	1.0000
GO:0000120	RNA polymerase I transcription regulator complex	1.0000
GO:0000123	histone acetyltransferase complex	1.0000
GO:0000124	SAGA complex	1.0000
GO:0000126	transcription factor TFIIIB complex	1.0000
GO:0000127	transcription factor TFIIIC complex	1.0000
GO:0000138	Golgi trans cisterna	1.0000
GO:0000139	Golgi membrane	1.0000
GO:0000145	exocyst	1.0000
GO:0000153	cytoplasmic ubiquitin ligase complex	1.0000
GO:0000159	protein phosphatase type 2A complex	1.0000
GO:0000164	protein phosphatase type 1 complex	1.0000
GO:0000172	ribonuclease MRP complex	1.0000
GO:0000176	nuclear exosome (RNase complex)	1.0000
GO:0000177	cytoplasmic exosome (RNase complex)	1.0000
GO:0000178	exosome (RNase complex)	1.0000
GO:0000214	tRNA-intron endonuclease complex	1.0000
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	1.0000
GO:0000228	nuclear chromosome	1.0000
