GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0042796	snRNA transcription by RNA polymerase III	4	3	0.18	0.00035
2	GO:0006805	xenobiotic metabolic process	10	4	0.45	0.00069
3	GO:0006082	organic acid metabolic process	142	8	6.44	0.00072
4	GO:0042795	snRNA transcription by RNA polymerase II	5	3	0.23	0.00086
5	GO:0042989	sequestering of actin monomers	3	2	0.14	0.00594
6	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3	2	0.14	0.00594
7	GO:0046777	protein autophosphorylation	4	2	0.18	0.01153
8	GO:0006820	monoatomic anion transport	25	4	1.13	0.02444
9	GO:0006357	regulation of transcription by RNA polymerase II	288	21	13.05	0.02762
10	GO:0018105	peptidyl-serine phosphorylation	16	3	0.73	0.03314
11	GO:0007160	cell-matrix adhesion	7	2	0.32	0.03690
12	GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	1	1	0.05	0.04532
13	GO:0043407	negative regulation of MAP kinase activity	1	1	0.05	0.04532
14	GO:0006624	vacuolar protein processing	1	1	0.05	0.04532
15	GO:0010756	positive regulation of plasminogen activation	1	1	0.05	0.04532
16	GO:1902979	mitotic DNA replication termination	1	1	0.05	0.04532
17	GO:0046580	negative regulation of Ras protein signal transduction	1	1	0.05	0.04532
18	GO:0006430	lysyl-tRNA aminoacylation	1	1	0.05	0.04532
19	GO:0007168	receptor guanylyl cyclase signaling pathway	1	1	0.05	0.04532
20	GO:0019427	acetyl-CoA biosynthetic process from acetate	1	1	0.05	0.04532
21	GO:0006182	cGMP biosynthetic process	1	1	0.05	0.04532
22	GO:0048168	regulation of neuronal synaptic plasticity	1	1	0.05	0.04532
23	GO:0070836	caveola assembly	1	1	0.05	0.04532
24	GO:0097037	heme export	1	1	0.05	0.04532
25	GO:0038007	netrin-activated signaling pathway	1	1	0.05	0.04532
26	GO:0071171	site-specific DNA replication termination at RTS1 barrier	1	1	0.05	0.04532
27	GO:1901190	regulation of formation of translation initiation ternary complex	1	1	0.05	0.04532
28	GO:0009948	anterior/posterior axis specification	1	1	0.05	0.04532
29	GO:0008612	peptidyl-lysine modification to peptidyl-hypusine	1	1	0.05	0.04532
30	GO:0006532	aspartate biosynthetic process	1	1	0.05	0.04532
31	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	1	1	0.05	0.04532
32	GO:0023052	signaling	502	22	22.75	0.04585
33	GO:0016973	poly(A)+ mRNA export from nucleus	8	2	0.36	0.04775
34	GO:0018107	peptidyl-threonine phosphorylation	8	2	0.36	0.04775
35	GO:0045893	positive regulation of DNA-templated transcription	79	6	3.58	0.05458
36	GO:0044782	cilium organization	53	4	2.4	0.05960
37	GO:0009887	animal organ morphogenesis	9	2	0.41	0.05960
38	GO:0009790	embryo development	10	2	0.45	0.07234
39	GO:0043266	regulation of potassium ion transport	14	2	0.63	0.08836
40	GO:0046488	phosphatidylinositol metabolic process	38	3	1.72	0.08841
41	GO:0010976	positive regulation of neuron projection development	2	1	0.09	0.08860
42	GO:0090263	positive regulation of canonical Wnt signaling pathway	2	1	0.09	0.08860
43	GO:0006013	mannose metabolic process	2	1	0.09	0.08860
44	GO:0071922	regulation of cohesin loading	2	1	0.09	0.08860
45	GO:0048026	positive regulation of mRNA splicing, via spliceosome	2	1	0.09	0.08860
