GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030170	pyridoxal phosphate binding	14	7	2.38	0.0046
2	GO:0043014	alpha-tubulin binding	3	3	0.51	0.0049
3	GO:0004535	poly(A)-specific ribonuclease activity	4	3	0.68	0.0172
4	GO:0140410	monoatomic cation:bicarbonate symporter activity	3	3	0.51	0.0289
5	GO:0042162	telomeric DNA binding	4	3	0.68	0.0289
6	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	2	2	0.34	0.0290
7	GO:0030729	acetoacetate-CoA ligase activity	2	2	0.34	0.0290
8	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	2	0.34	0.0290
9	GO:0004307	ethanolaminephosphotransferase activity	2	2	0.34	0.0290
10	GO:0051731	polynucleotide 5'-hydroxyl-kinase activity	2	2	0.34	0.0290
11	GO:0032266	phosphatidylinositol-3-phosphate binding	8	4	1.36	0.0328
12	GO:0003824	catalytic activity	1262	221	214.91	0.0374
13	GO:0030020	extracellular matrix structural constituent conferring tensile strength	5	3	0.85	0.0375
14	GO:0004672	protein kinase activity	82	18	13.96	0.0545
15	GO:0003676	nucleic acid binding	649	113	110.52	0.0629
16	GO:0008010	structural constituent of chitin-based larval cuticle	6	3	1.02	0.0656
17	GO:0003700	DNA-binding transcription factor activity	126	20	21.46	0.0668
18	GO:0008143	poly(A) binding	3	2	0.51	0.0770
19	GO:0004683	calcium/calmodulin-dependent protein kinase activity	3	2	0.51	0.0770
20	GO:0003688	DNA replication origin binding	3	2	0.51	0.0770
21	GO:0008253	5'-nucleotidase activity	3	2	0.51	0.0770
22	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	3	2	0.51	0.0770
23	GO:0002161	aminoacyl-tRNA deacylase activity	3	2	0.51	0.0770
24	GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	3	2	0.51	0.0770
25	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	3	2	0.51	0.0770
26	GO:0031625	ubiquitin protein ligase binding	15	5	2.55	0.0962
27	GO:0070181	small ribosomal subunit rRNA binding	4	2	0.68	0.1369
28	GO:0035615	clathrin-cargo adaptor activity	4	2	0.68	0.1369
29	GO:0016922	nuclear receptor binding	4	2	0.68	0.1369
30	GO:0043015	gamma-tubulin binding	4	2	0.68	0.1369
31	GO:0005516	calmodulin binding	4	2	0.68	0.1369
32	GO:0005200	structural constituent of cytoskeleton	4	2	0.68	0.1369
33	GO:0016887	ATP hydrolysis activity	52	12	8.86	0.1617
34	GO:0046873	metal ion transmembrane transporter activity	39	9	6.64	0.1698
35	GO:0019955	cytokine binding	2	2	0.34	0.1700
36	GO:0030159	signaling receptor complex adaptor activity	4	2	0.68	0.1701
37	GO:0046332	SMAD binding	4	2	0.68	0.1701
38	GO:0061632	RNA lariat debranching enzyme activator activity	1	1	0.17	0.1703
39	GO:0070976	TIR domain binding	1	1	0.17	0.1703
40	GO:0005452	solute:inorganic anion antiporter activity	1	1	0.17	0.1703
41	GO:0015086	cadmium ion transmembrane transporter activity	1	1	0.17	0.1703
42	GO:0043548	phosphatidylinositol 3-kinase binding	1	1	0.17	0.1703
43	GO:0043531	ADP binding	1	1	0.17	0.1703
44	GO:0033743	peptide-methionine (R)-S-oxide reductase activity	1	1	0.17	0.1703
45	GO:0033749	histone H4R3 demethylase activity	1	1	0.17	0.1703
46	GO:0004618	phosphoglycerate kinase activity	1	1	0.17	0.1703
47	GO:0015292	uniporter activity	1	1	0.17	0.1703
48	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	1	1	0.17	0.1703
49	GO:0005412	D-glucose:sodium symporter activity	1	1	0.17	0.1703
50	GO:0004708	MAP kinase kinase activity	1	1	0.17	0.1703
51	GO:0051377	mannose-ethanolamine phosphotransferase activity	1	1	0.17	0.1703
52	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	1	1	0.17	0.1703
53	GO:0036122	BMP binding	1	1	0.17	0.1703
54	GO:0018738	S-formylglutathione hydrolase activity	1	1	0.17	0.1703
55	GO:0004896	cytokine receptor activity	1	1	0.17	0.1703
56	GO:0070139	SUMO-specific endopeptidase activity	1	1	0.17	0.1703
57	GO:0015254	glycerol channel activity	1	1	0.17	0.1703
58	GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.17	0.1703
59	GO:0004174	electron-transferring-flavoprotein dehydrogenase activity	1	1	0.17	0.1703
60	GO:0048040	UDP-glucuronate decarboxylase activity	1	1	0.17	0.1703
61	GO:0003707	nuclear steroid receptor activity	1	1	0.17	0.1703
62	GO:0003972	RNA ligase (ATP) activity	1	1	0.17	0.1703
63	GO:0070012	oligopeptidase activity	1	1	0.17	0.1703
64	GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity	1	1	0.17	0.1703
65	GO:0004823	leucine-tRNA ligase activity	1	1	0.17	0.1703
66	GO:0048257	3'-flap endonuclease activity	1	1	0.17	0.1703
67	GO:0003910	DNA ligase (ATP) activity	1	1	0.17	0.1703
68	GO:0047840	dCTP diphosphatase activity	1	1	0.17	0.1703
69	GO:0003919	FMN adenylyltransferase activity	1	1	0.17	0.1703
70	GO:0070034	telomerase RNA binding	1	1	0.17	0.1703
71	GO:0030151	molybdenum ion binding	1	1	0.17	0.1703
72	GO:0016428	tRNA (cytidine-5-)-methyltransferase activity	1	1	0.17	0.1703
73	GO:0004103	choline kinase activity	1	1	0.17	0.1703
74	GO:0070260	5'-tyrosyl-DNA phosphodiesterase activity	1	1	0.17	0.1703
75	GO:0005158	insulin receptor binding	1	1	0.17	0.1703
76	GO:0004832	valine-tRNA ligase activity	1	1	0.17	0.1703
77	GO:0003937	IMP cyclohydrolase activity	1	1	0.17	0.1703
78	GO:0008510	sodium:bicarbonate symporter activity	1	1	0.17	0.1703
