GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030170	pyridoxal phosphate binding	17	9	2.87	0.0007
2	GO:0030729	acetoacetate-CoA ligase activity	4	4	0.67	0.0008
3	GO:0000049	tRNA binding	18	7	3.03	0.0215
4	GO:0003725	double-stranded RNA binding	11	5	1.85	0.0254
5	GO:0042162	telomeric DNA binding	4	3	0.67	0.0283
6	GO:0043014	alpha-tubulin binding	2	2	0.34	0.0284
7	GO:0008510	sodium:bicarbonate symporter activity	2	2	0.34	0.0284
8	GO:0030151	molybdenum ion binding	2	2	0.34	0.0284
9	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	2	2	0.34	0.0284
10	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	2	2	0.34	0.0284
11	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	2	0.34	0.0284
12	GO:0003870	5-aminolevulinate synthase activity	2	2	0.34	0.0284
13	GO:0004307	ethanolaminephosphotransferase activity	2	2	0.34	0.0284
14	GO:0032217	riboflavin transmembrane transporter activity	2	2	0.34	0.0284
15	GO:0005452	solute:inorganic anion antiporter activity	2	2	0.34	0.0284
16	GO:0050265	RNA uridylyltransferase activity	2	2	0.34	0.0284
17	GO:0004454	ketohexokinase activity	2	2	0.34	0.0284
18	GO:0003919	FMN adenylyltransferase activity	2	2	0.34	0.0284
19	GO:0008509	monoatomic anion transmembrane transporter activity	14	4	2.36	0.0284
20	GO:0003727	single-stranded RNA binding	11	6	1.85	0.0314
21	GO:0032266	phosphatidylinositol-3-phosphate binding	5	3	0.84	0.0365
22	GO:0008010	structural constituent of chitin-based larval cuticle	9	4	1.52	0.0496
23	GO:0004842	ubiquitin-protein transferase activity	66	11	11.13	0.0516
24	GO:0003824	catalytic activity	1263	221	212.91	0.0666
25	GO:0070976	TIR domain binding	3	2	0.51	0.0756
26	GO:0004535	poly(A)-specific ribonuclease activity	3	2	0.51	0.0756
27	GO:0002161	aminoacyl-tRNA deacylase activity	3	2	0.51	0.0756
28	GO:0008143	poly(A) binding	3	2	0.51	0.0756
29	GO:0004683	calcium/calmodulin-dependent protein kinase activity	3	2	0.51	0.0756
30	GO:0003688	DNA replication origin binding	3	2	0.51	0.0756
31	GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	3	2	0.51	0.0756
32	GO:0008253	5'-nucleotidase activity	3	2	0.51	0.0756
33	GO:0004672	protein kinase activity	84	18	14.16	0.1160
34	GO:0051119	sugar transmembrane transporter activity	7	4	1.18	0.1338
35	GO:0043015	gamma-tubulin binding	4	2	0.67	0.1345
36	GO:0004089	carbonate dehydratase activity	4	2	0.67	0.1345
37	GO:0005516	calmodulin binding	4	2	0.67	0.1345
38	GO:0030159	signaling receptor complex adaptor activity	4	2	0.67	0.1345
39	GO:0030628	pre-mRNA 3'-splice site binding	4	2	0.67	0.1345
40	GO:0022841	potassium ion leak channel activity	4	2	0.67	0.1345
41	GO:0005201	extracellular matrix structural constituent	4	2	0.67	0.1345
42	GO:0005515	protein binding	921	145	155.26	0.1607
43	GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity	1	1	0.17	0.1686
44	GO:0008903	hydroxypyruvate isomerase activity	1	1	0.17	0.1686
45	GO:0003904	deoxyribodipyrimidine photo-lyase activity	1	1	0.17	0.1686
46	GO:0016034	maleylacetoacetate isomerase activity	1	1	0.17	0.1686
47	GO:0035539	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity	1	1	0.17	0.1686
48	GO:0043548	phosphatidylinositol 3-kinase binding	1	1	0.17	0.1686
49	GO:0043531	ADP binding	1	1	0.17	0.1686
50	GO:0047777	(S)-citramalyl-CoA lyase activity	1	1	0.17	0.1686
51	GO:0015183	L-aspartate transmembrane transporter activity	1	1	0.17	0.1686
52	GO:0048040	UDP-glucuronate decarboxylase activity	1	1	0.17	0.1686
53	GO:0018738	S-formylglutathione hydrolase activity	1	1	0.17	0.1686
54	GO:0033743	peptide-methionine (R)-S-oxide reductase activity	1	1	0.17	0.1686
55	GO:0004757	sepiapterin reductase (NADP+) activity	1	1	0.17	0.1686
56	GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	1	1	0.17	0.1686
57	GO:0016361	activin receptor activity, type I	1	1	0.17	0.1686
58	GO:0008720	D-lactate dehydrogenase (NAD+) activity	1	1	0.17	0.1686
59	GO:0019135	deoxyhypusine monooxygenase activity	1	1	0.17	0.1686
60	GO:0005158	insulin receptor binding	1	1	0.17	0.1686
61	GO:0008395	steroid hydroxylase activity	1	1	0.17	0.1686
62	GO:0140416	transcription regulator inhibitor activity	1	1	0.17	0.1686
63	GO:0008184	glycogen phosphorylase activity	1	1	0.17	0.1686
64	GO:0042134	rRNA primary transcript binding	1	1	0.17	0.1686
65	GO:0004174	electron-transferring-flavoprotein dehydrogenase activity	1	1	0.17	0.1686
66	GO:0035325	Toll-like receptor binding	1	1	0.17	0.1686
67	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	1	1	0.17	0.1686
68	GO:0008117	sphinganine-1-phosphate aldolase activity	1	1	0.17	0.1686
69	GO:0070012	oligopeptidase activity	1	1	0.17	0.1686
70	GO:0004352	L-glutamate dehydrogenase (NAD+) activity	1	1	0.17	0.1686
71	GO:0015292	uniporter activity	1	1	0.17	0.1686
72	GO:0003707	nuclear steroid receptor activity	1	1	0.17	0.1686
73	GO:0004708	MAP kinase kinase activity	1	1	0.17	0.1686
74	GO:0001147	transcription termination site sequence-specific DNA binding	1	1	0.17	0.1686
75	GO:0061507	2',3'-cyclic GMP-AMP binding	1	1	0.17	0.1686
76	GO:0070034	telomerase RNA binding	1	1	0.17	0.1686
77	GO:0045294	alpha-catenin binding	1	1	0.17	0.1686
78	GO:0015254	glycerol channel activity	1	1	0.17	0.1686
79	GO:0016844	strictosidine synthase activity	1	1	0.17	0.1686
80	GO:0005347	ATP transmembrane transporter activity	1	1	0.17	0.1686
81	GO:0070004	cysteine-type exopeptidase activity	1	1	0.17	0.1686
82	GO:0004332	fructose-bisphosphate aldolase activity	1	1	0.17	0.1686
83	GO:0098621	O-phosphoseryl-tRNA(Sec) selenium transferase activity	1	1	0.17	0.1686
84	GO:0004335	galactokinase activity	1	1	0.17	0.1686
85	GO:0004618	phosphoglycerate kinase activity	1	1	0.17	0.1686
86	GO:0031492	nucleosomal DNA binding	1	1	0.17	0.1686
87	GO:0003854	3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity	1	1	0.17	0.1686
88	GO:0051377	mannose-ethanolamine phosphotransferase activity	1	1	0.17	0.1686
89	GO:0061666	UFM1 ligase activity	1	1	0.17	0.1686
90	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	1	1	0.17	0.1686
91	GO:0048257	3'-flap endonuclease activity	1	1	0.17	0.1686
92	GO:0016805	dipeptidase activity	1	1	0.17	0.1686
93	GO:0004301	epoxide hydrolase activity	1	1	0.17	0.1686
94	GO:0070139	SUMO-specific endopeptidase activity	1	1	0.17	0.1686
95	GO:0035226	glutamate-cysteine ligase catalytic subunit binding	1	1	0.17	0.1686
96	GO:0004823	leucine-tRNA ligase activity	1	1	0.17	0.1686
97	GO:0003844	1,4-alpha-glucan branching enzyme activity	1	1	0.17	0.1686
98	GO:0008495	protoheme IX farnesyltransferase activity	1	1	0.17	0.1686
99	GO:0016428	tRNA (cytidine-5-)-methyltransferase activity	1	1	0.17	0.1686
100	GO:0004832	valine-tRNA ligase activity	1	1	0.17	0.1686
101	GO:0071617	lysophospholipid acyltransferase activity	1	1	0.17	0.1686
102	GO:0002953	5'-deoxynucleotidase activity	1	1	0.17	0.1686
103	GO:0061632	RNA lariat debranching enzyme activator activity	1	1	0.17	0.1686
104	GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1	1	0.17	0.1686
105	GO:0015439	ABC-type heme transporter activity	1	1	0.17	0.1686
106	GO:0008467	[heparan sulfate]-glucosamine 3-sulfotransferase activity	1	1	0.17	0.1686
107	GO:0003972	RNA ligase (ATP) activity	1	1	0.17	0.1686
108	GO:0106140	P-TEFb complex binding	1	1	0.17	0.1686
109	GO:0004452	isopentenyl-diphosphate delta-isomerase activity	1	1	0.17	0.1686
110	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	1	1	0.17	0.1686
111	GO:0035438	cyclic-di-GMP binding	1	1	0.17	0.1686
112	GO:0004483	methyltransferase cap1 activity	1	1	0.17	0.1686
113	GO:0047560	3-dehydrosphinganine reductase activity	1	1	0.17	0.1686
114	GO:0070260	5'-tyrosyl-DNA phosphodiesterase activity	1	1	0.17	0.1686
115	GO:0003910	DNA ligase (ATP) activity	1	1	0.17	0.1686
116	GO:0008470	3-methylbutanoyl-CoA dehydrogenase activity	1	1	0.17	0.1686
117	GO:0008475	procollagen-lysine 5-dioxygenase activity	1	1	0.17	0.1686
118	GO:0050833	pyruvate transmembrane transporter activity	1	1	0.17	0.1686
119	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1	1	0.17	0.1686
120	GO:0034584	piRNA binding	1	1	0.17	0.1686
121	GO:0004594	pantothenate kinase activity	1	1	0.17	0.1686
122	GO:0005412	D-glucose:sodium symporter activity	1	1	0.17	0.1686
123	GO:0003937	IMP cyclohydrolase activity	1	1	0.17	0.1686
124	GO:0031405	lipoic acid binding	1	1	0.17	0.1686
125	GO:0008419	RNA lariat debranching enzyme activity	1	1	0.17	0.1686
126	GO:0004418	hydroxymethylbilane synthase activity	1	1	0.17	0.1686
127	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	1	1	0.17	0.1686
128	GO:0004843	cysteine-type deubiquitinase activity	18	5	3.03	0.1736
129	GO:0030515	snoRNA binding	9	3	1.52	0.1825
130	GO:0008408	3'-5' exonuclease activity	15	6	2.53	0.1984
131	GO:0140359	ABC-type transporter activity	6	3	1.01	0.1993
132	GO:0051287	NAD binding	23	5	3.88	0.1996
133	GO:0070181	small ribosomal subunit rRNA binding	5	2	0.84	0.1998
134	GO:0005385	zinc ion transmembrane transporter activity	10	3	1.69	0.2299
135	GO:0046961	proton-transporting ATPase activity, rotational mechanism	15	4	2.53	0.2377
136	GO:0016887	ATP hydrolysis activity	52	11	8.77	0.2511
137	GO:0003676	nucleic acid binding	642	103	108.22	0.2618
138	GO:0004866	endopeptidase inhibitor activity	14	4	2.36	0.2672
139	GO:0016853	isomerase activity	89	16	15	0.2678
140	GO:0004693	cyclin-dependent protein serine/threonine kinase activity	6	2	1.01	0.2678
141	GO:0005262	calcium channel activity	6	2	1.01	0.2678
142	GO:0004806	triacylglycerol lipase activity	6	2	1.01	0.2678
143	GO:0140110	transcription regulator activity	196	30	33.04	0.2712
144	GO:0005215	transporter activity	184	46	31.02	0.3005
145	GO:0005524	ATP binding	224	41	37.76	0.3013
146	GO:0015293	symporter activity	10	4	1.69	0.3079
147	GO:0015149	hexose transmembrane transporter activity	3	2	0.51	0.3083
148	GO:0004557	alpha-galactosidase activity	2	1	0.34	0.3088
149	GO:0030544	Hsp70 protein binding	2	1	0.34	0.3088
150	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	2	1	0.34	0.3088
151	GO:0008579	JUN kinase phosphatase activity	2	1	0.34	0.3088
152	GO:0004526	ribonuclease P activity	2	1	0.34	0.3088
153	GO:0004768	stearoyl-CoA 9-desaturase activity	2	1	0.34	0.3088
154	GO:0004758	serine C-palmitoyltransferase activity	2	1	0.34	0.3088
155	GO:0033749	histone H4R3 demethylase activity	2	1	0.34	0.3088
156	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	2	1	0.34	0.3088
157	GO:0048185	activin binding	2	1	0.34	0.3088
158	GO:0008046	axon guidance receptor activity	2	1	0.34	0.3088
159	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	2	1	0.34	0.3088
160	GO:0019894	kinesin binding	2	1	0.34	0.3088
161	GO:0033149	FFAT motif binding	2	1	0.34	0.3088
162	GO:0003691	double-stranded telomeric DNA binding	2	1	0.34	0.3088
163	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	2	1	0.34	0.3088
164	GO:0005384	manganese ion transmembrane transporter activity	2	1	0.34	0.3088
165	GO:0035250	UDP-galactosyltransferase activity	2	1	0.34	0.3088
166	GO:0031849	olfactory receptor binding	2	1	0.34	0.3088
167	GO:0045499	chemorepellent activity	2	1	0.34	0.3088
168	GO:0016922	nuclear receptor binding	2	1	0.34	0.3088
169	GO:0008821	crossover junction DNA endonuclease activity	2	1	0.34	0.3088
